tag,section,patient,model,n_labeled,r_full,dg,crg,drg,drg_ci_lo,drg_ci_hi,perm_max,perm_p95,g4_pass
resnet50,A1,A,depth,340,0.034847534462312535,,0.0027609636696765785,,,,,,
resnet50,A1,A,dc_image,340,0.027795458266376014,-0.006971564987586911,0.0038099602531660244,-0.002835688168299026,,,,,
resnet50,A1,A,full_image,340,0.03656675091033502,0.015066585940394154,0.010587529197614187,0.008900859366595713,0.0012337335599670936,0.021600403901749044,0.01302469490717724,0.0073275154715176155,False
resnet50,A1,A,delta_image,340,0.01730192295005583,0.0218979207143925,0.012089654448839908,0.011979807071908915,0.004645201017774992,0.023974607850300308,0.012311088145974758,0.007196519312553259,False
resnet50,A1,A,comp_image,340,-0.0013968614389361345,-0.006971564987585041,-0.0014954780921344593,-0.00283568816829908,,,,,
resnet50,A1,A,dc_nmf,340,0.037878228501681654,0.014705472828138366,0.01445686541415353,0.012520739755899818,,,,,
resnet50,A1,A,full_nmf,340,0.041173163551166785,0.00983385316707994,0.009966327424667298,0.0069148644193695276,,,,,
resnet50,A1,A,delta_nmf,340,-0.00422610701088361,-0.0011078228915103827,-0.0032774000277100645,-0.0016459147070845247,-0.011962393895921701,0.008931077982391383,0.011582503464799335,0.007123496729261015,False
resnet50,A1,A,comp_nmf,340,0.015658237066020198,0.014705472828138758,0.011455550462824813,0.012520739755899834,,,,,
resnet50,A1,A,ridge_naive,340,0.04360046904665037,0.011086597701327229,0.00980399605519225,0.005579926704745278,-0.003931574595926047,0.02072987337305195,0.01245661809229069,0.007551903860410963,False
resnet50,A1,A,LAB|depth,340,0.037246538173115365,,0.003400304288235003,,,,,,
resnet50,A1,A,LAB|dc_oracle,340,0.06226740180485305,0.04413535857341018,0.003400304288234937,,,,,,
resnet50,A1,A,LAB|full_oracle,340,0.035350163987270956,0.015115336060382518,-0.00037546319822507934,-0.0007586567341407656,,,,,
resnet50,A1,A,LAB|delta_oracle,340,-0.009871001601107769,-0.006381949732715017,-0.0014896374414504528,-0.0007586567341404016,,,,,
resnet50,A1,A,LAB|comp_oracle,340,0.05860440888044189,0.044135358573410916,,,,,,,
resnet50,A1,A,LAB|dc_image,340,0.02713557618343371,0.005271161022700042,0.009994708888964433,0.004266563830985488,,,,,
resnet50,A1,A,LAB|full_image,340,0.03160146465382456,0.013818279635602592,0.003284248158326886,0.003906756448152286,,,,,
resnet50,A1,A,LAB|delta_image,340,0.017404970665563874,0.0116175868586842,-0.0008851995069785067,-0.0009881957371955605,,,,,
resnet50,A1,A,LAB|comp_image,340,0.00269938926844612,0.005271161022700179,0.0028908832398209148,0.004266563830985587,,,,,
resnet50,A1,A,LAB|ridge_naive_labrows,340,0.04360046904665037,0.011086597701327229,0.00980399605519225,0.005579926704745278,,,,,
resnet50,B1,B,depth,268,0.25149392557042183,,0.09960400807606827,,,,,,
resnet50,B1,B,dc_image,268,0.21225464419136778,-0.002236952763420171,0.0771824373720149,0.017040296719472357,,,,,
resnet50,B1,B,full_image,268,0.18564395836936354,0.017453840348277006,0.057038964044909934,0.010152261955789653,0.0022256031878490155,0.022246949439582563,0.011492979628945087,0.007129415766085993,False
