section,patient,n_spots,n_spots_with_nbr,n_genes_panel,n_genes_valid_rtech,n_genes_valid_rnbr,median_r_tech,median_r_nbr
A1,A,345,345,737,737,737,0.7789573458241221,0.10729842042199483
A2,A,323,323,737,737,737,0.7740667872835985,0.08397521012339113
A3,A,356,356,737,737,737,0.7748909611631603,0.11449997648505911
A4,A,341,341,737,736,736,0.7711109519981598,0.1027035416814537
A5,A,329,329,737,736,736,0.7685106746083599,0.10798592187340068
A6,A,357,357,737,736,736,0.7789164553870853,0.11965924425561925
B1,B,293,292,737,737,737,0.8127262129267037,0.2667622875161089
B2,B,268,265,737,737,737,0.8227593765075605,0.29778294901442226
B3,B,297,297,737,737,737,0.8110905873656581,0.23633305887702838
B4,B,281,280,737,737,737,0.821743446777366,0.2685366736582911
B5,B,287,285,737,737,737,0.8007784345467052,0.19366143990523454
B6,B,277,277,737,737,737,0.8141980195606523,0.2375471189092962
C1,C,174,174,737,737,737,0.7964548484272904,0.15409201554285795
C2,C,185,185,737,737,737,0.794853913061916,0.17072348642413054
C3,C,179,179,737,737,737,0.7946275228016397,0.17246498193403784
C4,C,184,184,737,737,737,0.7936802274681738,0.19295373551660505
C5,C,179,179,737,737,737,0.7909719349026454,0.15677916549277945
C6,C,176,176,737,737,737,0.784336872207406,0.15693597809078674
D1,D,306,306,737,737,737,0.7760690268617347,0.1179081613433735
D2,D,302,302,737,737,737,0.7850070951136413,0.17247461957388108
D3,D,300,300,737,736,736,0.7813305996388245,0.13971420734442605
D4,D,299,299,737,737,737,0.787631117437628,0.18493035764732746
D5,D,304,304,737,737,737,0.7767555939668851,0.12715080578153617
D6,D,314,314,737,737,737,0.7788392016760989,0.15052698231917508
E1,E,587,587,737,737,737,0.7821108257490682,0.08669194466390506
E2,E,572,572,737,737,737,0.778164630343555,0.09060681155310192
E3,E,570,570,737,737,737,0.7787067956975072,0.09194831161378819
F1,F,691,691,737,737,737,0.7684701570041764,0.037691324044216386
F2,F,695,695,737,737,737,0.7719310963862014,0.04638985310240544
F3,F,712,712,737,737,737,0.7662744237788465,0.038059376556797544
G1,G,441,441,737,737,737,0.7982457222459872,0.10984833402745381
G2,G,467,467,737,737,737,0.7978861199472829,0.12902453515105103
G3,G,463,462,737,737,737,0.8010049969884304,0.12446741754145331
H1,H,613,613,737,737,737,0.7945084439808354,0.1065258499941973
H2,H,603,603,737,737,737,0.799369687345657,0.13714712714823107
H3,H,510,509,737,737,737,0.7986452760803445,0.07998066253501104
