section,patient,depth_r,img_depth_1d,img_full_2048,gain
A1,A,0.29632445874062663,0.03534672713454525,0.046973763068596956,0.011627035934051705
A2,A,0.29632445874062663,0.014228221035611676,0.03950232048553779,0.025274099449926115
A3,A,0.29632445874062663,0.04015096168120359,0.05530440209457536,0.015153440413371765
A4,A,0.29632445874062663,0.018778279215195866,0.03737767780877779,0.018599398593581926
A5,A,0.29632445874062663,0.018325827792713405,0.03496786559235024,0.016642037799636834
A6,A,0.29632445874062663,0.05011805022875311,0.05375099867647095,0.003632948447717839
B1,B,0.7673073190146907,0.24559157124959513,0.2042150206131465,-0.04137655063644863
B2,B,0.7673073190146907,0.31675840558736457,0.2593295009862548,-0.057428904601109776
B3,B,0.7673073190146907,0.269518813187024,0.22251787973208467,-0.0470009334549393
B4,B,0.7673073190146907,0.3365850647809287,0.2783396999631829,-0.05824536481774578
B5,B,0.7673073190146907,0.25039085530096783,0.20840420129485587,-0.041986654006111956
B6,B,0.7673073190146907,0.3138546814692051,0.2536757023432794,-0.06017897912592568
C1,C,0.7062679594016447,0.21277334604902248,0.18593903867196696,-0.026834307377055527
C2,C,0.7062679594016447,0.19990185867709825,0.18269553437627445,-0.017206324300823805
C3,C,0.7062679594016447,0.17173152196718777,0.1854855668091434,0.013754044841955637
C4,C,0.7062679594016447,0.19204342731748356,0.19110365073090138,-0.000939776586582175
C5,C,0.7062679594016447,0.22595581462102643,0.21797583531168704,-0.007979979309339386
C6,C,0.7062679594016447,0.20651163549317866,0.17546425724653447,-0.03104737824664419
D1,D,0.45777040320398066,0.11680441815872086,0.10598436488962161,-0.010820053269099253
D2,D,0.45777040320398066,0.15099554116521047,0.10856914297824306,-0.042426398186967404
D3,D,0.45777040320398066,0.10215858843481541,0.07830686994725389,-0.023851718487561527
D4,D,0.45777040320398066,0.11850848567855683,0.07406531360717009,-0.04444317207138675
D5,D,0.45777040320398066,0.07049247563727389,0.05126797174010795,-0.019224503897165936
D6,D,0.45777040320398066,0.1117678630677277,0.09199728403659418,-0.01977057903113351
E1,E,0.00044715998951267593,-0.01194350772519992,0.021561729612012297,0.03350523733721222
E2,E,0.00044715998951267593,-0.01872342868368427,0.03248683506191533,0.0512102637455996
E3,E,0.00044715998951267593,-0.01888856017441449,0.030246446916623548,0.04913500709103803
F1,F,0.042530948415776273,0.004554066862985113,0.022229057093493633,0.01767499023050852
F2,F,0.042530948415776273,0.016951050447116894,0.018923586221269034,0.001972535774152139
F3,F,0.042530948415776273,-0.0067159009467156255,0.005483672802840749,0.012199573749556374
G1,G,0.6785963280340264,0.15126650793656676,0.1343338960340948,-0.016932611902471972
G2,G,0.6785963280340264,0.1638361851728735,0.14235645199782226,-0.021479733175051224
G3,G,0.6785963280340264,0.1891570315209535,0.15931843845271032,-0.029838593068243185
H1,H,0.6357752705266229,0.1508613136206804,0.1275278741794493,-0.02333343944123109
H2,H,0.6357752705266229,0.16575213698741317,0.13480225164507542,-0.030949885342337752
H3,H,0.6357752705266229,0.13077481121808723,0.11797645073121645,-0.012798360486870788
