tag,section,patient,n_lab,r_full,crg,drg_truelib,drg_truelib_poly3,iid_p95,iid_max,tor_n,tor_p95,tor_max,tor_sd,iid_sd
resnet50,A1,A,340,0.04360046779908912,0.009803996953545292,0.002388477645419973,-0.00011646367797737743,0.0056910415481671965,0.013281649159336318,200,0.009299203613548683,0.011627916065966193,0.005370776039448886,0.0036553383579132344
resnet50,B1,B,268,0.21048783775765903,0.0722889827390053,0.006709502734966466,0.0065265021449639315,0.007084164593012193,0.011171856372636206,200,0.00846505738902183,0.015814757911136196,0.005116385915564,0.00393224893764263
resnet50,C1,C,165,0.18809877008724663,0.13675613755369695,0.022011184312505257,0.002343456619832448,0.015001419705847481,0.02106459254158654,195,0.018994311223886444,0.027436477756612843,0.012949788088438913,0.008336717603340088
resnet50,D1,D,255,0.10585864601992691,0.07490276571615956,0.03213470989291135,0.03231021475200448,0.009765498114188807,0.014522234184335814,200,0.009468384351611337,0.018732573511502124,0.0069456568917060715,0.005778958931951859
resnet50,E1,E,534,0.018720873786338185,0.01037338075459724,0.009556695324486008,0.010132151877531819,0.005259398708164297,0.007755394803719699,200,0.008507637375396365,0.015614243608664802,0.005053377744879529,0.0029511438440454445
resnet50,F1,F,659,0.01569795518860568,0.015040589227183163,0.011343550261771675,0.011655389658932994,0.00453140391339931,0.006719175040580631,200,0.006015419029665514,0.010300375963783553,0.00434044395378071,0.002390541161600694
resnet50,G2,G,402,0.15151259120545127,0.07742571327486221,0.01617591013912408,0.01715305128349667,0.005342234500175146,0.009158493352290747,200,0.008648943068080046,0.016213965179259854,0.005327369001843574,0.0032161525937605294
resnet50,H1,H,530,0.13337215739266609,0.03556499938066835,0.012239714521904707,0.01203451831440498,0.004314657226875256,0.006835611611311112,200,0.005852062946893251,0.010213835834997496,0.0037066262902588363,0.0028966853948103103
phikon_p50,A1,A,340,0.061132465426896175,0.03263791919262407,0.011359660415549375,0.008101835565750115,0.0057251195413437275,0.013735204699726083,200,0.009963949231324301,0.013557774706032387,0.005636187140219808,0.0038042808427797377
phikon_p50,B1,B,268,0.22346453692195628,0.08128649044793568,0.019877027747471257,0.018716372056170032,0.006778164261762733,0.011051859589237578,200,0.010071783104508725,0.014214702924094347,0.006366244134619595,0.0039593018720644356
phikon_p50,C1,C,165,0.23491358217981081,0.17948264444403708,0.038197556480754444,0.021659690360662162,0.01734184061767068,0.030606832222865615,195,0.02212211015640004,0.03518862015602377,0.014341167345516648,0.010116910221160926
phikon_p50,D1,D,255,0.14083611935087614,0.09731443386071581,0.042578556702194244,0.03817850677258583,0.011182055311021961,0.015154219885425762,200,0.012531082594009424,0.02153729924358209,0.007849406118081634,0.00583362516442464
phikon_p50,E1,E,534,0.017381895330324672,0.004188885007064375,0.014465589854134545,0.014067304207948814,0.005660319467708898,0.00809270094811783,200,0.008404471565439036,0.013463956960686136,0.005218311444228049,0.003096682612670937
phikon_p50,F1,F,659,0.018834936895561937,0.017465196544523946,0.018009834589510484,0.017895970607061606,0.003670401836674245,0.006879724431103638,200,0.006956198923667668,0.009269156301504357,0.0045175705136021715,0.002377953701169666
phikon_p50,G2,G,402,0.18522168357389046,0.10667345931741928,0.0277495183525856,0.021920253903341076,0.006472183444970575,0.00952463106045852,200,0.007931862392496745,0.012062109608952015,0.004736339508051264,0.0035337043247521747
phikon_p50,H1,H,530,0.1496092429431261,0.050825502153708436,0.023193757146841815,0.02271383071481411,0.004165389229766466,0.00643158679636746,200,0.006743005911396972,0.011743633355776703,0.0041146867490175505,0.002720860015005097
phikon_cat,A1,A,340,0.07290490760206465,0.0359117826858373,0.010394125958105963,0.007495557792027474,0.006222360355641802,0.011945398563401037,200,0.009168597639185703,0.014111940343364424,0.0057775487430939175,0.003861929520459698
phikon_cat,B1,B,268,0.23144350052725945,0.07730048319971415,0.021543536423687146,0.023452833448738886,0.006814578689138447,0.009706546115027137,200,0.010652247721882332,0.014316657310830984,0.0064150185403726145,0.004026176606829634
phikon_cat,C1,C,165,0.23992798264728832,0.18378761383124936,0.042954340755115936,0.0290491741023798,0.018690124212403462,0.026347925012073347,195,0.022884242904103284,0.041048825310530244,0.014349662565357734,0.009765310165520057
phikon_cat,D1,D,255,0.13753690753368036,0.09658121272407309,0.04516981310715117,0.040529693294772275,0.009459678301110436,0.017098482982786305,200,0.011761840843557445,0.024582956011912113,0.007697016352683132,0.005769241131163182
phikon_cat,E1,E,534,0.017002776597667784,0.004537473729212127,0.017662428391587482,0.017578169338114145,0.005052663394047026,0.0073155005929334835,200,0.008473439168167054,0.014945482946736519,0.0054254203837300445,0.002691034396455777
phikon_cat,F1,F,659,0.01663285577916615,0.013718487088479262,0.015797716192987636,0.015858390467527326,0.0041440285769045,0.006688253724650669,200,0.006996338001483753,0.009711286088620295,0.004621032418797358,0.0024456916588259906
phikon_cat,G2,G,402,0.20274093560190165,0.11739941605448434,0.034192451946408034,0.028916732639594777,0.006252923426121363,0.012295440543245882,200,0.009306573188409991,0.015540849177519937,0.005376961153076802,0.003673752146582101
phikon_cat,H1,H,530,0.16037986381518687,0.05482615675203228,0.021741810828347304,0.021552488988934682,0.004221206608018388,0.007512072620414715,200,0.0063030584843509,0.012857958098609627,0.004231468863790294,0.0028041500209508023
