section,patient,n_spot,sd_loglib,geomean_lib,moran_I_loglib,sd_x_moran,ridge_median_r,libonly_median_r
A1,A,345,0.526005859537412,3979.6094783859958,0.3283402616992622,0.17270890157585922,0.0478543580839737,0.1663983382614022
A2,A,323,0.43488353189366147,7474.25940747241,0.29056446527717333,0.1263617009025303,0.0402604027263054,0.1231561327491335
A3,A,356,0.5012753197922097,6433.3975310192145,0.436201602317954,0.21865709769580668,0.0593036532060874,0.1403004557902961
A4,A,341,0.462478778761889,6368.020084425764,0.543278705299399,0.2512548721542062,0.0385501705596808,0.1208756227632799
A5,A,329,0.3926151989267764,6557.522572040022,0.3635180803837293,0.14272272344333775,0.0380982466762859,0.0978633700883228
A6,A,357,0.7400656925519464,5595.691628007817,0.643001818822757,0.4758635863592248,0.055752570710919,0.230598441198234
B1,B,293,1.2584301786074805,1607.7277063780746,0.8563743174364499,1.0776872852464108,0.1960889877869608,0.3907595221461045
B2,B,268,1.4277986686470003,1335.1315815975222,0.8739795387990903,1.2478668219220606,0.2455202870742226,0.4210709923152906
B3,B,297,1.2330236758944606,1309.1711740033618,0.8586714481190305,1.0587622253453466,0.214261879985503,0.376638195608332
B4,B,281,1.386493937582854,1076.483867725233,0.8313297330093916,1.152633634949894,0.2716467957950613,0.4152185004205964
B5,B,287,1.0609140678248963,2005.647067703365,0.8759270457493937,0.9292833252238333,0.2037141665723682,0.3130808323087157
B6,B,277,1.271127427077379,1508.4160327361499,0.8004399329485172,1.0174611524988384,0.2451277364224156,0.3874040497733559
C1,C,174,0.822510113189989,7218.281669120938,0.6305279893433187,0.5186156478842292,0.1826394202921435,0.3061690938774419
C2,C,185,0.8309311770210647,7765.964141092182,0.6054383711971346,0.5030776183925513,0.1701541737710376,0.2876058740535043
C3,C,179,0.8125345122040621,8650.870988074537,0.5742077859029762,0.4665636432224493,0.1627400001860871,0.2798132465463803
C4,C,184,0.7790445539640501,9396.39415706283,0.5575370032784625,0.43434616603752296,0.1644740009253504,0.2951209989513097
C5,C,179,0.7389330073270313,9121.04019795167,0.6307851210149538,0.4661079464487251,0.207315507896989,0.287939661406826
C6,C,176,0.6958559412723198,10761.162020031858,0.6334479177027872,0.4407884970200639,0.1856936549012904,0.2535103736465298
D1,D,306,0.6330287338957165,6881.366013040023,0.5887515729449644,0.3726966628004624,0.1087072682137779,0.1876479172235305
D2,D,302,0.6627918262591422,4467.820186074142,0.6490759983575912,0.4302022663324039,0.1117508268126928,0.2455621252953781
D3,D,300,0.6865823660608076,5165.412419596166,0.6758859401280808,0.46405136796037105,0.0812414990705959,0.2151863206547281
D4,D,299,0.8399767100612038,4720.902724614168,0.7535669190023526,0.6329786614345537,0.0756423251104902,0.2603917261776218
D5,D,304,0.6384430495318817,5238.3934898658945,0.6428724277615557,0.41043743324005194,0.0527437668633489,0.1890253660378941
D6,D,314,0.7134618664531798,4466.000218312514,0.7086038546192405,0.5055618286925609,0.0968052640617315,0.2251143040342579
E1,E,587,0.5259950726245897,1937.8032727491786,0.6998510181203996,0.3681181871026326,0.0234625863406839,0.187470757342639
E2,E,572,0.4190878290026316,3178.2505741540654,0.5356864283776888,0.22449966229497928,0.0324535054726907,0.1612898791609107
E3,E,570,0.47139654398075953,3074.1051674442024,0.648455791843608,0.30567981919938364,0.029668516122797,0.1734742652641257
F1,F,691,0.38910180231665104,3312.232632720729,0.3104951424147444,0.12081421952414229,0.0133638218597913,0.1520524291408472
F2,F,695,0.4338997157767001,3475.243061379315,0.31923655544977936,0.13851665067519203,0.0165241576229459,0.1685014330309739
F3,F,712,0.3953348516363942,3521.9576936131784,0.2664570071206674,0.10533974137752668,0.0040500256814987,0.1535940932499213
G1,G,441,0.6962859377084247,1683.0777013178308,0.505885508546204,0.35224096569119695,0.1341961055113661,0.2217066447594982
G2,G,467,0.7204676034374365,1874.2287061298791,0.5775484028768829,0.41610491368982694,0.1419220994274179,0.2468985074874597
G3,G,463,0.8085140389432887,1433.085073583874,0.5704385440862799,0.4612075712481274,0.1606369166656276,0.2612130398698775
H1,H,613,0.6334165863164961,1442.5460082556203,0.5784856984111426,0.36642243632050003,0.1317536420403394,0.2290884808979153
H2,H,603,0.7374201799901207,1571.5285046404617,0.7088880464124359,0.5227483507783035,0.1374646189528885,0.2689867641643769
H3,H,510,0.6149705951734588,1160.1800468525412,0.5490973783533988,0.3376787415741755,0.1216803063137466,0.2112615675630949
