section,patient,libonly,ridge,ridge_minus_lib
A1,A,0.1126125669916421,0.033760913482664016,-0.07885165350897808
A2,A,0.05703775767403714,0.013530021816339827,-0.043507735857697315
A3,A,0.07324073935990595,0.022846324117582254,-0.0503944152423237
A4,A,0.06343551790042054,0.013654984001598671,-0.049780533898821866
A5,A,0.04953003946011717,0.021312896475001217,-0.028217142985115955
A6,A,0.16366364162144104,0.03201869725323518,-0.13164494436820584
B1,B,0.31793702213558667,0.14420973217376637,-0.1737272899618203
B2,B,0.342451184552975,0.19328355505648165,-0.14916762949649337
B3,B,0.2891992007520864,0.16019306774780095,-0.12900613300428543
B4,B,0.3395489854628441,0.21206894807859364,-0.12748003738425048
B5,B,0.22431610004654212,0.14588810884013895,-0.07842799120640317
B6,B,0.3007816906913795,0.18043144367054328,-0.12035024702083622
C1,C,0.20619836570368383,0.1505387997761894,-0.05565956592749444
C2,C,0.18118506882180907,0.13463228686167827,-0.046552781960130796
C3,C,0.17135826111993388,0.1471589505328328,-0.02419931058710109
C4,C,0.17524124369123115,0.13737110123545826,-0.03787014245577289
C5,C,0.19018891480806324,0.1765582925896804,-0.013630622218382848
C6,C,0.15259206585547622,0.13112699390468388,-0.021465071950792336
D1,D,0.12009991691625073,0.08326523518350998,-0.03683468173274075
D2,D,0.19112086643919646,0.08507044498016883,-0.10605042145902763
D3,D,0.14532396521600727,0.0656917455637638,-0.07963221965224347
D4,D,0.1952920993517132,0.058605199188634015,-0.1366869001630792
D5,D,0.12871268696959512,0.0436991952043595,-0.08501349176523562
D6,D,0.16978019771753788,0.0822921854669233,-0.08748801225061459
E1,E,0.15826585303428697,0.02371125979904504,-0.13455459323524194
E2,E,0.12597847155669933,0.03302945708821538,-0.09294901446848396
E3,E,0.13656457288531082,0.033816256544345794,-0.10274831634096503
F1,F,0.12576354387552924,0.022400021489716093,-0.10336352238581314
F2,F,0.13960373746158025,0.018298018403728817,-0.12130571905785144
F3,F,0.13049905969668174,0.006217819488866438,-0.12428124020781531
G1,G,0.1549766498855666,0.10273857946728951,-0.05223807041827708
G2,G,0.18414625124979073,0.11262292759533107,-0.07152332365445965
G3,G,0.20206155695146844,0.12205082019300735,-0.08001073675846108
H1,H,0.18292732294808778,0.09587323801143674,-0.08705408493665104
H2,H,0.21476766089048893,0.09781649875431032,-0.11695116213617861
H3,H,0.16978061024256058,0.08813087839692982,-0.08164973184563076
