section,patient,libonly,ridge,diff
A1,A,0.16639833826140224,0.046973763068596956,-0.11942457519280528
A2,A,0.12315613274913358,0.03950232048553779,-0.08365381226359578
A3,A,0.14030045579029615,0.05530440209457536,-0.0849960536957208
A4,A,0.1208756227632799,0.03737767780877779,-0.0834979449545021
A5,A,0.09786337008832281,0.03496786559235024,-0.06289550449597257
A6,A,0.23059844119823408,0.05375099867647095,-0.17684744252176313
B1,B,0.39075952214610454,0.2042150206131465,-0.18654450153295804
B2,B,0.42107099231529066,0.2593295009862548,-0.16174149132903587
B3,B,0.37663819560833206,0.22251787973208467,-0.1541203158762474
B4,B,0.41521850042059644,0.2783396999631829,-0.13687880045741352
B5,B,0.31308083230871575,0.20840420129485587,-0.10467663101385988
B6,B,0.3874040497733559,0.2536757023432794,-0.1337283474300765
C1,C,0.3061690938774419,0.18593903867196696,-0.12023005520547494
C2,C,0.28760587405350435,0.18269553437627445,-0.1049103396772299
C3,C,0.2798132465463803,0.1854855668091434,-0.09432767973723688
C4,C,0.2951209989513097,0.19110365073090138,-0.10401734822040834
C5,C,0.28793966140682603,0.21797583531168704,-0.06996382609513899
C6,C,0.25351037364652984,0.17546425724653447,-0.07804611639999537
D1,D,0.18764791722353055,0.10598436488962161,-0.08166355233390894
D2,D,0.2455621252953781,0.10856914297824306,-0.13699298231713503
D3,D,0.2151863206547281,0.07830686994725389,-0.1368794507074742
D4,D,0.26039172617762185,0.07406531360717009,-0.18632641257045177
D5,D,0.18902536603789413,0.05126797174010795,-0.1377573942977862
D6,D,0.22511430403425794,0.09199728403659418,-0.13311701999766376
E1,E,0.18747075734263907,0.021561729612012297,-0.16590902773062677
E2,E,0.16128987916091075,0.03248683506191533,-0.12880304409899543
E3,E,0.17347426526412577,0.030246446916623548,-0.14322781834750223
F1,F,0.15205242914084724,0.022229057093493633,-0.1298233720473536
F2,F,0.16850143303097395,0.018923586221269034,-0.14957784680970493
F3,F,0.15359409324992135,0.005483672802840749,-0.1481104204470806
G1,G,0.22170664475949825,0.1343338960340948,-0.08737274872540346
G2,G,0.2468985074874597,0.14235645199782226,-0.10454205548963744
G3,G,0.2612130398698775,0.15931843845271032,-0.10189460141716716
H1,H,0.22908848089791534,0.1275278741794493,-0.10156060671846603
H2,H,0.2689867641643769,0.13480225164507542,-0.13418451251930147
H3,H,0.21126156756309497,0.11797645073121645,-0.09328511683187853
