section,patient,panel,target,smooth,n_genes,med_all,mean_all,heg50_mean,top50_testpcc,top100_testpcc
A1,A,hvg737_train,cp10k,raw,737,0.04785434644302999,0.05412727127620892,0.09975445476252862,0.2636625732728678,0.22332793616363264
A2,A,hvg737_train,cp10k,raw,737,0.04026040060342534,0.04610428517722185,0.07946468276029646,0.2596872852996633,0.21578485324041505
A3,A,hvg737_train,cp10k,raw,737,0.059303646887831754,0.06646032007982934,0.07418912790447661,0.28226074422692987,0.23895532335052017
A4,A,hvg737_train,cp10k,raw,737,0.03855019466756289,0.04336312478256756,0.04185931211532926,0.2580917638709625,0.20845567867464987
A5,A,hvg737_train,cp10k,raw,737,0.03809824788269134,0.05080000257482708,0.03573526896542644,0.2617696336157001,0.21869840224632256
A6,A,hvg737_train,cp10k,raw,737,0.05575256807887537,0.058491048084243324,0.05350180979166861,0.21595350054803958,0.18997264674456743
A1,A,hvg737_train,cp10k,smooth,737,0.08302126520137126,0.08727828966994133,0.15690075996715783,0.42316564841245125,0.36544694209121426
A2,A,hvg737_train,cp10k,smooth,737,0.05596609220432702,0.05592547316959682,0.10388230814553284,0.36083271710767467,0.30900637557154736
A3,A,hvg737_train,cp10k,smooth,737,0.07152914014712643,0.0812854799486333,0.08567960100238795,0.38940951191955103,0.33871523489115113
A4,A,hvg737_train,cp10k,smooth,737,0.07101275039948067,0.0626739555968211,0.05689834446073338,0.37449745566377873,0.3200161310755007
A5,A,hvg737_train,cp10k,smooth,737,0.06344544858825132,0.0713904029097208,0.02758249365307955,0.36812661149624093,0.3201123660609255
A6,A,hvg737_train,cp10k,smooth,737,0.11747088614062073,0.11583861448002723,0.11629160047146421,0.39988416826593165,0.36028274555103834
A1,A,hvg737_train,scprep,raw,737,0.031909130181306006,0.0401637791933047,0.08840304123287172,0.26284514063246067,0.21755279159713073
A2,A,hvg737_train,scprep,raw,737,0.023671967664544283,0.038233152732893606,0.0850098270382904,0.2755252715873618,0.22485803860394532
A3,A,hvg737_train,scprep,raw,737,0.045771401672238775,0.05552431600357944,0.07951155278069547,0.2821142871519953,0.23675159228769047
A4,A,hvg737_train,scprep,raw,737,0.030705438512901816,0.036986332023882844,0.051529662252066226,0.27061430918819523,0.2176181886319761
A5,A,hvg737_train,scprep,raw,737,0.03075960980328854,0.04554634199570601,0.049762161688762935,0.2679618041014894,0.222280101320042
A6,A,hvg737_train,scprep,raw,737,0.03889167527755094,0.04011749027286464,0.04854166523486114,0.19798273061678281,0.17099108906665872
A1,A,hvg737_train,scprep,smooth,737,0.04502753786496299,0.05470435524760059,0.12695912764725545,0.3756737205969822,0.32073758734349034
A2,A,hvg737_train,scprep,smooth,737,0.03349983460876766,0.03923053706139074,0.10113329715287803,0.34460946134270143,0.2930336439056473
A3,A,hvg737_train,scprep,smooth,737,0.05904653472836948,0.061209982658816504,0.08821819841934454,0.35521073849928236,0.3023912931454876
A4,A,hvg737_train,scprep,smooth,737,0.05147940533375054,0.04590818426295775,0.0635556785820605,0.3487616706153688,0.2976717187118017
A5,A,hvg737_train,scprep,smooth,737,0.0495625908027226,0.052291920349017654,0.03409355331586771,0.34030469336128816,0.2890265752995933
A6,A,hvg737_train,scprep,smooth,737,0.08251850261956331,0.08093530886468066,0.10086525679937405,0.37396222027581766,0.3257561411866962
A1,A,htg785_fixed,cp10k,raw,785,0.026576014023799988,0.02939011361500583,0.07926693857654349,0.1953764744247285,0.16003844265624437
A2,A,htg785_fixed,cp10k,raw,785,0.04643801701003282,0.048584805025500125,0.055916950653940194,0.20936361225431416,0.17610622691984554
A3,A,htg785_fixed,cp10k,raw,785,0.05853338785960841,0.055966241338419875,0.06057026984917395,0.20686797915755126,0.1774843170215411
A4,A,htg785_fixed,cp10k,raw,785,0.039544318239029264,0.0420364444070552,0.0393261339308745,0.20021094329630543,0.16679732350513773
A5,A,htg785_fixed,cp10k,raw,785,0.03962979732202569,0.04091146800248348,0.043250810063882913,0.18254254540529366,0.15643819226278854
A6,A,htg785_fixed,cp10k,raw,785,0.0470328473036818,0.04705639436254559,0.09150114455983392,0.1921496374950609,0.16352527056008992
A1,A,htg785_fixed,cp10k,smooth,785,0.03654659658642074,0.038890727829688,0.10485041961631701,0.29729957848060573,0.2526267678432937
A2,A,htg785_fixed,cp10k,smooth,785,0.08847457807668023,0.07832296497141988,0.07709068641822832,0.3258904297334737,0.2860803033712395
A3,A,htg785_fixed,cp10k,smooth,785,0.07718571719307725,0.07776395711600205,0.06395920120227497,0.3194581365637406,0.28488100590718946
A4,A,htg785_fixed,cp10k,smooth,785,0.08107660866819508,0.07291204649034534,0.042113087730670885,0.31802711078133195,0.27985625654006635
A5,A,htg785_fixed,cp10k,smooth,785,0.06695117791104416,0.06398285781813916,0.06323559198981246,0.2890799876263234,0.24974066219784938
A6,A,htg785_fixed,cp10k,smooth,785,0.11455726127854013,0.10444836501100482,0.18204281530158295,0.3558042199694503,0.31385789570744316
A1,A,htg785_fixed,scprep,raw,785,0.018179857943048616,0.02467824202073721,0.07925882565992941,0.21109465159908658,0.16809239844915375
A2,A,htg785_fixed,scprep,raw,785,0.029539203761740396,0.034577282766346557,0.053125469367228784,0.2276090348480263,0.1820043743123042
A3,A,htg785_fixed,scprep,raw,785,0.03424289492548045,0.039866726577668654,0.05426090571640798,0.2174519798306708,0.1772248516162203
A4,A,htg785_fixed,scprep,raw,785,0.028212471833781567,0.03152466204424304,0.04729414799992405,0.21311379516275422,0.17172021873485843
A5,A,htg785_fixed,scprep,raw,785,0.03302664646276597,0.03388156520940522,0.04849610871252077,0.20238770447492166,0.1651883069409778
A6,A,htg785_fixed,scprep,raw,785,0.02626583913142412,0.02800239776024424,0.057140502699633756,0.17555953464127214,0.14707683260284596
A1,A,htg785_fixed,scprep,smooth,785,0.030360821506328125,0.030048807726950462,0.08825421516973675,0.2895668188757164,0.24169436486513063
A2,A,htg785_fixed,scprep,smooth,785,0.053142367766822116,0.04866868244365521,0.053289047377239857,0.3126233602508547,0.26797769071526245
A3,A,htg785_fixed,scprep,smooth,785,0.050500540493810774,0.05277643183311547,0.04426532437504927,0.2940106416096593,0.2609675497099101
A4,A,htg785_fixed,scprep,smooth,785,0.05097061753967387,0.04906033268223929,0.03348379975073597,0.3105579667252007,0.26808811580972336
A5,A,htg785_fixed,scprep,smooth,785,0.05553573618010698,0.04853309831325386,0.04588610338059647,0.2878640561685986,0.243276582011456
A6,A,htg785_fixed,scprep,smooth,785,0.06778380437310258,0.06507141946743523,0.12349330588520711,0.332628900593155,0.28531227212545834
B1,B,hvg737_train,cp10k,raw,737,0.19608909724463155,0.19444306634732464,0.10676299375903733,0.44803704840688063,0.40732110006143946
B2,B,hvg737_train,cp10k,raw,737,0.24552034937608155,0.23689865262575985,0.13985086141896808,0.4571860797930059,0.4275042472953155
B3,B,hvg737_train,cp10k,raw,737,0.21426197236643943,0.21349500775382174,0.10566143465589008,0.46836202471613914,0.4283138908114426
B4,B,hvg737_train,cp10k,raw,737,0.2716465198684175,0.25551560930890793,0.17546898198414598,0.49379406364160167,0.46383773601404704
B5,B,hvg737_train,cp10k,raw,737,0.20371403205855165,0.20307273601447143,0.10112201002012021,0.4662135357436752,0.4244794619944472
B6,B,hvg737_train,cp10k,raw,737,0.24512772576061065,0.2408198987016301,0.17707588279518077,0.4969519425053059,0.4579676911388065
B1,B,hvg737_train,cp10k,smooth,737,0.32399309405121457,0.29552017753219356,0.1250534085636383,0.5990684786756391,0.5625178371494897
B2,B,hvg737_train,cp10k,smooth,737,0.4249055959991792,0.36784793667139015,0.20129265946933234,0.6216852526837716,0.5963441479134424
B3,B,hvg737_train,cp10k,smooth,737,0.39223057431231867,0.35817884471434913,0.164550783711901,0.6502636412086457,0.6202775745066302
B4,B,hvg737_train,cp10k,smooth,737,0.47197024157250866,0.4067512187897966,0.27505030931935576,0.683078240556121,0.659402750207536
B5,B,hvg737_train,cp10k,smooth,737,0.40356022902661876,0.36052233880012846,0.1636557005133245,0.6711365119350705,0.6364963316999228
B6,B,hvg737_train,cp10k,smooth,737,0.42888693107033105,0.38768441796308256,0.2841984133719033,0.6810879931188574,0.6509901613505715
B1,B,hvg737_train,scprep,raw,737,0.09307076579054882,0.10902955732835852,0.0969281399311305,0.38851774036441733,0.3355747712827348
B2,B,hvg737_train,scprep,raw,737,0.12321645054809836,0.13074404376591914,0.08804559510370132,0.38262894527502034,0.34156784284486347
B3,B,hvg737_train,scprep,raw,737,0.11061368986811339,0.12143379059282113,0.09740642604224874,0.4032155158342025,0.3533120668904285
