section,n_nan,med_all,mean_all,heg50_mean,heg100_mean,testtop50_mean,testtop100_mean
A1,0,0.0478543580839737,0.05412727225983593,0.10133279459266598,0.09800614411203026,0.2636625690825414,0.22332794125519112
A2,0,0.0402604027263054,0.04610428787262864,0.07946468791808593,0.0684586760172971,0.2596872958256796,0.21578485925033317
A3,0,0.0593036532060874,0.0664603214911525,0.07418913105989536,0.07390340149084214,0.2822607555023401,0.23895532988320167
A4,1,0.038550170559680796,0.04336312389501977,0.04185931398295382,0.04463766724965805,0.258091754997755,0.20845567396203044
A5,1,0.038098246676285905,0.0508000032930713,0.03573526773749992,0.04702901464334938,0.26176964093165805,0.2186984027184868
A6,1,0.055752570710919006,0.05849105193464688,0.05173821874554162,0.06751690168391296,0.21595351716851194,0.18997265778973765
B1,0,0.1960889877869608,0.19444306285821458,0.11318878922335184,0.1318979797349661,0.4480370355808567,0.4073210898423573
B2,0,0.2455202870742226,0.23689864352399276,0.14405303248950518,0.1686153609650166,0.45718604750566816,0.4275041964560719
B3,0,0.214261879985503,0.21349500238250846,0.13084631928819052,0.15445422599978642,0.4683619764061511,0.42831388376273793
B4,0,0.2716467957950613,0.2555156200057409,0.16825621427258602,0.195433825049235,0.49379404051505593,0.46383770381222406
B5,0,0.2037141665723682,0.20307273683912844,0.10646812033263128,0.1329641121240947,0.46621353044821734,0.424479452006774
B6,0,0.2451277364224156,0.24081990607495182,0.1802373634006835,0.20043319692114703,0.49695197918387657,0.45796772311157496
C1,0,0.1826394202921435,0.17886237774231584,0.14869490723505402,0.18594637013606166,0.4033969908553878,0.368100389236471
C2,0,0.1701541737710376,0.1757076498530298,0.15757175941903168,0.17337282779125268,0.42093892040355413,0.3803303056642371
C3,0,0.1627400001860871,0.16461571280051138,0.1741464875174886,0.19424763824066396,0.40178996940014955,0.3639490993210771
C4,0,0.1644740009253504,0.1718737578385342,0.1921578401952736,0.186204911026532,0.42411593935931646,0.39224547890751615
C5,0,0.207315507896989,0.2093329002033827,0.2369160518612253,0.2418919237025141,0.4590884198335732,0.42161761193856967
C6,0,0.1856936549012904,0.1827384251033146,0.1693915292156559,0.19208316080556004,0.4685362378609748,0.42194480052139965
D1,0,0.1087072682137779,0.11336274068044491,0.15487028680658407,0.14651930469050037,0.3290011769329842,0.2849998301193341
D2,0,0.1117508268126928,0.11625283857527692,0.135629303511973,0.12180891904073862,0.3110412455927332,0.27786555433830706
D3,1,0.08124149907059586,0.0872549982226517,0.09563740328869517,0.09336623780142186,0.27722398529377634,0.23963444413793078
D4,0,0.0756423251104902,0.08014086719289494,0.08279924617406788,0.07441336224247466,0.26678249694906325,0.23591749082563893
D5,0,0.0527437668633489,0.050313729922661,0.057336159263584444,0.04285659662622085,0.2306065477109481,0.2019870384550738
D6,0,0.0968052640617315,0.0922292264300269,0.08977520093649219,0.09555843663828124,0.27113165728436855,0.2465083252419998
E1,0,0.0234625863406839,0.033073331119665525,0.13124622709337375,0.08493666781761769,0.24192254510863628,0.18688094619035414
E2,0,0.0324535054726907,0.04442922421064073,0.13280888770577184,0.09763938866833813,0.27487259137078907,0.21440601698741987
E3,0,0.029668516122797,0.044189264427218794,0.1207425960347267,0.09601220922929513,0.28520867294488705,0.2222534573989158
F1,0,0.0133638218597913,0.016083400970624894,0.030237839489550344,0.02202945805767731,0.1289692107320098,0.10595740524103954
F2,0,0.0165241576229459,0.021647057922770073,0.05132838747030121,0.03396334241745082,0.15112359061953376,0.12162076677913777
F3,0,0.0040500256814987,0.006001260272433519,0.023763580577404596,0.016713477393966183,0.11997929572892434,0.09388819592273068
G1,0,0.1341961055113661,0.13782894245567517,0.17267310187578702,0.16713452483286,0.33613970848901187,0.2988547817799784
G2,0,0.1419220994274179,0.14891385487233996,0.1737170094070864,0.15773156793765739,0.34810613530946183,0.31099507913158264
G3,0,0.1606369166656276,0.16355172792674477,0.192931902603156,0.18768147722790413,0.3473077944387011,0.3184316382693174
H1,0,0.1317536420403394,0.1311148499664442,0.06975155360845325,0.09173289722319236,0.3250986051232121,0.28884636044150475
H2,0,0.1374646189528885,0.1421343770766576,0.08417288475807305,0.09501541464384301,0.3509736712017178,0.3110931357340526
H3,0,0.1216803063137466,0.12248100641185315,0.07605474162679102,0.103760439691032,0.3239479725735135,0.28211010409342335
