section,r_splithalf_med,r_sb_full
A1,0.11800960729952595,0.21110660682884452
A2,0.11154114520951758,0.200696385716775
A3,0.11784277634598948,0.21083962582143187
A4,0.11612951463697026,0.20809325999186085
A5,0.10188443065906827,0.1849276164073365
A6,0.1317207775010868,0.2327796398541606
B1,0.22613515347329574,0.36885844571492543
B2,0.2660050983080148,0.42022753093731474
B3,0.21456248787572052,0.35331650700161504
B4,0.2544215405231404,0.40563962321156755
B5,0.1796671089506618,0.3046064564951368
B6,0.2293421997733089,0.3731136860275352
C1,0.2030684912140264,0.3375842567518468
C2,0.2076994508282034,0.34395883957017526
C3,0.20961870218115453,0.3465864107477427
C4,0.21263642168182736,0.3507010310426238
C5,0.19662946624262168,0.3286388506878941
C6,0.18481468307327772,0.3119723037089462
D1,0.13359789951965612,0.2357059757719489
D2,0.15033846350807611,0.26138126869130923
D3,0.14766748634469365,0.2573349652258821
D4,0.1739084572527944,0.29628964026680354
D5,0.1313659342209098,0.23222536625406187
D6,0.14035721316182587,0.24616359074480298
E1,0.08373299600011498,0.15452698461550968
E2,0.0909062878884674,0.1666619560226818
E3,0.09287915018291469,0.1699714925797048
F1,0.07251232269902984,0.13521956095860796
F2,0.08312806762410083,0.153496285635819
F3,0.06855996266321392,0.1283221626465196
G1,0.14570651851816008,0.2543522554215974
G2,0.15595171677749678,0.2698239286537867
G3,0.15824245527600728,0.2732458209508446
H1,0.1243191681373504,0.22114568827161218
H2,0.15443177230251584,0.26754594945789034
H3,0.1303010211805099,0.23055985748720423
