sample,fold,panel,spotset,caliber,n_spots,n_genes,rtech_med_mine,rtech_med_stnull,rtech_q25,rtech_q75,method
INT24,0,hest_var50,all,log1p_raw,4510,50,0.6920954985396786,0.6940072073064638,0.5740437242773129,0.7720509078847426,split_half_full
INT24,0,hest_var50,all,cp10k_panel,4510,50,0.5018115545983766,0.49849173463514906,0.4136416112281225,0.5803186357193405,split_half_full
INT24,0,hest_var50,all,cp10k_full,4510,50,0.3991763760042373,0.40096872104635495,0.3116646485643301,0.5070555830320838,split_half_full
INT15,0,hest_var50,all,log1p_raw,4940,50,0.37344090398591795,0.37269542362623886,0.30585057131927945,0.49197675154038706,split_half_full
INT15,0,hest_var50,all,cp10k_panel,4940,50,0.30392975976210024,0.30502025530301474,0.2512577683105393,0.41239887445272483,split_half_full
INT15,0,hest_var50,all,cp10k_full,4940,50,0.2716317899290302,0.269714149241705,0.19409329862958538,0.3823734814254767,split_half_full
INT14,0,hest_var50,all,log1p_raw,4562,50,0.3702430814497877,0.3708069132628996,0.31565702923524136,0.4728655379456488,split_half_full
INT14,0,hest_var50,all,cp10k_panel,4562,50,0.32303041487466455,0.32279313667825116,0.2707052004839354,0.3886274440927036,split_half_full
INT14,0,hest_var50,all,cp10k_full,4562,50,0.2762878851858135,0.2765887136515963,0.2235332281675659,0.34909843953696107,split_half_full
INT13,0,hest_var50,all,log1p_raw,4359,50,0.5592099194497813,0.5551238447305143,0.4652675893024761,0.7062564065354066,split_half_full
INT13,0,hest_var50,all,cp10k_panel,4359,50,0.46658245334791226,0.47272118661491314,0.3839959710308833,0.5734471976403013,split_half_full
INT13,0,hest_var50,all,cp10k_full,4359,50,0.3925728713578852,0.3975966129061899,0.2782703692606636,0.5124421002090094,split_half_full
INT12,1,hest_var50,all,log1p_raw,1451,50,0.5799505380872985,0.5814828560402685,0.4206550215820827,0.6643996511683261,split_half_full
INT12,1,hest_var50,all,cp10k_panel,1451,50,0.43923351064395344,0.44188915341641133,0.35732516731968167,0.5189587962314964,split_half_full
INT12,1,hest_var50,all,cp10k_full,1451,50,0.42909479955923524,0.43539063922758636,0.3451521103333721,0.5832328242877718,split_half_full
INT11,1,hest_var50,all,log1p_raw,1439,50,0.6504126124172407,0.6482579808456703,0.5762721765207656,0.720478028333867,split_half_full
INT11,1,hest_var50,all,cp10k_panel,1439,50,0.4917005232248229,0.48764560747757657,0.44835659263148825,0.5167074729727488,split_half_full
INT11,1,hest_var50,all,cp10k_full,1439,50,0.4457222447296256,0.44752822478795873,0.39120457261142905,0.4769606912403094,split_half_full
INT10,1,hest_var50,all,log1p_raw,1983,50,0.8136098215147578,0.8149368432005917,0.7245754957730932,0.9069794266936327,split_half_full
INT10,1,hest_var50,all,cp10k_panel,1983,50,0.6893588668700839,0.6921908236189664,0.6235058561276599,0.8027841312300169,split_half_full
INT10,1,hest_var50,all,cp10k_full,1983,50,0.5259038030703637,0.5122128153738629,0.44789646956081797,0.662543343813537,split_half_full
INT9,1,hest_var50,all,log1p_raw,1696,50,0.6463825403996091,0.6508086016587968,0.5269614410434746,0.7563047470794836,split_half_full
INT9,1,hest_var50,all,cp10k_panel,1696,50,0.5422776781523637,0.5451634493643719,0.4427562264726489,0.6154717890701839,split_half_full
INT9,1,hest_var50,all,cp10k_full,1696,50,0.43659161035625127,0.437267825369835,0.3578394824740951,0.510769582680866,split_half_full
INT8,2,hest_var50,all,log1p_raw,1949,50,0.7069887457437211,0.703593537203322,0.6098516138762549,0.7906032329504442,split_half_full
INT8,2,hest_var50,all,cp10k_panel,1949,50,0.5275763555052784,0.5288769165708784,0.46601004215738995,0.5949466159838417,split_half_full
INT8,2,hest_var50,all,cp10k_full,1949,50,0.44887701693780974,0.4563349150605223,0.3943230844303877,0.5516541712735631,split_half_full
INT7,2,hest_var50,all,log1p_raw,2374,50,0.5539034456571077,0.5560809248397329,0.46703925274060626,0.6322332539901528,split_half_full
INT7,2,hest_var50,all,cp10k_panel,2374,50,0.4412263744817068,0.4457129505605354,0.3991647083024344,0.4762422055060666,split_half_full
INT7,2,hest_var50,all,cp10k_full,2374,50,0.35305270110230325,0.3650410048614495,0.3064406256227291,0.43790926491735527,split_half_full
INT6,2,hest_var50,all,log1p_raw,1678,50,0.674370993327162,0.6718806211319337,0.6171521248816483,0.7561481221830748,split_half_full
INT6,2,hest_var50,all,cp10k_panel,1678,50,0.5684776777361427,0.5696902568602538,0.5066188494731807,0.6449896216853689,split_half_full
INT6,2,hest_var50,all,cp10k_full,1678,50,0.47014627580427354,0.456264386931827,0.388563681719224,0.5497074122326707,split_half_full
INT23,2,hest_var50,all,log1p_raw,4755,50,0.5024847070372651,0.4992402212183868,0.3968861459762194,0.6528409306352088,split_half_full
INT23,2,hest_var50,all,cp10k_panel,4755,50,0.39349775862441805,0.39149886201187556,0.3376085305052154,0.48230830157286064,split_half_full
INT23,2,hest_var50,all,cp10k_full,4755,50,0.3295648307581327,0.3391212548400965,0.23945420512488527,0.4955599866408541,split_half_full
INT5,3,hest_var50,all,log1p_raw,1186,50,0.9132498302660248,0.9120789248902292,0.8531199141780772,0.9410909254009021,split_half_full
INT5,3,hest_var50,all,cp10k_panel,1186,50,0.65200456652583,0.6525117456538055,0.5923989585055089,0.7097588143063936,split_half_full
INT5,3,hest_var50,all,cp10k_full,1186,50,0.7581995261086382,0.7513803229684946,0.6743128204084898,0.8094408436838331,split_half_full
INT4,3,hest_var50,all,log1p_raw,1349,50,0.604841247616166,0.6110781176753131,0.5237581509116519,0.6851181091451741,split_half_full
INT4,3,hest_var50,all,cp10k_panel,1349,50,0.5089849422381428,0.5098534358718662,0.44028400876875123,0.5526663647009067,split_half_full
INT4,3,hest_var50,all,cp10k_full,1349,50,0.42031241215650994,0.41990916290280733,0.35183737892685485,0.4714363614468447,split_half_full
INT3,3,hest_var50,all,log1p_raw,2007,50,0.5209740613344378,0.5232729447929323,0.4582301433201893,0.6241321407177645,split_half_full
INT3,3,hest_var50,all,cp10k_panel,2007,50,0.4255699859409625,0.42507921695728446,0.3900364231379755,0.4939182745891922,split_half_full
INT3,3,hest_var50,all,cp10k_full,2007,50,0.3514511485471785,0.3572164797510182,0.2904928790471495,0.4122001238986783,split_half_full
INT2,3,hest_var50,all,log1p_raw,2580,50,0.5956072782023928,0.599083527012906,0.42574709332806615,0.6673116304229462,split_half_full
INT2,3,hest_var50,all,cp10k_panel,2580,50,0.4935444546848775,0.4925693941828112,0.37124614366874187,0.5567285617973498,split_half_full
INT2,3,hest_var50,all,cp10k_full,2580,50,0.3968305149601007,0.3888295504719387,0.29637516491486193,0.4626754366551769,split_half_full
INT1,4,hest_var50,all,log1p_raw,1084,50,0.4270546524021208,0.42029896630791563,0.33463068942214863,0.5968994445189232,split_half_full
INT1,4,hest_var50,all,cp10k_panel,1084,50,0.36823561197677135,0.36476182833833526,0.30183626666697716,0.4837073509153364,split_half_full
INT1,4,hest_var50,all,cp10k_full,1084,50,0.3137403165526241,0.3096863291973173,0.23880444815101984,0.41649605511026855,split_half_full
INT22,4,hest_var50,all,log1p_raw,3829,50,0.47963280134128405,0.4772063226557451,0.39050452213822207,0.5718331948170748,split_half_full
INT22,4,hest_var50,all,cp10k_panel,3829,50,0.3744016992198102,0.36930898835478676,0.3141893787527824,0.4571605705200636,split_half_full
INT22,4,hest_var50,all,cp10k_full,3829,50,0.2979173583704777,0.29666405026080667,0.21257908305745046,0.4062348189150922,split_half_full
INT21,4,hest_var50,all,log1p_raw,4975,50,0.5829809240170207,0.5824810959547371,0.4635185065808194,0.6961412486879265,split_half_full
INT21,4,hest_var50,all,cp10k_panel,4975,50,0.4970570226561054,0.49635446996458255,0.38520484409550687,0.594296263332232,split_half_full
INT21,4,hest_var50,all,cp10k_full,4975,50,0.4761420538892993,0.4746687413264118,0.25902513094691154,0.5575383951122814,split_half_full
INT20,4,hest_var50,all,log1p_raw,4860,50,0.49057465162445896,0.49045517671225725,0.396386074390344,0.59627519098151,split_half_full
INT20,4,hest_var50,all,cp10k_panel,4860,50,0.41832702636333186,0.4134035299582687,0.3291145268008699,0.5061052436995821,split_half_full
INT20,4,hest_var50,all,cp10k_full,4860,50,0.3821229235535146,0.37255767625226566,0.2747812069145842,0.4739167664779596,split_half_full
INT19,5,hest_var50,all,log1p_raw,4948,50,0.43371819891771757,0.4283694390781597,0.3610335982465195,0.503461100570076,split_half_full
INT19,5,hest_var50,all,cp10k_panel,4948,50,0.38300131703001894,0.3718733469719394,0.30709022453517254,0.425814299742499,split_half_full
INT19,5,hest_var50,all,cp10k_full,4948,50,0.2908743408836122,0.2896001680471175,0.2351990266457824,0.34785139781361146,split_half_full
INT18,5,hest_var50,all,log1p_raw,4915,50,0.5870220090921248,0.5844272691210699,0.492175826170396,0.702672182148832,split_half_full
INT18,5,hest_var50,all,cp10k_panel,4915,50,0.47131188457486806,0.476313822350098,0.415674132814976,0.5852811216955374,split_half_full
INT18,5,hest_var50,all,cp10k_full,4915,50,0.377875588912047,0.3819353927854923,0.28506266183612217,0.5086546701855952,split_half_full
INT17,5,hest_var50,all,log1p_raw,3585,50,0.48689782610539245,0.48896488624024587,0.385548310829241,0.5391154528176109,split_half_full
INT17,5,hest_var50,all,cp10k_panel,3585,50,0.4134529781244825,0.41462945197994217,0.3140090014231891,0.465823532035859,split_half_full
INT17,5,hest_var50,all,cp10k_full,3585,50,0.3067493734172033,0.3095085325375041,0.24408118250626412,0.39070907372834984,split_half_full
INT16,5,hest_var50,all,log1p_raw,3206,50,0.4086318420684793,0.4139910762151756,0.3466046265369566,0.5074335454369708,split_half_full
INT16,5,hest_var50,all,cp10k_panel,3206,50,0.340960610917176,0.3210522244675271,0.2716563433641471,0.414262429336708,split_half_full
INT16,5,hest_var50,all,cp10k_full,3206,50,0.3041118816927638,0.2998578086598037,0.21164716373061804,0.3777829381547937,split_half_full
INT24,0,trainHVG737,all,log1p_raw,4510,737,0.6990853185268548,,0.6139793106261727,0.7931353844156595,skipped_dup_impl
INT24,0,trainHVG737,all,cp10k_panel,4510,737,0.4565428494150285,,0.381461261648211,0.560009016056299,skipped_dup_impl
INT24,0,trainHVG737,all,cp10k_full,4510,737,0.40737830722128787,,0.32291325517514863,0.5308143440406524,skipped_dup_impl
INT15,0,trainHVG737,all,log1p_raw,4940,737,0.4235708736683962,,0.3207851189907935,0.5535907305041966,skipped_dup_impl
INT15,0,trainHVG737,all,cp10k_panel,4940,737,0.32024526260241837,,0.24473419612204173,0.42286754719229686,skipped_dup_impl
INT15,0,trainHVG737,all,cp10k_full,4940,737,0.2903429006637955,,0.21255205398839508,0.40229516903073137,skipped_dup_impl
INT14,0,trainHVG737,all,log1p_raw,4562,737,0.42012787950962505,,0.3349610245538708,0.5399269806966872,skipped_dup_impl
INT14,0,trainHVG737,all,cp10k_panel,4562,737,0.31258806301122194,,0.23990466786703527,0.40583198056151687,skipped_dup_impl
INT14,0,trainHVG737,all,cp10k_full,4562,737,0.28202649868543206,,0.20627991538025126,0.3854652981241127,skipped_dup_impl
INT13,0,trainHVG737,all,log1p_raw,4359,737,0.5420323498386508,,0.4424108535121279,0.6751502736974596,skipped_dup_impl
INT13,0,trainHVG737,all,cp10k_panel,4359,737,0.40001674970936507,,0.3287405988530166,0.513077076297636,skipped_dup_impl
INT13,0,trainHVG737,all,cp10k_full,4359,737,0.33721391165175196,,0.2647070111490775,0.4670392084800065,skipped_dup_impl
INT12,1,trainHVG737,all,log1p_raw,1451,737,0.5086377034722042,,0.42368293523150574,0.640040644539853,skipped_dup_impl
INT12,1,trainHVG737,all,cp10k_panel,1451,737,0.3967682054621445,,0.32977527071686713,0.5005655044087605,skipped_dup_impl
INT12,1,trainHVG737,all,cp10k_full,1451,737,0.3950446042287475,,0.31099489621903015,0.5126122628040685,skipped_dup_impl
INT11,1,trainHVG737,all,log1p_raw,1439,737,0.6407495044770181,,0.5775259380696766,0.725105752933673,skipped_dup_impl
INT11,1,trainHVG737,all,cp10k_panel,1439,737,0.443902801960039,,0.4000332158885599,0.49452856414366203,skipped_dup_impl
INT11,1,trainHVG737,all,cp10k_full,1439,737,0.4214571689859913,,0.3702059292894176,0.4807843141646455,skipped_dup_impl
INT10,1,trainHVG737,all,log1p_raw,1983,737,0.8266451689767791,,0.7453667431104887,0.8997512968216855,skipped_dup_impl
INT10,1,trainHVG737,all,cp10k_panel,1983,737,0.6575144402098594,,0.5777146551351093,0.7239790357794383,skipped_dup_impl
INT10,1,trainHVG737,all,cp10k_full,1983,737,0.533300087956139,,0.4627051780109083,0.6240045589127775,skipped_dup_impl
INT9,1,trainHVG737,all,log1p_raw,1696,737,0.6204043339496338,,0.5430156302427392,0.7283081868667912,skipped_dup_impl
INT9,1,trainHVG737,all,cp10k_panel,1696,737,0.4790833204177069,,0.42170017215010175,0.5522062632637467,skipped_dup_impl
INT9,1,trainHVG737,all,cp10k_full,1696,737,0.41104130402274325,,0.35725742811656924,0.47573513768737086,skipped_dup_impl
INT8,2,trainHVG737,all,log1p_raw,1949,737,0.6793636812767636,,0.5845547278546346,0.7710437523960644,skipped_dup_impl
INT8,2,trainHVG737,all,cp10k_panel,1949,737,0.47248370066901085,,0.4072829043000057,0.546099145783746,skipped_dup_impl
INT8,2,trainHVG737,all,cp10k_full,1949,737,0.4273952787996586,,0.3529804694378678,0.5235332581828952,skipped_dup_impl
INT7,2,trainHVG737,all,log1p_raw,2374,737,0.587686953154178,,0.5059543517539743,0.6863835473499682,skipped_dup_impl
INT7,2,trainHVG737,all,cp10k_panel,2374,737,0.40147999550386315,,0.3525129550962544,0.45342653815361983,skipped_dup_impl
INT7,2,trainHVG737,all,cp10k_full,2374,737,0.36490491568330174,,0.31231123491317253,0.4279572541542429,skipped_dup_impl
INT6,2,trainHVG737,all,log1p_raw,1678,737,0.716584564597214,,0.6356076569706751,0.7980158953469108,skipped_dup_impl
INT6,2,trainHVG737,all,cp10k_panel,1678,737,0.5437435638158001,,0.48035414955714795,0.5988378159544535,skipped_dup_impl
INT6,2,trainHVG737,all,cp10k_full,1678,737,0.47961976832247827,,0.4110548890906594,0.5441030385991918,skipped_dup_impl
INT23,2,trainHVG737,all,log1p_raw,4755,737,0.5929814409736014,,0.473675374870087,0.7150820311356918,skipped_dup_impl
