sample,fold,panel,spotset,caliber,n_spots,n_genes,med_r_trainfit,mean_r_trainfit,med_r_cv,mean_r_cv
INT24,0,hest_var50,all,log1p_raw,4510,50,0.4718623035524476,0.47358342128760456,0.47023306345919746,0.47244250452101183
INT15,0,hest_var50,all,log1p_raw,4940,50,0.2698977413833106,0.31730202349980696,0.26872987698650763,0.315962487547302
INT14,0,hest_var50,all,log1p_raw,4562,50,0.26402089755824504,0.27061892312499447,0.26312760162384474,0.26885007789717247
INT13,0,hest_var50,all,log1p_raw,4359,50,0.4125258210623217,0.4178200391672342,0.4113521407783329,0.4165374460571277
INT24,0,hest_var50,all,cp10k_panel,4510,50,0.31688383336390435,0.3168766467718066,0.3152565326000156,0.31559693372406733
INT15,0,hest_var50,all,cp10k_panel,4940,50,0.206830486978741,0.22943499825725433,0.20399350831907048,0.22732277232364262
INT14,0,hest_var50,all,cp10k_panel,4562,50,0.2094135684862627,0.21123599238856675,0.2079041643331971,0.20924368766365853
INT13,0,hest_var50,all,cp10k_panel,4359,50,0.3059975569679763,0.31219053888448944,0.3052148241129836,0.31057016991004427
INT24,0,hest_var50,all,cp10k_full,4510,50,0.1897728048641714,0.18420795076105417,0.1875525949232704,0.18716326269544348
INT15,0,hest_var50,all,cp10k_full,4940,50,0.1160751995673075,0.13509527351990047,0.1097619705557619,0.12839374117708102
INT14,0,hest_var50,all,cp10k_full,4562,50,0.11833292372362031,0.11391538306122846,0.1152445991786345,0.11245296352195167
INT13,0,hest_var50,all,cp10k_full,4359,50,0.16339867890621235,0.1661590674907269,0.16062110240719812,0.1640603909421638
INT24,0,trainHVG50,all,log1p_raw,4510,50,0.47186230355244774,0.4749055255636522,0.47139716472259136,0.4740519455708767
INT15,0,trainHVG50,all,log1p_raw,4940,50,0.2855243381809667,0.3300394362751973,0.28432896098730986,0.32867137801266894
INT14,0,trainHVG50,all,log1p_raw,4562,50,0.25879798197536275,0.2740392678191473,0.2550019315026153,0.27200651333173814
INT13,0,trainHVG50,all,log1p_raw,4359,50,0.44171540255152253,0.4388268034166872,0.440089763413911,0.4377352974435511
INT24,0,trainHVG50,all,cp10k_panel,4510,50,0.32352221483278853,0.32570204224072485,0.32228733694185197,0.3244115842215365
INT15,0,trainHVG50,all,cp10k_panel,4940,50,0.22135812653661574,0.23724475196927167,0.21994439951949846,0.2346528601284037
INT14,0,trainHVG50,all,cp10k_panel,4562,50,0.2090038692044749,0.21306749472395425,0.2071269882648675,0.21146538787634192
INT13,0,trainHVG50,all,cp10k_panel,4359,50,0.33826552456930215,0.3224174586845173,0.33738288425724905,0.3208614019261784
INT24,0,trainHVG50,all,cp10k_full,4510,50,0.19270352883208822,0.19424064213139441,0.19057022036963372,0.19142335824479165
INT15,0,trainHVG50,all,cp10k_full,4940,50,0.13116200050622656,0.14169783316655044,0.12816619362416848,0.13476707629770587
INT14,0,trainHVG50,all,cp10k_full,4562,50,0.11271871555362564,0.11540320338267859,0.10876350752525585,0.1155889868749209
INT13,0,trainHVG50,all,cp10k_full,4359,50,0.18444095889844564,0.17462007051124007,0.182416972998105,0.17042638729057571
INT24,0,trainHVG737,all,log1p_raw,4510,737,0.5241393654469736,0.5273445007452255,0.5232959006227365,0.5265131054530695
INT15,0,trainHVG737,all,log1p_raw,4940,737,0.31972618073196785,0.3531047180071841,0.3181250881785054,0.35150960515605817
INT14,0,trainHVG737,all,log1p_raw,4562,737,0.31465452903704827,0.3354062507535292,0.3121942691587416,0.3329976823985524
INT13,0,trainHVG737,all,log1p_raw,4359,737,0.44278758779033434,0.4554730842096177,0.4417314828312027,0.45443442565002623
INT24,0,trainHVG737,all,cp10k_panel,4510,737,0.26625003022752874,0.26515753170274475,0.2647869491899851,0.2639590350076737
INT15,0,trainHVG737,all,cp10k_panel,4940,737,0.18210556925415325,0.1898564610998985,0.18112275916984075,0.19095724946227333
INT14,0,trainHVG737,all,cp10k_panel,4562,737,0.1861397716425588,0.19188066523171562,0.18406012918046083,0.19029299425288326
INT13,0,trainHVG737,all,cp10k_panel,4359,737,0.26375154932488026,0.2631096152034241,0.2625050538219476,0.26219571246110995
INT24,0,trainHVG737,all,cp10k_full,4510,737,0.20408178571017896,0.20278933889780576,0.20212387397462733,0.20394586536326342
INT15,0,trainHVG737,all,cp10k_full,4940,737,0.1290919744888542,0.13721522214358106,0.12843498158657993,0.1421897398541757
INT14,0,trainHVG737,all,cp10k_full,4562,737,0.13538766842021796,0.1409236140765372,0.13267900686269266,0.13988093233754811
INT13,0,trainHVG737,all,cp10k_full,4359,737,0.17474177216478287,0.17236013151865295,0.1724025676274597,0.1730154430839833
INT12,1,hest_var50,all,log1p_raw,1451,50,0.29769448576967317,0.31525451422360323,0.29481618792247777,0.3090076308175298
INT11,1,hest_var50,all,log1p_raw,1439,50,0.4971053874723325,0.5104893035968825,0.49449492464348904,0.5074243722145142
INT10,1,hest_var50,all,log1p_raw,1983,50,0.6913174787775407,0.6957569623527528,0.6901989027880038,0.6949982436301422
INT9,1,hest_var50,all,log1p_raw,1696,50,0.560790226279839,0.5452707160290774,0.5600702579934583,0.5428206319100235
INT12,1,hest_var50,all,cp10k_panel,1451,50,0.18227496718761443,0.18514418345452427,0.17534356150735486,0.17393830505449795
INT11,1,hest_var50,all,cp10k_panel,1439,50,0.26423314884807003,0.2553018069233976,0.25983412765225944,0.24805512919762432
INT10,1,hest_var50,all,cp10k_panel,1983,50,0.5716397147240686,0.5443797113910503,0.570200753040415,0.5423293613506549
INT9,1,hest_var50,all,cp10k_panel,1696,50,0.4035932358765384,0.3823143303710668,0.4013835080967644,0.3786946014266338
INT12,1,hest_var50,all,cp10k_full,1451,50,0.07762857407367002,0.0686335576056285,0.07949630827342034,0.07400457578163191
