fold,panel,spotset,caliber,n_spots,n_genes,med_r_concat,mean_r_concat
0,hest_var50,all,log1p_raw,18371,50,0.37775017924381793,0.3742593998121281
0,hest_var50,all,cp10k_panel,18371,50,0.274857760637925,0.2674502665090127
0,hest_var50,all,cp10k_full,18371,50,0.16454453849065884,0.16101239099105263
0,trainHVG50,all,log1p_raw,18371,50,0.4028247727597447,0.3877954133991272
0,trainHVG50,all,cp10k_panel,18371,50,0.2909264939185362,0.27886453192913835
0,trainHVG50,all,cp10k_full,18371,50,0.1864510405133712,0.1712533123420156
0,trainHVG737,all,log1p_raw,18371,737,0.4067659054585933,0.41558258743531956
0,trainHVG737,all,cp10k_panel,18371,737,0.2211019215155752,0.22368274000997052
0,trainHVG737,all,cp10k_full,18371,737,0.15585821436946443,0.16056679819208544
1,hest_var50,all,log1p_raw,6569,50,0.537707765284709,0.5563406530111867
1,hest_var50,all,cp10k_panel,6569,50,0.39810819014700766,0.39023239598192555
1,hest_var50,all,cp10k_full,6569,50,0.1760955733340236,0.17928106868808388
1,trainHVG50,all,log1p_raw,6569,50,0.5487742766579073,0.5685389664987593
1,trainHVG50,all,cp10k_panel,6569,50,0.3958744089801216,0.3929823497967447
1,trainHVG50,all,cp10k_full,6569,50,0.17933411891086143,0.1897615197350675
1,trainHVG737,all,log1p_raw,6569,737,0.5918376585031588,0.5912076833201195
1,trainHVG737,all,cp10k_panel,6569,737,0.32605832245488653,0.3140844961296865
1,trainHVG737,all,cp10k_full,6569,737,0.20516115021955694,0.19770174083580921
2,hest_var50,all,log1p_raw,10756,50,0.4106919081740842,0.41605370192966035
2,hest_var50,all,cp10k_panel,10756,50,0.3002363629996011,0.2828571098077256
2,hest_var50,all,cp10k_full,10756,50,0.1404358795155584,0.1382988849026433
2,trainHVG50,all,log1p_raw,10756,50,0.41591541508840524,0.43223533580396667
2,trainHVG50,all,cp10k_panel,10756,50,0.3028255038490988,0.2824060191115165
2,trainHVG50,all,cp10k_full,10756,50,0.1404358795155584,0.13220587125244868
2,trainHVG737,all,log1p_raw,10756,737,0.47672534575590514,0.48785443787706056
2,trainHVG737,all,cp10k_panel,10756,737,0.23660580154602026,0.2262852461200181
2,trainHVG737,all,cp10k_full,10756,737,0.17480671879935233,0.1695046681658873
3,hest_var50,all,log1p_raw,7122,50,0.789729305680424,0.7525762510419353
3,hest_var50,all,cp10k_panel,7122,50,0.48603572463842826,0.45314704223132213
3,hest_var50,all,cp10k_full,7122,50,0.38458697306995204,0.3459230030570704
3,trainHVG50,all,log1p_raw,7122,50,0.6177103922796991,0.6062905344736041
3,trainHVG50,all,cp10k_panel,7122,50,0.4384382374077427,0.422058351198251
3,trainHVG50,all,cp10k_full,7122,50,0.1590368362006449,0.16996057603167608
3,trainHVG737,all,log1p_raw,7122,737,0.6531482559525804,0.647485465666347
3,trainHVG737,all,cp10k_panel,7122,737,0.34484542794860823,0.33973684409910065
3,trainHVG737,all,cp10k_full,7122,737,0.18439518251090667,0.19430851497048984
4,hest_var50,all,log1p_raw,14748,50,0.388806213024243,0.42322696169453694
4,hest_var50,all,cp10k_panel,14748,50,0.3169135732263003,0.33717248279026746
4,hest_var50,all,cp10k_full,14748,50,0.16064964876814541,0.19368688408918186
4,trainHVG50,all,log1p_raw,14748,50,0.39065116809112677,0.4257072243255374
4,trainHVG50,all,cp10k_panel,14748,50,0.3201472883482934,0.3384323929713349
4,trainHVG50,all,cp10k_full,14748,50,0.1759117470185187,0.2022259123897297
4,trainHVG737,all,log1p_raw,14748,737,0.48450607124155753,0.49062556029415233
4,trainHVG737,all,cp10k_panel,14748,737,0.28374440720559846,0.2883295130587675
4,trainHVG737,all,cp10k_full,14748,737,0.20828716038736375,0.21746313250173183
5,hest_var50,all,log1p_raw,16654,50,0.4266621429049383,0.44451580144407743
5,hest_var50,all,cp10k_panel,16654,50,0.3294733317196985,0.331178453889703
5,hest_var50,all,cp10k_full,16654,50,0.16571666746735758,0.17943954805753332
5,trainHVG50,all,log1p_raw,16654,50,0.4678451225415521,0.4809303961709059
5,trainHVG50,all,cp10k_panel,16654,50,0.34784191040880097,0.35791808129391106
5,trainHVG50,all,cp10k_full,16654,50,0.19601230524594784,0.20928856654955474
5,trainHVG737,all,log1p_raw,16654,737,0.5247694912123628,0.5151328849543917
5,trainHVG737,all,cp10k_panel,16654,737,0.30101785393854813,0.29485830739467456
5,trainHVG737,all,cp10k_full,16654,737,0.2307413479743112,0.22387215726090975
