sample,fold,panel,spotset,caliber,k,n_spots,rnbr_med,rnbr_mean,rnbr_q25,rnbr_q75
INT24,0,hest_var50,all,log1p_raw,6,4510,0.5067512591017316,0.5042465280368382,0.4244089401096413,0.6035177051781906
INT24,0,hest_var50,all,cp10k_panel,6,4510,0.24728930895923024,0.27486960400765986,0.19953341997509488,0.32362303761977523
INT24,0,hest_var50,all,cp10k_full,6,4510,0.17987513406609357,0.23091757975713356,0.1018412516243936,0.28912577229095426
INT15,0,hest_var50,all,log1p_raw,6,4940,0.19769972831358332,0.24448540151519838,0.1279670330328884,0.2677177161785602
INT15,0,hest_var50,all,cp10k_panel,6,4940,0.1238162557011638,0.15725696725544525,0.0842142292281272,0.17717975184038165
INT15,0,hest_var50,all,cp10k_full,6,4940,0.08385862854579626,0.12435095420226673,0.058639066845967855,0.17166075440273068
INT14,0,hest_var50,all,log1p_raw,6,4562,0.20317395197616883,0.2328920635753308,0.15922257106284124,0.2785202858135017
INT14,0,hest_var50,all,cp10k_panel,6,4562,0.1496611604922864,0.15994122505224875,0.11015788805248,0.18829141396697316
INT14,0,hest_var50,all,cp10k_full,6,4562,0.09955072618090002,0.13482949412291625,0.07136831512591378,0.15771574485558923
INT13,0,hest_var50,all,log1p_raw,6,4359,0.3763345149055085,0.40922631024444456,0.2747212451952955,0.5508626831430473
INT13,0,hest_var50,all,cp10k_panel,6,4359,0.2533822201198793,0.26343498717746494,0.19415493474417495,0.3233198363445351
INT13,0,hest_var50,all,cp10k_full,6,4359,0.20268505596659375,0.21360921227494567,0.09311991188159836,0.3023839812649035
INT12,1,hest_var50,all,log1p_raw,6,1451,0.32156842270145825,0.30713617099631546,0.1667283392938757,0.420896193486711
INT12,1,hest_var50,all,cp10k_panel,6,1451,0.15446947261556543,0.16453996231430426,0.08921552915827895,0.24154455245734996
INT12,1,hest_var50,all,cp10k_full,6,1451,0.17418911858346414,0.20827260803653683,0.051598512824167296,0.3102154686182509
INT11,1,hest_var50,all,log1p_raw,6,1439,0.3886950404120316,0.4051793790664063,0.31190354399803777,0.4771404773578441
INT11,1,hest_var50,all,cp10k_panel,6,1439,0.14739725581755758,0.15731615280234756,0.11286219087856125,0.20711226224632648
INT11,1,hest_var50,all,cp10k_full,6,1439,0.09359514106449951,0.1073792209008252,0.03534869356615146,0.15184601369943762
INT10,1,hest_var50,all,log1p_raw,6,1983,0.7222986773315254,0.7163697548359645,0.6019555159114609,0.8487000672949994
