sample,spotset,panel,caliber,sd_loglib,pred_r_her2stfit,obs_med_r,resid,extrapolated
INT24,all,hest_var50,cp10k_panel,0.8717290892707041,0.2801409351355055,0.31688383336390435,0.03674289822839888,0
INT24,all,hest_var50,log1p_raw,0.8717290892707041,0.2801409351355055,0.4718623035524476,0.19172136841694215,0
INT24,all,trainHVG737,cp10k_panel,0.8717290892707041,0.2801409351355055,0.26625003022752874,-0.013890904907976731,0
INT24,all,trainHVG737,log1p_raw,0.8717290892707041,0.2801409351355055,0.5241393654469736,0.24399843031146812,0
INT15,all,hest_var50,cp10k_panel,0.5051593003456922,0.17480514275548098,0.206830486978741,0.03202534422326003,0
INT15,all,hest_var50,log1p_raw,0.5051593003456922,0.17480514275548098,0.2698977413833106,0.0950925986278296,0
INT15,all,trainHVG737,cp10k_panel,0.5051593003456922,0.17480514275548098,0.18210556925415325,0.007300426498672269,0
INT15,all,trainHVG737,log1p_raw,0.5051593003456922,0.17480514275548098,0.31972618073196785,0.14492103797648687,0
INT14,all,hest_var50,cp10k_panel,0.5249268533970977,0.18048545500977298,0.2094135684862627,0.028928113476489714,0
INT14,all,hest_var50,log1p_raw,0.5249268533970977,0.18048545500977298,0.26402089755824504,0.08353544254847206,0
INT14,all,trainHVG737,cp10k_panel,0.5249268533970977,0.18048545500977298,0.1861397716425588,0.005654316632785816,0
INT14,all,trainHVG737,log1p_raw,0.5249268533970977,0.18048545500977298,0.31465452903704827,0.1341690740272753,0
INT13,all,hest_var50,cp10k_panel,0.7422074424513947,0.24292219613879945,0.3059975569679763,0.06307536082917686,0
INT13,all,hest_var50,log1p_raw,0.7422074424513947,0.24292219613879945,0.4125258210623217,0.16960362492352227,0
INT13,all,trainHVG737,cp10k_panel,0.7422074424513947,0.24292219613879945,0.26375154932488026,0.020829353186080812,0
INT13,all,trainHVG737,log1p_raw,0.7422074424513947,0.24292219613879945,0.44278758779033434,0.19986539165153488,0
INT12,all,hest_var50,cp10k_panel,0.3822792376988381,0.13949489854640007,0.18227496718761443,0.042780068641214364,1
INT12,all,hest_var50,log1p_raw,0.3822792376988381,0.13949489854640007,0.29769448576967317,0.1581995872232731,1
INT12,all,trainHVG737,cp10k_panel,0.3822792376988381,0.13949489854640007,0.1518519143185071,0.012357015772107016,1
INT12,all,trainHVG737,log1p_raw,0.3822792376988381,0.13949489854640007,0.3220661137747401,0.18257121522834002,1
INT11,all,hest_var50,cp10k_panel,0.5457497720487853,0.1864690322223757,0.26423314884807003,0.07776411662569432,0
INT11,all,hest_var50,log1p_raw,0.5457497720487853,0.1864690322223757,0.4971053874723325,0.3106363552499568,0
