sample,fold,panel,spotset,caliber,med_r_real,med_r_sim,mean_r_real,mean_r_sim,sim_ge_real
INT24,0,hest_var50,all,log1p_raw,0.4718623035524476,0.538202110981095,0.47358342128760456,0.5489209718829178,1
INT15,0,hest_var50,all,log1p_raw,0.2698977413833106,0.3443045994920776,0.31730202349980696,0.3651211463683273,1
INT14,0,hest_var50,all,log1p_raw,0.26402089755824504,0.32774777851889236,0.27061892312499447,0.34657823234642604,1
INT13,0,hest_var50,all,log1p_raw,0.4125258210623217,0.46872144499881263,0.4178200391672342,0.48867140766651873,1
INT24,0,hest_var50,all,cp10k_panel,0.31688383336390435,0.37297427813954404,0.3168766467718066,0.3730980889084223,1
INT15,0,hest_var50,all,cp10k_panel,0.206830486978741,0.2580289913532996,0.22943499825725433,0.26102765855517907,1
INT14,0,hest_var50,all,cp10k_panel,0.2094135684862627,0.24344305212504785,0.21123599238856675,0.250423546652997,1
INT13,0,hest_var50,all,cp10k_panel,0.3059975569679763,0.35753606536325666,0.31219053888448944,0.3581414954809675,1
INT12,1,hest_var50,all,log1p_raw,0.29769448576967317,0.3888644389601762,0.31525451422360323,0.3980715826828154,1
INT11,1,hest_var50,all,log1p_raw,0.4971053874723325,0.5133330394495628,0.5104893035968825,0.533260959017575,1
INT10,1,hest_var50,all,log1p_raw,0.6913174787775407,0.8229232668300503,0.6957569623527528,0.8159831873521618,1
INT9,1,hest_var50,all,log1p_raw,0.560790226279839,0.5946336857717532,0.5452707160290774,0.6062786138738332,1
INT12,1,hest_var50,all,cp10k_panel,0.18227496718761443,0.23429433029399885,0.18514418345452427,0.23081695131801805,1
INT11,1,hest_var50,all,cp10k_panel,0.26423314884807003,0.2652193532861018,0.2553018069233976,0.2662670506973569,1
INT10,1,hest_var50,all,cp10k_panel,0.5716397147240686,0.6140481967349187,0.5443797113910503,0.6082443750824592,1
INT9,1,hest_var50,all,cp10k_panel,0.4035932358765384,0.429235072125179,0.3823143303710668,0.42763243771215315,1
INT8,2,hest_var50,all,log1p_raw,0.5535561895177039,0.617711932858754,0.556894651740197,0.6220192481650967,1
INT7,2,hest_var50,all,log1p_raw,0.4241055886836236,0.5308732111733174,0.4281209966205421,0.5377586239805288,1
INT6,2,hest_var50,all,log1p_raw,0.5119760918047993,0.6645765406832228,0.5389204553591765,0.6680226195029872,1
INT23,2,hest_var50,all,log1p_raw,0.3689178471969977,0.5028977148708343,0.3647443543912491,0.5127582495955504,1
INT8,2,hest_var50,all,cp10k_panel,0.2981496339239629,0.35018598769531917,0.29960921482107195,0.3444978618909391,1
INT7,2,hest_var50,all,cp10k_panel,0.2810310177075549,0.297967836578631,0.26398657790592706,0.2930618244346716,1
INT6,2,hest_var50,all,cp10k_panel,0.4058479460044828,0.4707559110843428,0.3977869058668881,0.4673434129795398,1
INT23,2,hest_var50,all,cp10k_panel,0.2217158350451057,0.2500492340808454,0.2112320836794609,0.2466799730286418,1
INT5,3,hest_var50,all,log1p_raw,0.7954754535265818,0.7254793785903881,0.7079956371080662,0.7305654023848908,0
INT4,3,hest_var50,all,log1p_raw,0.4381972016177933,0.4046863559189755,0.4477882675213833,0.4099595326413253,0
INT3,3,hest_var50,all,log1p_raw,0.40997676460318755,0.3818772248194091,0.4170643197561175,0.3935856417776812,0
INT2,3,hest_var50,all,log1p_raw,0.5065275078649303,0.39639867020824804,0.4894935267571657,0.4127343588864173,0
INT5,3,hest_var50,all,cp10k_panel,0.3030549704800012,0.3620032548592701,0.2450391297457877,0.3487691299490955,1
INT4,3,hest_var50,all,cp10k_panel,0.33074557170293817,0.32118713857874015,0.33570607849929907,0.3184691716944607,0
INT3,3,hest_var50,all,cp10k_panel,0.3106524178262834,0.2992298308245928,0.3046533143855044,0.30237427290966834,0
INT2,3,hest_var50,all,cp10k_panel,0.378673271734341,0.3332859545094577,0.36384226244907114,0.33596629512512743,0
INT1,4,hest_var50,all,log1p_raw,0.29929995114078706,0.3651133768014562,0.33917004346459634,0.3910039602333327,1
INT22,4,hest_var50,all,log1p_raw,0.3474613384344005,0.4826869623876146,0.37711694021634934,0.49158435048898846,1
INT21,4,hest_var50,all,log1p_raw,0.39224558640571283,0.520093200306651,0.41958892291849736,0.5420118511843193,1
INT20,4,hest_var50,all,log1p_raw,0.30247671830758605,0.39047293021246077,0.3084907578037798,0.41507470166888005,1
INT1,4,hest_var50,all,cp10k_panel,0.23389832371233604,0.28338749805865804,0.2525518478200114,0.2945922487188543,1
INT22,4,hest_var50,all,cp10k_panel,0.24333257359250404,0.2748483010837175,0.2381225597174583,0.2752321567604417,1
INT21,4,hest_var50,all,cp10k_panel,0.31272553326492525,0.4001569770738903,0.3395643186101709,0.40709623946995854,1
