sample,panel,spotset,caliber,rtech_med_mine,rtech_med_stnull,rtech_q25,rtech_q75,rnbr_med,rnbr_mean,method
TENX111,hest_var50,all,log1p_raw,0.7755270273667121,0.7754323934815204,0.5583533126542382,0.9063615331168537,0.4868996518944213,0.5255995102127288,split_half_full
TENX111,hest_var50,all,cp10k_panel,0.614135921294015,0.6139249996724235,0.48396568307169974,0.7800452422375549,0.35662677222539224,0.3843335912527437,split_half_full
TENX111,hest_var50,all,cp10k_full,0.6612217205525589,0.6601448619392538,0.4699915490472318,0.8384744973302135,0.3625385027613163,0.38961153229553197,split_half_full
TENX147,hest_var50,all,log1p_raw,0.9532507073288644,0.9531671404388806,0.9140181832862595,0.9821707629405751,0.8119466534492051,0.7893955888230443,split_half_full
TENX147,hest_var50,all,cp10k_panel,0.8062915417300484,0.8067421258498174,0.7453358384453878,0.8433461940079057,0.5715366405535958,0.5549615568885742,split_half_full
TENX147,hest_var50,all,cp10k_full,0.9024897288716773,0.9041012509176719,0.857309152642536,0.9462622557116639,0.728763874067397,0.7127474701366202,split_half_full
TENX148,hest_var50,all,log1p_raw,0.9398376278194287,0.9402539180200042,0.8408076719958264,0.9764890594568988,0.7968663652600444,0.7592196653308033,split_half_full
TENX148,hest_var50,all,cp10k_panel,0.8022356763036766,0.8026523423168916,0.7424251385900692,0.8512046854876653,0.5768697982851954,0.5763755618936631,split_half_full
TENX148,hest_var50,all,cp10k_full,0.8834027606569961,0.8814329422278414,0.7772885767495585,0.9212496987790366,0.7044672780807733,0.6416474918658,split_half_full
TENX149,hest_var50,all,log1p_raw,0.9319442682854691,0.9312794941193216,0.8841856696596986,0.9695824076087364,0.7737467352900764,0.7388114398781752,split_half_full
TENX149,hest_var50,all,cp10k_panel,0.7915515971526932,0.7921263624733257,0.697516016740932,0.8532485167252657,0.5542278735016714,0.5321547066668688,split_half_full
TENX149,hest_var50,all,cp10k_full,0.8772221295873589,0.8770226279252569,0.8273805207258023,0.9305008380898467,0.6933428787409281,0.6618569737355006,split_half_full
TENX111,hest_var50,official,log1p_raw,0.7503198217495088,0.7481875173892313,0.4959958196893334,0.8941364428038554,0.39104699808374055,0.440162283380305,split_half_full
TENX111,hest_var50,official,cp10k_panel,0.5684464758696159,0.5724455420635819,0.3982638969814823,0.7378554253709246,0.23039969253565407,0.29342017342142285,split_half_full
TENX111,hest_var50,official,cp10k_full,0.6765242286664412,0.6780291452959695,0.42893955706576903,0.8694672817389691,0.32353520930011115,0.40610365476047783,split_half_full
TENX147,hest_var50,official,log1p_raw,0.9491487813396994,0.9495233428466796,0.9113900921818527,0.9813778007154421,0.7921750317230281,0.7662638225516768,split_half_full
TENX147,hest_var50,official,cp10k_panel,0.7835845833880459,0.7833811508481159,0.708656434296548,0.8264295120617899,0.5056132873193475,0.49263363101794033,split_half_full
TENX147,hest_var50,official,cp10k_full,0.9088760724446744,0.9086036273528701,0.8646526517155906,0.9599336983416522,0.7594041459859256,0.7236671864392323,split_half_full
TENX148,hest_var50,official,log1p_raw,0.9323152751442179,0.9316761871154744,0.7984299638568351,0.9746920988680803,0.764192385346004,0.6951024954939904,split_half_full
TENX148,hest_var50,official,cp10k_panel,0.7553119784733162,0.7561553015863551,0.6923278620211916,0.8520834304928956,0.4885679755530999,0.5115772978966454,split_half_full
TENX148,hest_var50,official,cp10k_full,0.910002152365194,0.9091175097116474,0.762873178685551,0.9602339188705868,0.742505678506137,0.6583690325219984,split_half_full
TENX149,hest_var50,official,log1p_raw,0.9292640789812074,0.92907545373059,0.8773606242443237,0.9686153859731812,0.7724274005613394,0.7243715421428825,split_half_full
TENX149,hest_var50,official,cp10k_panel,0.7808006273220544,0.779609683709722,0.683270764763763,0.8427818837944384,0.5257346982519009,0.5067002355603253,split_half_full
TENX149,hest_var50,official,cp10k_full,0.8841426057617292,0.8845807284969207,0.8307432898779441,0.9425078582661885,0.7379809740347366,0.6902772691086975,split_half_full
TENX111,trainHVG737,all,log1p_raw,0.8945152085760444,0.8945062104909726,0.6213726661327221,0.974103994022182,0.7264213817894395,0.6310274060386913,split_half_full
TENX111,trainHVG737,all,cp10k_panel,0.8249360695738523,0.8248829275937877,0.5343510780378318,0.9028318094952996,0.5564590259227217,0.4811713143145997,split_half_full
TENX111,trainHVG737,all,cp10k_full,0.8292250942805921,0.8301967207497253,0.5439790148781556,0.907072731515487,0.5565572947525608,0.4835501059772185,split_half_full
TENX147,trainHVG737,all,log1p_raw,0.9521133763381411,0.9520055274692754,0.8596467403775415,0.9818752663684367,0.7955666967559227,0.7353007391389444,split_half_full
TENX147,trainHVG737,all,cp10k_panel,0.8829622282732756,0.8826826618131114,0.766806218790477,0.9196466916562009,0.6505350171471335,0.6062745506406413,split_half_full
TENX147,trainHVG737,all,cp10k_full,0.8890122664204442,0.8892668266142991,0.7723055483487098,0.9252790770977108,0.6490327560649743,0.6123543215716944,split_half_full
TENX148,trainHVG737,all,log1p_raw,0.9541640769004465,0.954014666138308,0.8349702965418861,0.9818498606709293,0.7917438470643734,0.7409087449790345,split_half_full
TENX148,trainHVG737,all,cp10k_panel,0.8663097910159779,0.8653955047771986,0.7591920223861676,0.9073443551564317,0.6282108201014629,0.5913559013648111,split_half_full
TENX148,trainHVG737,all,cp10k_full,0.870306290779454,0.8697448316892933,0.7678119428729454,0.9104832945633413,0.6332671808322154,0.5932317666030638,split_half_full
TENX149,trainHVG737,all,log1p_raw,0.9343916511628101,0.933834646796898,0.7960336285918032,0.9688332515962692,0.7737715948085486,0.6999514521585167,split_half_full
TENX149,trainHVG737,all,cp10k_panel,0.857455765238883,0.8582440069010171,0.7126740844783798,0.9166645457283404,0.6568382446898818,0.5849515073283172,split_half_full
TENX149,trainHVG737,all,cp10k_full,0.8659817051126639,0.8657818496007212,0.7222735390516205,0.9219334396072355,0.6694019370643771,0.5931907048453572,split_half_full
TENX111,trainHVG737,official,log1p_raw,0.8642042428214473,0.8634975228574682,0.5586002846224702,0.9614617080010011,0.6125203842663768,0.533652980795805,split_half_full
TENX111,trainHVG737,official,cp10k_panel,0.8120455104857754,0.81222312174749,0.4964340002155953,0.935752904489386,0.5548940064323808,0.4947277334022262,split_half_full
TENX111,trainHVG737,official,cp10k_full,0.8207944717759987,0.8205090816446398,0.507432370828838,0.9424619540565825,0.5580128903224318,0.5032789771923725,split_half_full
TENX147,trainHVG737,official,log1p_raw,0.9399860666712252,0.9401276532937873,0.8301818139385115,0.9762681545099694,0.7093269744401635,0.6735923441618986,split_half_full
TENX147,trainHVG737,official,cp10k_panel,0.8722683826688715,0.872777716349401,0.7270199255610872,0.9329530226672734,0.6307028522768601,0.5825799051506729,split_half_full
TENX147,trainHVG737,official,cp10k_full,0.8844990994493581,0.8850045165427081,0.7411195332790415,0.9402222342393617,0.6390541773844562,0.5972912489234955,split_half_full
TENX148,trainHVG737,official,log1p_raw,0.9344596303836479,0.9344207365119446,0.7679007027789841,0.9746484069836159,0.6367637461735216,0.6361237007880581,split_half_full
TENX148,trainHVG737,official,cp10k_panel,0.8746441788929813,0.8743801814656014,0.7144429611872591,0.9417394297583435,0.6274806656547192,0.582492838886943,split_half_full
TENX148,trainHVG737,official,cp10k_full,0.8846403497565263,0.8866017676188387,0.7368955591474652,0.94799029824138,0.6366785430885142,0.591503145287739,split_half_full
TENX149,trainHVG737,official,log1p_raw,0.9220261114071758,0.9227041223306385,0.7638636489962572,0.9636516515301178,0.7295782101214727,0.6519834762131737,split_half_full
TENX149,trainHVG737,official,cp10k_panel,0.83948809346333,0.8394694174272506,0.6783659016334658,0.9204359204823449,0.6325407936586784,0.5669377566664388,split_half_full
TENX149,trainHVG737,official,cp10k_full,0.85845775180225,0.8562015808842345,0.6871876663969402,0.9271971189294639,0.6524761459150884,0.5847892029960773,split_half_full
