model,coad_r,source,rank,beats_null
GenBio-PathFM,0.3284,gen4_hest README leaderboard (Ridge+PCA256 on patch features),1,1
"ZERO-PIXEL library-size null (H1, ours)",0.3218,"hb_coad_libnull_official.csv: hest_var50/log1p_raw/official spots, fold-concat per-gene Pearson mean over genes then over 2 folds",2,1
H-Optimus-1,0.3195,gen4_hest README leaderboard (Ridge+PCA256 on patch features),3,0
H-Optimus-0,0.3086,gen4_hest README leaderboard (Ridge+PCA256 on patch features),4,0
Virchow,0.3079,gen4_hest README leaderboard (Ridge+PCA256 on patch features),5,0
Hibou-L,0.304,gen4_hest README leaderboard (Ridge+PCA256 on patch features),6,0
UNI2-h,0.3015,gen4_hest README leaderboard (Ridge+PCA256 on patch features),7,0
GigaPath,0.2992,gen4_hest README leaderboard (Ridge+PCA256 on patch features),8,0
Midnight-12k,0.2908,gen4_hest README leaderboard (Ridge+PCA256 on patch features),9,0
Lunit ViT-S/8,0.2826,gen4_hest README leaderboard (Ridge+PCA256 on patch features),10,0
Kaiko ViT-B/16,0.2812,gen4_hest README leaderboard (Ridge+PCA256 on patch features),11,0
CONCH v1.5,0.2802,gen4_hest README leaderboard (Ridge+PCA256 on patch features),12,0
OpenMidnight,0.2728,gen4_hest README leaderboard (Ridge+PCA256 on patch features),13,0
Kaiko ViT-B/8,0.2683,gen4_hest README leaderboard (Ridge+PCA256 on patch features),14,0
Phikon,0.2623,gen4_hest README leaderboard (Ridge+PCA256 on patch features),15,0
UNI,0.2614,gen4_hest README leaderboard (Ridge+PCA256 on patch features),16,0
Virchow2,0.2581,gen4_hest README leaderboard (Ridge+PCA256 on patch features),17,0
Kaiko ViT-L/14,0.2535,gen4_hest README leaderboard (Ridge+PCA256 on patch features),18,0
Phikon-v2,0.25,gen4_hest README leaderboard (Ridge+PCA256 on patch features),19,0
ResNet50,0.25,gen4_hest README leaderboard (Ridge+PCA256 on patch features),20,0
H0-mini,0.2494,gen4_hest README leaderboard (Ridge+PCA256 on patch features),21,0
CONCH v1,0.2489,gen4_hest README leaderboard (Ridge+PCA256 on patch features),22,0
GPFM,0.248,gen4_hest README leaderboard (Ridge+PCA256 on patch features),23,0
CTransPath,0.2382,gen4_hest README leaderboard (Ridge+PCA256 on patch features),24,0
MUSK,0.2365,gen4_hest README leaderboard (Ridge+PCA256 on patch features),25,0
Kaiko ViT-S/8,0.2281,gen4_hest README leaderboard (Ridge+PCA256 on patch features),26,0
Kaiko ViT-S/16,0.2057,gen4_hest README leaderboard (Ridge+PCA256 on patch features),27,0
