sample,fold,panel,spotset,caliber,n_spots,n_genes,n_genes_nan,med_r_trainfit,mean_r_trainfit,med_r_cv,mean_r_cv
TENX149,0,hest_var50,all,log1p_raw,4009,50,0,0.37151245998546,0.40185481940104517,0.37046450665411723,0.400816705872042
TENX148,0,hest_var50,all,log1p_raw,4379,50,0,0.5662674071396289,0.5330832819338565,0.565598125675054,0.532478037728196
TENX147,0,hest_var50,all,log1p_raw,3997,50,0,0.41725938816318325,0.4521071076856648,0.41627241566291795,0.4509932279144115
TENX149,0,hest_var50,all,cp10k_panel,4009,50,0,0.2664722399465385,0.29690330819153515,0.26399690223368477,0.2950835466730062
TENX148,0,hest_var50,all,cp10k_panel,4379,50,0,0.3964988928849513,0.36167287044729435,0.3954876897956947,0.35873060774257565
TENX147,0,hest_var50,all,cp10k_panel,3997,50,0,0.29950987386164807,0.3194031863014891,0.2984191236471452,0.31794427462257774
TENX149,0,hest_var50,all,cp10k_full,4009,50,0,0.1647613928292509,0.18481043879605658,0.17272224170818978,0.21583145442329066
TENX148,0,hest_var50,all,cp10k_full,4379,50,0,0.2527788361582888,0.20808502671792017,0.25839937840738175,0.24258650998506262
TENX147,0,hest_var50,all,cp10k_full,3997,50,0,0.20567162190160704,0.20660663693086168,0.21598890843530968,0.24347303016332872
TENX149,0,hest_var50,official,log1p_raw,3620,50,0,0.29010316407973313,0.3387193023809003,0.29086544603925046,0.36068163241843665
TENX148,0,hest_var50,official,log1p_raw,3535,50,0,0.41810857848005223,0.3754567633530554,0.42364977661954256,0.40078517795746743
TENX147,0,hest_var50,official,log1p_raw,3417,50,0,0.35750488114836476,0.37414772456230283,0.3589775266307881,0.4076589678012171
TENX149,0,hest_var50,official,cp10k_panel,3620,50,0,0.08853306617017737,0.14652550287347138,0.08760465982841406,0.15354950980178994
TENX148,0,hest_var50,official,cp10k_panel,3535,50,0,0.07839431439891567,0.08827352856515462,0.15459481002763692,0.14835444581755866
TENX147,0,hest_var50,official,cp10k_panel,3417,50,0,0.1310208838131553,0.15556460020012283,0.12806565789310714,0.16386281471434386
TENX149,0,hest_var50,official,cp10k_full,3620,50,0,-0.012033165395258037,0.04089014626189634,0.05267882161062014,0.14421879008165017
TENX148,0,hest_var50,official,cp10k_full,3535,50,0,-0.038408213194180515,-0.010921657633936354,0.11769415258603852,0.152717529323021
TENX147,0,hest_var50,official,cp10k_full,3417,50,0,-0.02238622282007289,0.02126325701608459,0.1048663774182377,0.17992017014200024
TENX149,0,trainHVG50,all,log1p_raw,4009,50,0,0.41317550796377134,0.4306531588985421,0.41223885563444235,0.4297595707479633
TENX148,0,trainHVG50,all,log1p_raw,4379,50,0,0.5840380840161795,0.579149623398245,0.5835768176609202,0.5786970348543443
TENX147,0,trainHVG50,all,log1p_raw,3997,50,0,0.46230076334128467,0.48355448564109965,0.46098591712142656,0.4823614760245477
TENX149,0,trainHVG50,all,cp10k_panel,4009,50,0,0.28218246846471895,0.2823917018231759,0.28091010398686433,0.29459516404458036
TENX148,0,trainHVG50,all,cp10k_panel,4379,50,0,0.431899638392212,0.39737361272350635,0.4382524203836161,0.4131255776922349
TENX147,0,trainHVG50,all,cp10k_panel,3997,50,0,0.29762846921152153,0.3090167688471568,0.2960357947495717,0.3055361219457831
TENX149,0,trainHVG50,all,cp10k_full,4009,50,0,0.21072792679782235,0.19091508941266583,0.21435885409112734,0.22890427428361934
TENX148,0,trainHVG50,all,cp10k_full,4379,50,0,0.28457402751722627,0.23697954851902014,0.29120013889256263,0.2710507412875015
TENX147,0,trainHVG50,all,cp10k_full,3997,50,0,0.21801354052825928,0.2053656287883686,0.232173175532568,0.2337175096303417
TENX149,0,trainHVG50,official,log1p_raw,3620,50,0,0.29560855945415054,0.31313287452169364,0.2947280274474314,0.3342385581857607
TENX148,0,trainHVG50,official,log1p_raw,3535,50,0,0.391341101027423,0.3544378119285214,0.39049354738705544,0.37070565761101804
TENX147,0,trainHVG50,official,log1p_raw,3417,50,0,0.3488019366546694,0.343803616452129,0.34753758437783616,0.37362208814136855
TENX149,0,trainHVG50,official,cp10k_panel,3620,50,0,0.054259554858997874,0.11469554016652012,0.07589970103409298,0.151496492670155
TENX148,0,trainHVG50,official,cp10k_panel,3535,50,0,0.0014385965093849113,0.03559077802634815,0.1361134332789677,0.17183247037524085
TENX147,0,trainHVG50,official,cp10k_panel,3417,50,0,0.09427236621460092,0.11340311677279613,0.1037665135952156,0.16992884675061062
TENX149,0,trainHVG50,official,cp10k_full,3620,50,0,0.04152022075241642,0.09636031804580027,0.051892413727552364,0.1342387118250339
TENX148,0,trainHVG50,official,cp10k_full,3535,50,0,0.033255140709662935,0.02886598934880513,0.10845880105424135,0.1445332810177712
TENX147,0,trainHVG50,official,cp10k_full,3417,50,0,0.07190059744054597,0.09433033202447925,0.09681608106867705,0.159895530900419
TENX149,0,trainHVG737,all,log1p_raw,4009,382,0,0.491955140745939,0.49995905913029137,0.49171490851327243,0.4991537370766965
TENX148,0,trainHVG737,all,log1p_raw,4379,382,0,0.640368029593457,0.6245337969461473,0.6401189083222404,0.6241288603386366
TENX147,0,trainHVG737,all,log1p_raw,3997,382,0,0.5607343552552846,0.549366951876012,0.5598707131403443,0.5485499447912172
TENX149,0,trainHVG737,all,cp10k_panel,4009,382,0,0.2833508449991944,0.3080167303701698,0.28294696940248887,0.3216743899265601
TENX148,0,trainHVG737,all,cp10k_panel,4379,382,0,0.3623780655317794,0.340254200786048,0.3618665467216594,0.3535107487321022
TENX147,0,trainHVG737,all,cp10k_panel,3997,382,0,0.31216822480079526,0.32255196481263737,0.31179575390033865,0.3294067371853247
TENX149,0,trainHVG737,all,cp10k_full,4009,382,0,0.26237710598205477,0.2884609145499359,0.26175711743170305,0.30339938989595067
TENX148,0,trainHVG737,all,cp10k_full,4379,382,0,0.3416762449697197,0.32056927087034803,0.3448883054947447,0.33556424024736925
TENX147,0,trainHVG737,all,cp10k_full,3997,382,0,0.3042741111273024,0.31411358562484387,0.30295407519748374,0.322739338739098
TENX149,0,trainHVG737,official,log1p_raw,3620,388,0,0.35462906728706173,0.3890580261509697,0.3615086022261882,0.4283395447916563
TENX148,0,trainHVG737,official,log1p_raw,3535,388,0,0.42834905736023543,0.41361621609249843,0.43373498744254474,0.4485483215479146
TENX147,0,trainHVG737,official,log1p_raw,3417,388,0,0.4333408126344602,0.4205000201373935,0.435036585128004,0.45961221853219264
TENX149,0,trainHVG737,official,cp10k_panel,3620,388,0,0.05535229271791722,0.11703835214064932,0.13514518185215124,0.21289479786873905
TENX148,0,trainHVG737,official,cp10k_panel,3535,388,0,0.07304707076065385,0.11061242819723109,0.1535295845469377,0.20562448638319983
TENX147,0,trainHVG737,official,cp10k_panel,3417,388,0,0.09180180967824997,0.11793346008095289,0.14657972999567098,0.2166017172132192
TENX149,0,trainHVG737,official,cp10k_full,3620,388,0,0.04971010482138,0.115276688701441,0.12147642223898734,0.2060281307321367
TENX148,0,trainHVG737,official,cp10k_full,3535,388,0,0.0726762501514491,0.11043380720992775,0.14686251631396322,0.2009555546138679
TENX147,0,trainHVG737,official,cp10k_full,3417,388,0,0.06745107661906968,0.1060591159062715,0.1481535377078769,0.22182590323575296
TENX111,1,hest_var50,all,log1p_raw,6138,50,0,0.3980279729846159,0.4098505798071244,0.3974159155239228,0.4092081598598423
TENX111,1,hest_var50,all,cp10k_panel,6138,50,0,0.311810123476043,0.3180829335782284,0.3107684530802416,0.316901023583435
TENX111,1,hest_var50,all,cp10k_full,6138,50,0,0.15919225725542963,0.15891908405769198,0.15748169646078497,0.16346605250061855
TENX111,1,hest_var50,official,log1p_raw,5079,50,0,0.27142384182915297,0.27533112148377925,0.27009619196097134,0.2830700640488651
TENX111,1,hest_var50,official,cp10k_panel,5079,50,0,0.0983326823611059,0.07682647049172948,0.10758797864640594,0.12876416996649007
TENX111,1,hest_var50,official,cp10k_full,5079,50,0,-0.0033283071756542593,0.007233825798556049,0.06054228159998029,0.10914825872206907
TENX111,1,trainHVG50,all,log1p_raw,6138,50,0,0.37946286926332634,0.40201302234045494,0.3785358442753297,0.40137984281972267
TENX111,1,trainHVG50,all,cp10k_panel,6138,50,0,0.29768081112185985,0.3025309931537288,0.2967456405862732,0.30112917968158753
TENX111,1,trainHVG50,all,cp10k_full,6138,50,0,0.1647057833320581,0.17276294261316874,0.1635394657488864,0.17610387886779436
TENX111,1,trainHVG50,official,log1p_raw,5079,50,0,0.23718182726984954,0.24550542983000373,0.23538037390738176,0.2570163944359219
TENX111,1,trainHVG50,official,cp10k_panel,5079,50,0,0.039689743359736296,0.03421689238359318,0.07002397189362453,0.11029235115034673
TENX111,1,trainHVG50,official,cp10k_full,5079,50,0,-0.0022436220317021693,0.03798370093114358,0.0401980023125269,0.1131558269717349
TENX111,1,trainHVG737,all,log1p_raw,6138,397,0,0.4953874425747552,0.5118613583630578,0.4952538871694618,0.511329556468339
TENX111,1,trainHVG737,all,cp10k_panel,6138,397,0,0.25257612101615196,0.27370100041982004,0.25475173789283745,0.2770660518423877
TENX111,1,trainHVG737,all,cp10k_full,6138,397,0,0.2342696061744686,0.2607695527803358,0.2367424091365326,0.26428030835314764
TENX111,1,trainHVG737,official,log1p_raw,5079,401,0,0.2373028056018568,0.3065178641997746,0.2421031992312023,0.3258618799710924
TENX111,1,trainHVG737,official,cp10k_panel,5079,401,0,0.07637085654551612,0.13719140630029764,0.17101308804419918,0.22496465343669636
TENX111,1,trainHVG737,official,cp10k_full,5079,401,0,0.07368843309777144,0.1340075967919676,0.17484012109439073,0.23056883191954974
