fold,panel,spotset,caliber,n_spots,n_genes,mean_r,med_r,n_nan
0,hest_var50,all,log1p_raw,12385,50,0.45938648309486857,0.45557585861212635,0
0,hest_var50,all,cp10k_panel,12385,50,0.3170209372165069,0.3117639644343686,0
0,hest_var50,all,cp10k_full,12385,50,0.18462455280584258,0.2025999831759854,0
0,hest_var50,official,log1p_raw,10572,50,0.3682114699910722,0.3817518304827403,0
0,hest_var50,official,cp10k_panel,10572,50,0.13835181654394646,0.1112032439350219,0
0,hest_var50,official,cp10k_full,10572,50,0.020874027349613977,-0.005156027562456224,0
0,trainHVG50,all,log1p_raw,12385,50,0.4918578190240917,0.4745455781733454,0
0,trainHVG50,all,cp10k_panel,12385,50,0.32332835391594444,0.33611693562640305,0
0,trainHVG50,all,cp10k_full,12385,50,0.19620499912423126,0.22283840377785843,0
0,trainHVG50,official,log1p_raw,10572,50,0.34056661844672703,0.3431125312316986,0
0,trainHVG50,official,cp10k_panel,10572,50,0.0817001821567172,0.06062156092430994,0
0,trainHVG50,official,cp10k_full,10572,50,0.08053891232717875,0.040444437153294155,0
0,trainHVG737,all,log1p_raw,12385,382,0.5588759602241757,0.5636492365826267,0
0,trainHVG737,all,cp10k_panel,12385,382,0.3139644816441088,0.3097183770476469,0
0,trainHVG737,all,cp10k_full,12385,382,0.2978292008257986,0.29208519813926326,0
0,trainHVG737,official,log1p_raw,10572,388,0.4204610704243962,0.42308561401567446,0
0,trainHVG737,official,cp10k_panel,10572,388,0.11416522852586683,0.0658976192281347,0
0,trainHVG737,official,cp10k_full,10572,388,0.10978041529730125,0.05883413395575861,0
1,hest_var50,all,log1p_raw,6138,50,0.4098505798071244,0.3980279729846159,0
1,hest_var50,all,cp10k_panel,6138,50,0.3180829335782284,0.311810123476043,0
1,hest_var50,all,cp10k_full,6138,50,0.15891908405769198,0.15919225725542963,0
1,hest_var50,official,log1p_raw,5079,50,0.27533112148377925,0.27142384182915297,0
1,hest_var50,official,cp10k_panel,5079,50,0.07682647049172948,0.0983326823611059,0
1,hest_var50,official,cp10k_full,5079,50,0.007233825798556049,-0.0033283071756542593,0
1,trainHVG50,all,log1p_raw,6138,50,0.40201302234045494,0.37946286926332634,0
1,trainHVG50,all,cp10k_panel,6138,50,0.3025309931537288,0.29768081112185985,0
1,trainHVG50,all,cp10k_full,6138,50,0.17276294261316874,0.1647057833320581,0
1,trainHVG50,official,log1p_raw,5079,50,0.24550542983000373,0.23718182726984954,0
1,trainHVG50,official,cp10k_panel,5079,50,0.03421689238359318,0.039689743359736296,0
1,trainHVG50,official,cp10k_full,5079,50,0.03798370093114358,-0.0022436220317021693,0
1,trainHVG737,all,log1p_raw,6138,397,0.5118613583630578,0.4953874425747552,0
1,trainHVG737,all,cp10k_panel,6138,397,0.27370100041982004,0.25257612101615196,0
1,trainHVG737,all,cp10k_full,6138,397,0.2607695527803358,0.2342696061744686,0
1,trainHVG737,official,log1p_raw,5079,401,0.3065178641997746,0.2373028056018568,0
1,trainHVG737,official,cp10k_panel,5079,401,0.13719140630029764,0.07637085654551612,0
1,trainHVG737,official,cp10k_full,5079,401,0.1340075967919676,0.07368843309777144,0
