panel,spotset,caliber,mean_r_foldavg,med_r_foldavg
hest_var50,all,cp10k_full,0.17177181843176728,0.1808961202157075
hest_var50,all,cp10k_panel,0.3175519353973677,0.3117870439552058
hest_var50,all,log1p_raw,0.4346185314509965,0.4268019157983711
hest_var50,official,cp10k_full,0.014053926574085013,-0.004242167369055241
hest_var50,official,cp10k_panel,0.10758914351783797,0.1047679631480639
hest_var50,official,log1p_raw,0.3217712957374257,0.32658783615594666
trainHVG50,all,cp10k_full,0.1844839708687,0.19377209355495828
trainHVG50,all,cp10k_panel,0.3129296735348366,0.3168988733741315
trainHVG50,all,log1p_raw,0.4469354206822733,0.4270042237183359
trainHVG50,official,cp10k_full,0.05926130662916117,0.019100407560795993
trainHVG50,official,cp10k_panel,0.057958537270155194,0.05015565214202312
trainHVG50,official,log1p_raw,0.2930360241383654,0.29014717925077405
trainHVG737,all,cp10k_full,0.2792993768030672,0.2631774021568659
trainHVG737,all,cp10k_panel,0.29383274103196444,0.2811472490318994
trainHVG737,all,log1p_raw,0.5353686592936168,0.5295183395786909
trainHVG737,official,cp10k_full,0.12189400604463443,0.06626128352676502
trainHVG737,official,cp10k_panel,0.12567831741308222,0.07113423788682541
trainHVG737,official,log1p_raw,0.3634894673120854,0.3301942098087656
