sample,fold,panel,spotset,caliber,med_r_real,med_r_sim,mean_r_real,mean_r_sim,sim_ge_real
TENX149,0,hest_var50,all,log1p_raw,0.37151245998546,0.4258430579128043,0.40185481940104517,0.5146584322208152,1
TENX148,0,hest_var50,all,log1p_raw,0.5662674071396289,0.5896585561759288,0.5330832819338565,0.6395565975722933,1
TENX147,0,hest_var50,all,log1p_raw,0.41725938816318325,0.5162260879548075,0.4521071076856648,0.5791355324309982,1
TENX149,0,hest_var50,all,cp10k_panel,0.2664722399465385,0.3760694498914424,0.29690330819153515,0.4377761173531956,1
TENX148,0,hest_var50,all,cp10k_panel,0.3964988928849513,0.5344353687509349,0.36167287044729435,0.5343076206836608,1
TENX147,0,hest_var50,all,cp10k_panel,0.29950987386164807,0.44528281920246754,0.3194031863014891,0.48648288967485365,1
TENX111,1,hest_var50,all,log1p_raw,0.3980279729846159,0.9099178540917803,0.4098505798071244,0.8481873038352247,1
TENX111,1,hest_var50,all,cp10k_panel,0.311810123476043,0.6416997467166301,0.3180829335782284,0.619004001881227,1
TENX149,0,hest_var50,official,log1p_raw,0.29010316407973313,0.449065553511808,0.3387193023809003,0.5283761005938025,1
TENX148,0,hest_var50,official,log1p_raw,0.41810857848005223,0.5058206107048907,0.3754567633530554,0.5787961676956718,1
TENX147,0,hest_var50,official,log1p_raw,0.35750488114836476,0.5126566500514584,0.37414772456230283,0.5715369281318428,1
TENX149,0,hest_var50,official,cp10k_panel,0.08853306617017737,0.32019914227020685,0.14652550287347138,0.3165723359166197,1
TENX148,0,hest_var50,official,cp10k_panel,0.07839431439891567,0.3462844534878471,0.08827352856515462,0.33138404033070357,1
TENX147,0,hest_var50,official,cp10k_panel,0.1310208838131553,0.35869653066597257,0.15556460020012283,0.3503944975304665,1
TENX111,1,hest_var50,official,log1p_raw,0.27142384182915297,0.8556146207352238,0.27533112148377925,0.7984878474376044,1
TENX111,1,hest_var50,official,cp10k_panel,0.0983326823611059,0.256433646364683,0.07682647049172948,0.22254419573998885,1
TENX149,0,trainHVG737,all,log1p_raw,0.491955140745939,0.6723173091373278,0.49995905913029137,0.6452055250524158,1
TENX148,0,trainHVG737,all,log1p_raw,0.640368029593457,0.8241058592955921,0.6245337969461473,0.7409502009634912,1
TENX147,0,trainHVG737,all,log1p_raw,0.5607343552552846,0.7364437808991181,0.549366951876012,0.6931708715092069,1
TENX149,0,trainHVG737,all,cp10k_panel,0.2833508449991944,0.466259156484393,0.3080167303701698,0.44999503381422695,1
TENX148,0,trainHVG737,all,cp10k_panel,0.3623780655317794,0.48798924815737427,0.340254200786048,0.4530837885741444,1
TENX147,0,trainHVG737,all,cp10k_panel,0.31216822480079526,0.49828564563857103,0.32255196481263737,0.465848299499285,1
TENX111,1,trainHVG737,all,log1p_raw,0.4953874425747552,0.8914339420121988,0.5118613583630578,0.7901492696436282,1
TENX111,1,trainHVG737,all,cp10k_panel,0.25257612101615196,0.5490900103736944,0.27370100041982004,0.5015882112099591,1
TENX149,0,trainHVG737,official,log1p_raw,0.35462906728706173,0.6867056960826082,0.3890580261509697,0.6505745957281561,1
TENX148,0,trainHVG737,official,log1p_raw,0.42834905736023543,0.7576609440672617,0.41361621609249843,0.6920960986625823,1
TENX147,0,trainHVG737,official,log1p_raw,0.4333408126344602,0.7113517000117036,0.4205000201373935,0.6773990665453841,1
TENX149,0,trainHVG737,official,cp10k_panel,0.05535229271791722,0.23321517059444097,0.11703835214064932,0.22427584263504324,1
TENX148,0,trainHVG737,official,cp10k_panel,0.07304707076065385,0.21782807932416756,0.11061242819723109,0.21213861661207634,1
TENX147,0,trainHVG737,official,cp10k_panel,0.09180180967824997,0.3053673778875454,0.11793346008095289,0.28525569563991066,1
TENX111,1,trainHVG737,official,log1p_raw,0.2373028056018568,0.830039530168695,0.3065178641997746,0.7379678265768452,1
TENX111,1,trainHVG737,official,cp10k_panel,0.07637085654551612,0.15959979231604887,0.13719140630029764,0.1473406326035971,1
