sample,panel,spotset,caliber,rtech_med_mine,rtech_med_stnull,rtech_q25,rtech_q75,rnbr_med,rnbr_mean,method
NCBI642,hest_var50,all,log1p_raw,0.6270974220686798,0.6293187131873578,0.5177241203300721,0.753470273184731,0.3165543202431422,0.33672212349130004,split_half_full
NCBI642,hest_var50,all,cp10k_panel,0.4935304439632403,0.501942358629983,0.43491983857201655,0.5725162358615954,0.20909879204175463,0.21463998085923794,split_half_full
NCBI642,hest_var50,all,cp10k_full,0.5943310011445613,0.5909082986194869,0.4680961398968412,0.7468683070302042,0.2743571977448428,0.32599341471381793,split_half_full
NCBI643,hest_var50,all,log1p_raw,0.679284394890272,0.6789767819289478,0.6036471804697314,0.7992385886635255,0.3808645179312732,0.385082494232566,split_half_full
NCBI643,hest_var50,all,cp10k_panel,0.5582488904680356,0.5571140136732197,0.46028207790089937,0.6107488590262701,0.22760685658579766,0.23173036968108188,split_half_full
NCBI643,hest_var50,all,cp10k_full,0.6945957715522648,0.6929933296204558,0.5336269751587038,0.8035284278134336,0.3772652607138555,0.38162966172391566,split_half_full
NCBI642,hest_var50,in_tissue,log1p_raw,0.6200558503565798,0.6237531805805543,0.5161325367871302,0.7557600044648785,0.3165543202431422,0.33672212349130004,split_half_full
NCBI642,hest_var50,in_tissue,cp10k_panel,0.5031592753878089,0.4987043268726983,0.4244632915183693,0.5791476007373406,0.20909879204175463,0.21463998085923794,split_half_full
NCBI642,hest_var50,in_tissue,cp10k_full,0.5929982284784684,0.5905974412612737,0.4848427373467663,0.7466471339800587,0.2743571977448428,0.32599341471381793,split_half_full
NCBI643,hest_var50,in_tissue,log1p_raw,0.6799927617532426,0.6806883674653037,0.6025629603830189,0.7990316874331957,0.3808645179312732,0.385082494232566,split_half_full
NCBI643,hest_var50,in_tissue,cp10k_panel,0.5500070303456381,0.5574569541883461,0.4633499299943289,0.6113432815234972,0.22760685658579766,0.23173036968108188,split_half_full
NCBI643,hest_var50,in_tissue,cp10k_full,0.6906751596380603,0.6931257955151295,0.5408802726607166,0.8028508234032898,0.3772652607138555,0.38162966172391566,split_half_full
NCBI642,trainHVG737,all,log1p_raw,0.48885891794561465,0.4919319661444128,0.332371611367396,0.726875276807761,0.23076209558939131,0.315469820963912,split_half_full
NCBI642,trainHVG737,all,cp10k_panel,0.37480466237662524,0.3708795173240988,0.26230605119894856,0.4994467590088013,0.11349937327340315,0.15855807045154227,split_half_full
NCBI642,trainHVG737,all,cp10k_full,0.35589120108960426,0.3473428250194181,0.22062877012978246,0.502721542249402,0.09974070011380191,0.16552064950066375,split_half_full
NCBI643,trainHVG737,all,log1p_raw,0.6536077711537729,0.6504535594411037,0.4488944630119658,0.8479245622153201,0.4172696076398431,0.44436570390242935,split_half_full
NCBI643,trainHVG737,all,cp10k_panel,0.44857694156406164,0.44982471065529406,0.32309918683052063,0.5723920397117099,0.17329346102174265,0.2221081454328267,split_half_full
NCBI643,trainHVG737,all,cp10k_full,0.4196968359565733,0.4209118265207159,0.28874232077456474,0.5810215693601046,0.17232443240037293,0.2304524835315687,split_half_full
NCBI642,trainHVG737,in_tissue,log1p_raw,0.485063664658946,0.4878491639310206,0.33021328356912466,0.727596423879366,0.23076209558939131,0.315469820963912,split_half_full
NCBI642,trainHVG737,in_tissue,cp10k_panel,0.37582202030620415,0.3724190097927046,0.2591149509712366,0.5024141122829703,0.11349937327340315,0.15855807045154227,split_half_full
NCBI642,trainHVG737,in_tissue,cp10k_full,0.3506398941430731,0.3529275816058387,0.22388689610204274,0.5047068276066944,0.09974070011380191,0.16552064950066375,split_half_full
NCBI643,trainHVG737,in_tissue,log1p_raw,0.6486879839058313,0.6515848195107181,0.45428658431067703,0.8471199282587465,0.4172696076398431,0.44436570390242935,split_half_full
NCBI643,trainHVG737,in_tissue,cp10k_panel,0.44734600151129084,0.44710868184076064,0.3226857736160832,0.5719990375060239,0.17329346102174265,0.2221081454328267,split_half_full
NCBI643,trainHVG737,in_tissue,cp10k_full,0.423839534412628,0.42508222181352506,0.2868578341706104,0.5797470234999098,0.17232443240037293,0.2304524835315687,split_half_full
