sample,panel,spotset,caliber,n_spots,n_genes,med_r_trainfit,mean_r_trainfit,med_r_cv,mean_r_cv
NCBI642,hest_var50,all,log1p_raw,1987,50,0.19098045392047128,0.17665307079178233,0.18677504796324584,0.18756069653565888
NCBI642,hest_var50,all,cp10k_panel,1987,50,0.15936887687758527,0.12770493974940472,0.1614571815640463,0.15355952784585508
NCBI642,hest_var50,all,cp10k_full,1987,50,0.071639463940686,0.06729744704891016,0.07864476482286695,0.0932174594293176
NCBI642,hest_var50,in_tissue,log1p_raw,1987,50,0.19098045392047128,0.17665307079178233,0.18580488283890184,0.1869094292744489
NCBI642,hest_var50,in_tissue,cp10k_panel,1987,50,0.15936887687758527,0.12770493974940472,0.1667352603481132,0.1547795962944808
NCBI642,hest_var50,in_tissue,cp10k_full,1987,50,0.071639463940686,0.06729744704891016,0.0754532444259903,0.09531627856723897
NCBI642,trainHVG50,all,log1p_raw,1987,50,0.1355564908022044,0.21050883686996472,0.12427698641672213,0.21262500398915724
NCBI642,trainHVG50,all,cp10k_panel,1987,50,0.09099928689052979,0.11700370637298718,0.09566779581984582,0.1294090774533248
NCBI642,trainHVG50,all,cp10k_full,1987,50,0.08122184376132117,0.0720337200827036,0.09407957244478209,0.1154057030090521
NCBI642,trainHVG50,in_tissue,log1p_raw,1987,50,0.1355564908022044,0.21050883686996472,0.12490241127224752,0.21257716921584094
NCBI642,trainHVG50,in_tissue,cp10k_panel,1987,50,0.09099928689052979,0.11700370637298718,0.09878787416860654,0.13295276006561735
NCBI642,trainHVG50,in_tissue,cp10k_full,1987,50,0.08122184376132117,0.0720337200827036,0.09589993124609505,0.1181351319856467
NCBI642,trainHVG737,all,log1p_raw,1987,737,0.26444351930381127,0.3462355268558719,0.2620572775070371,0.34604940415708724
NCBI642,trainHVG737,all,cp10k_panel,1987,737,0.08265427120195387,0.10152655956000203,0.08462472532971099,0.10393944706278566
NCBI642,trainHVG737,all,cp10k_full,1987,737,0.056561147776097484,0.08400039394372945,0.051527576832456734,0.08253789934070764
NCBI642,trainHVG737,in_tissue,log1p_raw,1987,737,0.26444351930381127,0.3462355268558719,0.26070816145549314,0.34541509165250495
NCBI642,trainHVG737,in_tissue,cp10k_panel,1987,737,0.08265427120195387,0.10152655956000203,0.0798078854553198,0.10350012435929092
NCBI642,trainHVG737,in_tissue,cp10k_full,1987,737,0.056561147776097484,0.08400039394372945,0.05009848661638431,0.08037033637790274
NCBI643,hest_var50,all,log1p_raw,2261,50,0.13501809949277777,0.12015603368146252,0.16433423482496845,0.18330467662422203
NCBI643,hest_var50,all,cp10k_panel,2261,50,0.10278175941518927,0.08356169086738743,0.12457174127080603,0.1397171947151308
NCBI643,hest_var50,all,cp10k_full,2261,50,0.0974561351961871,0.10516855268343386,0.1295565596680388,0.15528125644659582
NCBI643,hest_var50,in_tissue,log1p_raw,2261,50,0.13501809949277777,0.12015603368146252,0.1646172092134469,0.18353678413590793
NCBI643,hest_var50,in_tissue,cp10k_panel,2261,50,0.10278175941518927,0.08356169086738743,0.12436967927008924,0.13767902956407493
NCBI643,hest_var50,in_tissue,cp10k_full,2261,50,0.0974561351961871,0.10516855268343386,0.12461557440245985,0.1546350208940236
NCBI643,trainHVG50,all,log1p_raw,2261,50,0.16285732431154687,0.18459499481985833,0.16596977958263434,0.24569548424204674
NCBI643,trainHVG50,all,cp10k_panel,2261,50,0.038547915465130346,0.04240089813357075,0.12370501368244896,0.15303501387153778
NCBI643,trainHVG50,all,cp10k_full,2261,50,0.1576942445831378,0.16255015878054732,0.17084730033286144,0.21045011825789917
NCBI643,trainHVG50,in_tissue,log1p_raw,2261,50,0.16285732431154687,0.18459499481985833,0.16475048428738512,0.24251115351151703
NCBI643,trainHVG50,in_tissue,cp10k_panel,2261,50,0.038547915465130346,0.04240089813357075,0.12249558445097417,0.15551803835686426
NCBI643,trainHVG50,in_tissue,cp10k_full,2261,50,0.1576942445831378,0.16255015878054732,0.17666511928056547,0.2121036639288898
NCBI643,trainHVG737,all,log1p_raw,2261,737,0.4252929589711606,0.4738603652529024,0.4306890990126747,0.4763708949448192
NCBI643,trainHVG737,all,cp10k_panel,2261,737,0.11666859958057033,0.1194547825106747,0.12935240221157393,0.1493680019100519
NCBI643,trainHVG737,all,cp10k_full,2261,737,0.09789390400535362,0.12120853628954743,0.10171416987394621,0.13530690585230173
NCBI643,trainHVG737,in_tissue,log1p_raw,2261,737,0.4252929589711606,0.4738603652529024,0.43069911834565433,0.47657215067147873
NCBI643,trainHVG737,in_tissue,cp10k_panel,2261,737,0.11666859958057033,0.1194547825106747,0.13140887118043207,0.14889942694314512
NCBI643,trainHVG737,in_tissue,cp10k_full,2261,737,0.09789390400535362,0.12120853628954743,0.10376755689718037,0.13455747825248193
