sample,spotset,panel,caliber,sd_loglib,pred_r_her2stfit,obs_med_r,resid,extrapolated
NCBI642,all,hest_var50,cp10k_panel,0.626976624169583,0.20981000327121901,0.15936887687758527,-0.05044112639363374,0
NCBI642,all,hest_var50,log1p_raw,0.626976624169583,0.20981000327121901,0.19098045392047128,-0.018829549350747737,0
NCBI642,all,trainHVG737,cp10k_panel,0.626976624169583,0.20981000327121901,0.08265427120195387,-0.12715573206926514,0
NCBI642,all,trainHVG737,log1p_raw,0.626976624169583,0.20981000327121901,0.26444351930381127,0.054633516032592255,0
NCBI643,all,hest_var50,cp10k_panel,0.6831394132611496,0.22594868155286696,0.10278175941518927,-0.12316692213767769,0
NCBI643,all,hest_var50,log1p_raw,0.6831394132611496,0.22594868155286696,0.13501809949277777,-0.0909305820600892,0
NCBI643,all,trainHVG737,cp10k_panel,0.6831394132611496,0.22594868155286696,0.11666859958057033,-0.10928008197229663,0
NCBI643,all,trainHVG737,log1p_raw,0.6831394132611496,0.22594868155286696,0.4252929589711606,0.19934427741829364,0
NCBI642,in_tissue,hest_var50,cp10k_panel,0.626976624169583,0.20981000327121901,0.15936887687758527,-0.05044112639363374,0
NCBI642,in_tissue,hest_var50,log1p_raw,0.626976624169583,0.20981000327121901,0.19098045392047128,-0.018829549350747737,0
NCBI642,in_tissue,trainHVG737,cp10k_panel,0.626976624169583,0.20981000327121901,0.08265427120195387,-0.12715573206926514,0
NCBI642,in_tissue,trainHVG737,log1p_raw,0.626976624169583,0.20981000327121901,0.26444351930381127,0.054633516032592255,0
NCBI643,in_tissue,hest_var50,cp10k_panel,0.6831394132611496,0.22594868155286696,0.10278175941518927,-0.12316692213767769,0
NCBI643,in_tissue,hest_var50,log1p_raw,0.6831394132611496,0.22594868155286696,0.13501809949277777,-0.0909305820600892,0
NCBI643,in_tissue,trainHVG737,cp10k_panel,0.6831394132611496,0.22594868155286696,0.11666859958057033,-0.10928008197229663,0
NCBI643,in_tissue,trainHVG737,log1p_raw,0.6831394132611496,0.22594868155286696,0.4252929589711606,0.19934427741829364,0
