sample,panel,spotset,caliber,med_r_real,med_r_sim,mean_r_real,mean_r_sim,sim_ge_real
NCBI642,hest_var50,all,log1p_raw,0.19098045392047128,0.37300148796762056,0.17665307079178233,0.40806581120672514,1
NCBI642,hest_var50,all,cp10k_panel,0.15936887687758527,0.289471923169407,0.12770493974940472,0.27833068842089603,1
NCBI643,hest_var50,all,log1p_raw,0.13501809949277777,0.3354700203239546,0.12015603368146252,0.3768597921729082,1
NCBI643,hest_var50,all,cp10k_panel,0.10278175941518927,0.27087159396135496,0.08356169086738743,0.2810951935044816,1
NCBI642,hest_var50,in_tissue,log1p_raw,0.19098045392047128,0.3621580854139622,0.17665307079178233,0.409486052163746,1
NCBI642,hest_var50,in_tissue,cp10k_panel,0.15936887687758527,0.27899221494646215,0.12770493974940472,0.2794992896090441,1
NCBI643,hest_var50,in_tissue,log1p_raw,0.13501809949277777,0.347493599156299,0.12015603368146252,0.38159347313795694,1
NCBI643,hest_var50,in_tissue,cp10k_panel,0.10278175941518927,0.27713043864343145,0.08356169086738743,0.28489666493305754,1
NCBI642,trainHVG737,all,log1p_raw,0.26444351930381127,0.3644498430409621,0.3462355268558719,0.45703615769422873,1
NCBI642,trainHVG737,all,cp10k_panel,0.08265427120195387,0.16305534783171646,0.10152655956000203,0.1669313361013915,1
NCBI643,trainHVG737,all,log1p_raw,0.4252929589711606,0.5268327650105251,0.4738603652529024,0.5579980027200323,1
NCBI643,trainHVG737,all,cp10k_panel,0.11666859958057033,0.19037837778759595,0.1194547825106747,0.19124587710364163,1
NCBI642,trainHVG737,in_tissue,log1p_raw,0.26444351930381127,0.3702235612476398,0.3462355268558719,0.45710958761825554,1
NCBI642,trainHVG737,in_tissue,cp10k_panel,0.08265427120195387,0.1652962601024719,0.10152655956000203,0.16671207899565338,1
NCBI643,trainHVG737,in_tissue,log1p_raw,0.4252929589711606,0.5292007257838038,0.4738603652529024,0.5580639567688027,1
NCBI643,trainHVG737,in_tissue,cp10k_panel,0.11666859958057033,0.18997457377566618,0.1194547825106747,0.1908084398195643,1
