sample,panel,spotset,caliber,rtech_med_mine,rtech_med_stnull,rtech_q25,rtech_q75,rnbr_med,rnbr_mean,method
TENX99,hest_var50,all,log1p_raw,0.9264142159950599,0.9263390457891527,0.8019180591035961,0.9769913188171254,0.7248274148171282,0.679559582193855,split_half_full
TENX99,hest_var50,all,cp10k_panel,0.8460112329667115,0.8463330515024154,0.6799049289763762,0.9060922688282609,0.6129490963073738,0.5782505203787737,split_half_full
TENX99,hest_var50,all,cp10k_full,0.8574347926851903,0.8570706838733774,0.7047181138682388,0.9186170380031358,0.6084483679188675,0.5955399811337484,split_half_full
TENX95,hest_var50,all,log1p_raw,0.9782269097042127,0.9781598330556163,0.9557149941000627,0.993907084986339,0.8557210410734191,0.8228364378629426,split_half_full
TENX95,hest_var50,all,cp10k_panel,0.9444019330919137,0.9443138128037194,0.9002589712944604,0.9584895539967642,0.8133591589730904,0.7546902192513677,split_half_full
TENX95,hest_var50,all,cp10k_full,0.9430093325730877,0.9431374038317959,0.9182381832370962,0.959333160433923,0.7934709671716806,0.7421610745310516,split_half_full
NCBI785,hest_var50,all,log1p_raw,0.9699254353342497,0.9696161322750518,0.9319279341161966,0.9823167302825511,0.7742094249082443,0.7347521907735423,split_half_full
NCBI785,hest_var50,all,cp10k_panel,0.9086146167960377,0.9086889957085353,0.8339571926864622,0.949427619188179,0.6903011951086364,0.6430897477857401,split_half_full
NCBI785,hest_var50,all,cp10k_full,0.9322172049801847,0.9335005225379434,0.8737132376175493,0.9599746801197924,0.7005493245394736,0.6657028749859479,split_half_full
NCBI783,hest_var50,all,log1p_raw,0.9790898486101187,0.9790703725687717,0.9559968656871043,0.9844705719300297,0.8250742109985398,0.7951588939616616,split_half_full
NCBI783,hest_var50,all,cp10k_panel,0.8754558101840257,0.8751234618523833,0.8519632847269673,0.9075003660359938,0.6324360663554447,0.5990445366045744,split_half_full
NCBI783,hest_var50,all,cp10k_full,0.8946238133219753,0.8949391697092646,0.8741798027538863,0.9116935498229506,0.6495574908756208,0.6067490644800986,split_half_full
TENX99,hest_var50,bench,log1p_raw,0.9188994396489467,0.9188777328878825,0.7765720605743008,0.9716687901348521,0.6610792522842481,0.6212560546193042,split_half_full
TENX99,hest_var50,bench,cp10k_panel,0.8147468114263428,0.8142332066619169,0.647160833404123,0.8700203124265175,0.5031855814395019,0.4830463957839142,split_half_full
TENX99,hest_var50,bench,cp10k_full,0.8500022487799032,0.8502276489027274,0.6885612784926329,0.9124096741725445,0.5438459843417291,0.544534110394972,split_half_full
TENX95,hest_var50,bench,log1p_raw,0.9657415871281243,0.9656505335613528,0.9427196542142553,0.9811764099238586,0.7271315599713979,0.6847242945264973,split_half_full
TENX95,hest_var50,bench,cp10k_panel,0.9102931524573403,0.9100319526601365,0.855383464008057,0.9412841247413151,0.6554577679743014,0.595882643234544,split_half_full
TENX95,hest_var50,bench,cp10k_full,0.943216050947594,0.9427422066696995,0.9076717344309985,0.9598977893537693,0.7159429640008946,0.6486250061445422,split_half_full
NCBI785,hest_var50,bench,log1p_raw,0.9696476755860508,0.969747036464077,0.9316963123055995,0.982171663208919,0.7631144915774263,0.7239064373318936,split_half_full
NCBI785,hest_var50,bench,cp10k_panel,0.9042162124998682,0.9051642366985693,0.8352610005302239,0.951969711824616,0.671023884101275,0.6387020381726072,split_half_full
NCBI785,hest_var50,bench,cp10k_full,0.934694631320637,0.9351514970192871,0.8775800403429483,0.9624093465381798,0.6998322794109719,0.6668074572362186,split_half_full
NCBI783,hest_var50,bench,log1p_raw,0.9757430237430877,0.9755613656753872,0.9515332558830137,0.9827078683718905,0.7822319149071604,0.74128871410962,split_half_full
NCBI783,hest_var50,bench,cp10k_panel,0.8738340689813804,0.8732180393428364,0.8368167252845509,0.9024792054195028,0.5712516704081338,0.5516439609429932,split_half_full
NCBI783,hest_var50,bench,cp10k_full,0.8951180389173594,0.895336714273543,0.8716010622251903,0.9208781108965326,0.6228364123352648,0.5869382251051954,split_half_full
TENX99,trainHVGfull,all,log1p_raw,0.9508705362484747,0.9509870790568999,0.8219730082460821,0.9810354530709109,0.8343497754287854,0.7408133726681765,split_half_full
TENX99,trainHVGfull,all,cp10k_panel,0.8728538462823878,0.8726593348897131,0.7592068746219144,0.9187401848149281,0.6878220602456524,0.6262250895469385,split_half_full
TENX99,trainHVGfull,all,cp10k_full,0.8729658696826519,0.8727533014455857,0.7591674687716952,0.9192381397645768,0.6878382422850408,0.6262467279968283,split_half_full
TENX95,trainHVGfull,all,log1p_raw,0.9760250884559979,0.9759901774913118,0.9347687366324438,0.992454980769715,0.9035613805327067,0.8467261473542214,split_half_full
TENX95,trainHVGfull,all,cp10k_panel,0.9478086629154246,0.947779032737093,0.8990435444092152,0.9633656833260595,0.8184038020031654,0.7656766903293114,split_half_full
TENX95,trainHVGfull,all,cp10k_full,0.9479207230784592,0.9479486123886913,0.8991798888542337,0.9636022947764853,0.8191898201612238,0.7662974902804824,split_half_full
NCBI785,trainHVGfull,all,log1p_raw,0.951800053480877,0.9518670447664226,0.9112239951154069,0.9772960677498679,0.744302210997799,0.7137732470025291,split_half_full
NCBI785,trainHVGfull,all,cp10k_panel,0.8943206720224233,0.894268957513122,0.8321566534271752,0.9399302523417968,0.6463785132941873,0.6078430362461705,split_half_full
NCBI785,trainHVGfull,all,cp10k_full,0.894444680816669,0.8943031055926803,0.8335230723778212,0.9404206321248982,0.6467444088284292,0.6078650722812828,split_half_full
NCBI783,trainHVGfull,all,log1p_raw,0.9676935598493593,0.9675160813336469,0.9294652789655958,0.9819324084180602,0.8458289982555587,0.8031701470372153,split_half_full
NCBI783,trainHVGfull,all,cp10k_panel,0.8614508966351588,0.86153286382521,0.8116703666403753,0.8943746654103323,0.5942998089279863,0.5616270731823391,split_half_full
NCBI783,trainHVGfull,all,cp10k_full,0.8629267958247941,0.8628429803037931,0.8135782673137156,0.8957243643618055,0.5955621724177438,0.5642972126096464,split_half_full
TENX99,trainHVGfull,bench,log1p_raw,0.9297546495131294,0.9301223275975468,0.7987590739986989,0.9708714025095335,0.7289893386722469,0.6623360732250199,split_half_full
TENX99,trainHVGfull,bench,cp10k_panel,0.8176197474576659,0.8180607017662792,0.7095646085200055,0.8951571305918296,0.5121339771511252,0.512654863108392,split_half_full
TENX99,trainHVGfull,bench,cp10k_full,0.817560063065794,0.8175619151112155,0.7091955351597958,0.895178464496225,0.5123785652518488,0.5128617234529735,split_half_full
TENX95,trainHVGfull,bench,log1p_raw,0.9458127019320828,0.9457026820933234,0.8818723084776336,0.9740274104937023,0.6868735472664076,0.6451597172120929,split_half_full
