sample,panel,spotset,caliber,n_spots,n_genes,med_r_trainfit,mean_r_trainfit,med_r_cv,mean_r_cv
TENX99,hest_var50,all,log1p_raw,25080,50,0.46076877818961814,0.48623625521690284,0.46060732874744864,0.4860892780252267
TENX99,hest_var50,all,cp10k_panel,25080,50,0.4306264470282271,0.44125920213490916,0.430402261335594,0.44107496330052276
TENX99,hest_var50,all,cp10k_full,25080,50,0.35605761434846217,0.3791162225629433,0.3558399698456669,0.37885019052632724
TENX99,hest_var50,bench,log1p_raw,20761,50,0.3565684141798948,0.4034902573220418,0.3644846822829582,0.4313508354444739
TENX99,hest_var50,bench,cp10k_panel,20761,50,0.0868599790720703,0.15264557639450405,0.1736878524304103,0.22650264843786796
TENX99,hest_var50,bench,cp10k_full,20761,50,0.05018116413641082,0.13680935899489158,0.12432505839028118,0.21150138893100337
TENX99,trainHVG50,all,log1p_raw,25080,50,0.4471602039842619,0.46605313228235923,0.4470886460290121,0.465946515250858
TENX99,trainHVG50,all,cp10k_panel,25080,50,0.4324930245318894,0.43632394864150703,0.4323865954213589,0.4361752542170951
TENX99,trainHVG50,all,cp10k_full,25080,50,0.3241671335905718,0.350901086059521,0.32388549324838956,0.35066695396174824
TENX99,trainHVG50,bench,log1p_raw,20761,50,0.34840595724642653,0.3907187090343417,0.35187133169296736,0.4186165232504882
TENX99,trainHVG50,bench,cp10k_panel,20761,50,0.1397132569358191,0.18790423775361184,0.16017286349863258,0.23615738578285816
TENX99,trainHVG50,bench,cp10k_full,20761,50,0.04294568104351575,0.12853097953064274,0.10165700504487007,0.18842625712615949
TENX99,trainHVGfull,all,log1p_raw,25080,280,0.6607390134692901,0.6044008870673651,0.6607120364600859,0.6043294378287689
TENX99,trainHVGfull,all,cp10k_panel,25080,280,0.5345589314987433,0.48980075056617917,0.5344764974595795,0.4896454515349272
TENX99,trainHVGfull,all,cp10k_full,25080,280,0.5344003832215343,0.48973585263324865,0.5343018709901624,0.48958892784354696
TENX99,trainHVGfull,bench,log1p_raw,20761,280,0.5583029196974596,0.5423609781806242,0.5582516547929062,0.5472019372319387
TENX99,trainHVGfull,bench,cp10k_panel,20761,280,0.12892723306930678,0.1972790419188324,0.16935221891015761,0.24576474981006707
TENX99,trainHVGfull,bench,cp10k_full,20761,280,0.1288215667176253,0.19739605949642813,0.16823977217762642,0.24497539000766735
TENX95,hest_var50,all,log1p_raw,11845,50,0.6537391792209922,0.6633355065887753,0.6536182643074906,0.6631949317751462
TENX95,hest_var50,all,cp10k_panel,11845,50,0.6250261547256535,0.6416480775006234,0.6248752818239642,0.6414758058138197
TENX95,hest_var50,all,cp10k_full,11845,50,0.5580774424243728,0.5914722219932103,0.5579715295491371,0.5913130424518854
TENX95,hest_var50,bench,log1p_raw,7760,50,0.2900796303976494,0.3661527427740912,0.28946874549489665,0.3667916167937863
TENX95,hest_var50,bench,cp10k_panel,7760,50,0.08335724100987982,0.1480934855151723,0.1151108208380173,0.18952177059342634
TENX95,hest_var50,bench,cp10k_full,7760,50,0.10258787282402282,0.16572537216290278,0.11027551869636013,0.19247206243625933
TENX95,trainHVG50,all,log1p_raw,11845,50,0.7065444118819125,0.6806148176679127,0.7064765363110234,0.6804466642013827
TENX95,trainHVG50,all,cp10k_panel,11845,50,0.7014577030111457,0.664726041223757,0.7013185163945466,0.6645909090645047
TENX95,trainHVG50,all,cp10k_full,11845,50,0.6477741761036172,0.6139993125145211,0.64765769755352,0.613850502588584
TENX95,trainHVG50,bench,log1p_raw,7760,50,0.2900796303976494,0.3718306815624946,0.2889852118850761,0.37272330159445927
TENX95,trainHVG50,bench,cp10k_panel,7760,50,0.11183810384805265,0.17534009542822238,0.13973075044428868,0.2044382177226001
TENX95,trainHVG50,bench,cp10k_full,7760,50,0.14693370832247538,0.18651004012207711,0.14512211357856067,0.205656969104983
TENX95,trainHVGfull,all,log1p_raw,11845,278,0.8049821308893086,0.7468284085271488,0.804939351223006,0.7467410254073925
TENX95,trainHVGfull,all,cp10k_panel,11845,278,0.728521475218556,0.6774770959311631,0.7284422607784351,0.6773499757047005
TENX95,trainHVGfull,all,cp10k_full,11845,278,0.728610002581317,0.6778835466153488,0.7285131919668454,0.6777135180731113
TENX95,trainHVGfull,bench,log1p_raw,7760,280,0.3513236382114123,0.42964115926413654,0.3508708451928323,0.42906154547799163
TENX95,trainHVGfull,bench,cp10k_panel,7760,280,0.11092703215316224,0.20115409361525166,0.12875854095023942,0.2286314772268484
TENX95,trainHVGfull,bench,cp10k_full,7760,280,0.11489606860427395,0.20262214584700305,0.12811163481202076,0.2300479815719408
NCBI785,hest_var50,all,log1p_raw,4180,50,0.34358594951295185,0.4020407300675081,0.34203567384421446,0.40757866200978926
NCBI785,hest_var50,all,cp10k_panel,4180,50,0.11618239246353411,0.17535124472071142,0.10576389017555875,0.18221175932152434
NCBI785,hest_var50,all,cp10k_full,4180,50,0.11585218983806653,0.15684310806802176,0.11067986617234203,0.18079713504807127
NCBI785,hest_var50,bench,log1p_raw,4010,50,0.3313402166148205,0.38227188609354806,0.3291379414284792,0.3904276363166911
NCBI785,hest_var50,bench,cp10k_panel,4010,50,0.035576883891661026,0.08074375900061465,0.11303198190709052,0.16893958072869894
NCBI785,hest_var50,bench,cp10k_full,4010,50,0.07370986793771397,0.11478941645765599,0.11746989870727666,0.1798273145585481
NCBI785,trainHVG50,all,log1p_raw,4180,50,0.3083877328726762,0.3424437669139156,0.30700098533795184,0.3438754750803574
NCBI785,trainHVG50,all,cp10k_panel,4180,50,0.10905729880485185,0.15281937801422435,0.11179097019259812,0.17238514604854538
NCBI785,trainHVG50,all,cp10k_full,4180,50,0.07182096135131977,0.11438201974335292,0.09463609240777929,0.15735135061416994
NCBI785,trainHVG50,bench,log1p_raw,4010,50,0.3208657452687966,0.344733053854094,0.319444818166035,0.35960255123508594
NCBI785,trainHVG50,bench,cp10k_panel,4010,50,0.07084580104977004,0.07037100795669823,0.10786698404915479,0.16418009153369245
NCBI785,trainHVG50,bench,cp10k_full,4010,50,0.07778342571706087,0.10297949067051362,0.11831575578190356,0.1686346132941649
NCBI785,trainHVGfull,all,log1p_raw,4180,278,0.44802236983941124,0.48314137403810137,0.44666968350495123,0.4817669556095629
NCBI785,trainHVGfull,all,cp10k_panel,4180,278,0.13357407876529417,0.21451860981614232,0.1444110813559406,0.23147991808115007
