sample,spotset,panel,caliber,sd_loglib,pred_r_her2stfit,obs_med_r,resid,extrapolated
TENX99,all,hest_var50,cp10k_panel,2.649839801929573,0.7910905728746019,0.4306264470282271,-0.3604641258463748,1
TENX99,all,hest_var50,log1p_raw,2.649839801929573,0.7910905728746019,0.46076877818961814,-0.3303217946849838,1
TENX99,all,trainHVGfull,cp10k_panel,2.649839801929573,0.7910905728746019,0.5345589314987433,-0.2565316413758586,1
TENX99,all,trainHVGfull,log1p_raw,2.649839801929573,0.7910905728746019,0.6607390134692901,-0.13035155940531185,1
TENX95,all,hest_var50,cp10k_panel,3.90653472262609,1.1522085898277097,0.6250261547256535,-0.5271824351020562,1
TENX95,all,hest_var50,log1p_raw,3.90653472262609,1.1522085898277097,0.6537391792209922,-0.49846941060671746,1
TENX95,all,trainHVGfull,cp10k_panel,3.90653472262609,1.1522085898277097,0.728521475218556,-0.42368711460915365,1
TENX95,all,trainHVGfull,log1p_raw,3.90653472262609,1.1522085898277097,0.8049821308893086,-0.3472264589384011,1
NCBI785,all,hest_var50,cp10k_panel,1.0658079965899132,0.33591054873806087,0.11618239246353411,-0.21972815627452674,0
NCBI785,all,hest_var50,log1p_raw,1.0658079965899132,0.33591054873806087,0.34358594951295185,0.007675400774890984,0
NCBI785,all,trainHVGfull,cp10k_panel,1.0658079965899132,0.33591054873806087,0.13357407876529417,-0.2023364699727667,0
NCBI785,all,trainHVGfull,log1p_raw,1.0658079965899132,0.33591054873806087,0.44802236983941124,0.11211182110135037,0
NCBI783,all,hest_var50,cp10k_panel,2.051250349526858,0.619082687380079,0.5093486009195229,-0.10973408646055605,1
NCBI783,all,hest_var50,log1p_raw,2.051250349526858,0.619082687380079,0.6571120703282662,0.03802938294818725,1
NCBI783,all,trainHVGfull,cp10k_panel,2.051250349526858,0.619082687380079,0.5152259757586779,-0.10385671162140109,1
NCBI783,all,trainHVGfull,log1p_raw,2.051250349526858,0.619082687380079,0.7411562055706751,0.12207351819059609,1
TENX99,bench,hest_var50,cp10k_panel,1.0718574168384505,0.33764888205021987,0.0868599790720703,-0.2507889029781496,0
TENX99,bench,hest_var50,log1p_raw,1.0718574168384505,0.33764888205021987,0.3565684141798948,0.018919532129674954,0
TENX99,bench,trainHVGfull,cp10k_panel,1.0718574168384505,0.33764888205021987,0.12892723306930678,-0.20872164898091308,0
TENX99,bench,trainHVGfull,log1p_raw,1.0718574168384505,0.33764888205021987,0.5583029196974596,0.22065403764723973,0
TENX95,bench,hest_var50,cp10k_panel,0.8408985449158317,0.2712816130712086,0.08335724100987982,-0.1879243720613288,0
TENX95,bench,hest_var50,log1p_raw,0.8408985449158317,0.2712816130712086,0.2900796303976494,0.018798017326440764,0
TENX95,bench,trainHVGfull,cp10k_panel,0.8408985449158317,0.2712816130712086,0.11092703215316224,-0.16035458091804639,0
TENX95,bench,trainHVGfull,log1p_raw,0.8408985449158317,0.2712816130712086,0.3513236382114123,0.0800420251402037,0
NCBI785,bench,hest_var50,cp10k_panel,0.8283542240323187,0.2676769352716303,0.035576883891661026,-0.23210005137996925,0
NCBI785,bench,hest_var50,log1p_raw,0.8283542240323187,0.2676769352716303,0.3313402166148205,0.06366328134319021,0
NCBI785,bench,trainHVGfull,cp10k_panel,0.8283542240323187,0.2676769352716303,0.14574071466149818,-0.1219362206101321,0
NCBI785,bench,trainHVGfull,log1p_raw,0.8283542240323187,0.2676769352716303,0.40933177523086495,0.14165483995923467,0
NCBI783,bench,hest_var50,cp10k_panel,1.376973275012786,0.42532555825083146,0.3259139439144191,-0.09941161433641238,0
NCBI783,bench,hest_var50,log1p_raw,1.376973275012786,0.42532555825083146,0.5878022388062469,0.16247668055541548,0
NCBI783,bench,trainHVGfull,cp10k_panel,1.376973275012786,0.42532555825083146,0.3237182827290641,-0.10160727552176735,0
NCBI783,bench,trainHVGfull,log1p_raw,1.376973275012786,0.42532555825083146,0.6663041171934574,0.24097855894262593,0
