sample,panel,spotset,caliber,med_r_real,med_r_sim,mean_r_real,mean_r_sim,sim_ge_real
TENX99,hest_var50,all,log1p_raw,0.46076877818961814,0.8642762820065726,0.48623625521690284,0.8165649290450087,1
TENX99,hest_var50,all,cp10k_panel,0.4306264470282271,0.7953260525312855,0.44125920213490916,0.7406448891995703,1
TENX95,hest_var50,all,log1p_raw,0.6537391792209922,0.9285044543911571,0.6633355065887753,0.8954310227197085,1
TENX95,hest_var50,all,cp10k_panel,0.6250261547256535,0.9056149859992272,0.6416480775006234,0.8745892600123196,1
NCBI785,hest_var50,all,log1p_raw,0.34358594951295185,0.8312890143396348,0.4020407300675081,0.7974311356018337,1
NCBI785,hest_var50,all,cp10k_panel,0.11618239246353411,0.5517411284579515,0.17535124472071142,0.5221237937820229,1
NCBI783,hest_var50,all,log1p_raw,0.6571120703282662,0.8725679783750353,0.6347781855644812,0.837157530940695,1
NCBI783,hest_var50,all,cp10k_panel,0.5093486009195229,0.6690825586428747,0.47291229747951485,0.6305179891092114,1
TENX99,hest_var50,bench,log1p_raw,0.3565684141798948,0.9219291501134206,0.4034902573220418,0.8587694219472201,1
TENX99,hest_var50,bench,cp10k_panel,0.0868599790720703,0.44011922128562386,0.15264557639450405,0.4142560393221392,1
TENX95,hest_var50,bench,log1p_raw,0.2900796303976494,0.872018071172727,0.3661527427740912,0.8131115294428248,1
TENX95,hest_var50,bench,cp10k_panel,0.08335724100987982,0.548118106644299,0.1480934855151723,0.5200417698163603,1
NCBI785,hest_var50,bench,log1p_raw,0.3313402166148205,0.8722961857533162,0.38227188609354806,0.8331629073052494,1
NCBI785,hest_var50,bench,cp10k_panel,0.035576883891661026,0.40561564262523236,0.08074375900061465,0.38952381349396026,1
NCBI783,hest_var50,bench,log1p_raw,0.5878022388062469,0.8759985096735676,0.5616332672340854,0.8359573541989649,1
NCBI783,hest_var50,bench,cp10k_panel,0.3259139439144191,0.5482495527575718,0.21877985371293238,0.5017975392120523,1
TENX99,trainHVGfull,all,log1p_raw,0.6607390134692901,0.8339902034760525,0.6044008870673651,0.7893198793796034,1
TENX99,trainHVGfull,all,cp10k_panel,0.5345589314987433,0.738148789267091,0.48980075056617917,0.6885926732782285,1
TENX95,trainHVGfull,all,log1p_raw,0.8049821308893086,0.9326892526649692,0.7468284085271488,0.8884396886997421,1
TENX95,trainHVGfull,all,cp10k_panel,0.728521475218556,0.8861361383500564,0.6774770959311631,0.8361553079111912,1
NCBI785,trainHVGfull,all,log1p_raw,0.44802236983941124,0.8354568149375836,0.48314137403810137,0.7892485585372585,1
NCBI785,trainHVGfull,all,cp10k_panel,0.13357407876529417,0.5194087218561687,0.21451860981614232,0.46817149897568305,1
NCBI783,trainHVGfull,all,log1p_raw,0.7411562055706751,0.876930551540704,0.7153195026352727,0.8270090535989243,1
NCBI783,trainHVGfull,all,cp10k_panel,0.5152259757586779,0.6164250065066276,0.4817666559256248,0.5791177378192297,1
TENX99,trainHVGfull,bench,log1p_raw,0.5583029196974596,0.8898102361229837,0.5423609781806242,0.8318433019619983,1
TENX99,trainHVGfull,bench,cp10k_panel,0.12892723306930678,0.4134162065668754,0.1972790419188324,0.38878693470480374,1
TENX95,trainHVGfull,bench,log1p_raw,0.3513236382114123,0.8847194224144448,0.42964115926413654,0.8004137904422175,1
TENX95,trainHVGfull,bench,cp10k_panel,0.11092703215316224,0.4758947911136473,0.20115409361525166,0.4428405636701764,1
NCBI785,trainHVGfull,bench,log1p_raw,0.40933177523086495,0.8759380392476119,0.4617977703308899,0.8220529238389241,1
NCBI785,trainHVGfull,bench,cp10k_panel,0.14574071466149818,0.34166901998097027,0.176391952830188,0.3294872405809893,1
NCBI783,trainHVGfull,bench,log1p_raw,0.6663041171934574,0.882385710157634,0.6524830563660197,0.8217869476177262,1
NCBI783,trainHVGfull,bench,cp10k_panel,0.3237182827290641,0.4760523999994199,0.22317543141288979,0.4483087668651177,1
