model,lung_r,null_mean_r,beats_null
GenBio-PathFM,0.5787,0.6942265398316396,0
H-Optimus-1,0.5779,0.6942265398316396,0
Hibou-L,0.5762,0.6942265398316396,0
Virchow2,0.5685,0.6942265398316396,0
Virchow,0.5664,0.6942265398316396,0
H-Optimus-0,0.559,0.6942265398316396,0
UNI2-h,0.5587,0.6942265398316396,0
Midnight-12k,0.5577,0.6942265398316396,0
OpenMidnight,0.5534,0.6942265398316396,0
CONCH v1.5,0.5513,0.6942265398316396,0
H0-mini,0.5482,0.6942265398316396,0
GPFM,0.5472,0.6942265398316396,0
Phikon,0.5466,0.6942265398316396,0
UNI,0.5464,0.6942265398316396,0
Phikon-v2,0.5419,0.6942265398316396,0
Lunit ViT-S/8,0.5415,0.6942265398316396,0
GigaPath,0.5412,0.6942265398316396,0
Kaiko ViT-L/14,0.5379,0.6942265398316396,0
CONCH v1,0.5322,0.6942265398316396,0
Kaiko ViT-B/8,0.5183,0.6942265398316396,0
MUSK,0.5171,0.6942265398316396,0
Kaiko ViT-B/16,0.5156,0.6942265398316396,0
CTransPath,0.5137,0.6942265398316396,0
Kaiko ViT-S/8,0.5053,0.6942265398316396,0
Kaiko ViT-S/16,0.503,0.6942265398316396,0
ResNet50,0.4949,0.6942265398316396,0
