sample,panel,spotset,caliber,n_spots,n_genes,med_r_trainfit,mean_r_trainfit,med_r_cv,mean_r_cv
TENX118,hest_var50,all==in_tissue,log1p_raw,3115,50,0.6977007502738443,0.698747392780057,0.6974867522663443,0.6982411773007055
TENX118,hest_var50,all==in_tissue,cp10k_panel,3115,50,0.6113074317920837,0.6004359422144188,0.6108111669300962,0.5996856650249767
TENX118,hest_var50,all==in_tissue,cp10k_full,3115,50,0.5124324499130322,0.5044462313663893,0.5335252745694401,0.5262568000882536
TENX118,trainHVG50,all==in_tissue,log1p_raw,3115,50,0.6742621302157368,0.6320079764776323,0.6736576218203818,0.6312250211322816
TENX118,trainHVG50,all==in_tissue,cp10k_panel,3115,50,0.6344152253752033,0.5879271313646278,0.6337203967973657,0.5868364524060913
TENX118,trainHVG50,all==in_tissue,cp10k_full,3115,50,0.5110381307473251,0.49201442444897386,0.5098845030441175,0.4904592370621621
TENX118,shared259,all==in_tissue,log1p_raw,3115,259,0.7052075922090962,0.6013500325704219,0.704530710261826,0.6000264955042794
TENX118,shared259,all==in_tissue,cp10k_panel,3115,259,0.5937521526279821,0.4841585266342924,0.5981926220724393,0.49259964137592716
TENX118,shared259,all==in_tissue,cp10k_full,3115,259,0.556511505917773,0.4417207563099483,0.5650637908301258,0.463219493132247
TENX141,hest_var50,all==in_tissue,log1p_raw,4390,50,0.67664279945738,0.6897056868832222,0.6760720171520092,0.6893169737540813
TENX141,hest_var50,all==in_tissue,cp10k_panel,4390,50,0.5859527679563981,0.5806778293950549,0.5853482434570845,0.5800131269819171
TENX141,hest_var50,all==in_tissue,cp10k_full,4390,50,0.4511932786978813,0.4456179318352293,0.45063287770207705,0.4501690751692816
TENX141,trainHVG50,all==in_tissue,log1p_raw,4390,50,0.695111453388013,0.699047943764915,0.6948119830243387,0.698818113135006
TENX141,trainHVG50,all==in_tissue,cp10k_panel,4390,50,0.635682261010394,0.5944336692163293,0.6360367837237317,0.6189272693986545
TENX141,trainHVG50,all==in_tissue,cp10k_full,4390,50,0.48207235322526965,0.4528525357858285,0.48142799107451156,0.47057450075823715
TENX141,shared259,all==in_tissue,log1p_raw,4390,259,0.6864798802811313,0.6234531737300516,0.6862156644385704,0.6229070761372903
TENX141,shared259,all==in_tissue,cp10k_panel,4390,259,0.5444572392460157,0.47389282944399697,0.5501734742294152,0.48416424902295785
TENX141,shared259,all==in_tissue,cp10k_full,4390,259,0.4334995623154836,0.389730044179328,0.43598284548722493,0.40097013761082323
