sample,panel,spotset,caliber,rtech_med_mine,rtech_med_stnull,rtech_q25,rtech_q75,rnbr_med,rnbr_mean,method
NCBI681,hest_var50,all,log1p_raw,0.503795250495374,0.505048328894794,0.43455572352534133,0.6779681901536241,0.2775051872190769,0.3563536793260313,split_half_full
NCBI681,hest_var50,all,cp10k_panel,0.4654773846468493,0.457306983962945,0.40436568922432,0.6065238526021299,0.21800571526030285,0.3006394800868488,split_half_full
NCBI681,hest_var50,all,cp10k_full,0.4056009441330954,0.409104750006676,0.3449199928030633,0.6401157189921393,0.12638922419498239,0.24732803697882078,split_half_full
NCBI682,hest_var50,all,log1p_raw,0.7770395672446184,0.7751780891571938,0.6655664456291107,0.8446795747601167,0.5969754776766203,0.5530407003575654,split_half_full
NCBI682,hest_var50,all,cp10k_panel,0.6810909546240802,0.6809310290570576,0.6011868781497308,0.7322754059911659,0.4409775754862678,0.4197356238107415,split_half_full
NCBI682,hest_var50,all,cp10k_full,0.6821789444041103,0.6855363475853575,0.5623124350382389,0.7572534323233888,0.4041742610192894,0.3844904248493827,split_half_full
NCBI683,hest_var50,all,log1p_raw,0.4208942008836358,0.4149500512502196,0.340378694165857,0.5949425968896711,0.24529447141178085,0.3306919009470031,split_half_full
NCBI683,hest_var50,all,cp10k_panel,0.37625544833669156,0.37921603852661256,0.3151161989155936,0.5423547702630099,0.20484546569942877,0.2735988765828217,split_half_full
NCBI683,hest_var50,all,cp10k_full,0.3160248022708485,0.3188179593350989,0.22292160085134521,0.5147318695783987,0.13447412572742887,0.21196615004327818,split_half_full
NCBI684,hest_var50,all,log1p_raw,0.5658252645461633,0.5732501077470502,0.4552695542904668,0.752399176855187,0.42000539400920006,0.4574267325096816,split_half_full
NCBI684,hest_var50,all,cp10k_panel,0.5191163351743355,0.5190354968081904,0.43144243508838515,0.6449765387249583,0.3600231569223693,0.3974125218112959,split_half_full
NCBI684,hest_var50,all,cp10k_full,0.39773519186041506,0.39812915039457897,0.3170766138505812,0.6417639446635451,0.19087588517797446,0.27227172829569585,split_half_full
NCBI681,hest_var50,in_tissue,log1p_raw,0.47376597184848435,0.4723920423373129,0.4049713311287933,0.6719169143781356,0.2159934616039277,0.30807494073357405,split_half_full
NCBI681,hest_var50,in_tissue,cp10k_panel,0.4241227856434904,0.4250523008896339,0.37332694047221365,0.5839177154149147,0.15874542316684603,0.24687158891602037,split_half_full
NCBI681,hest_var50,in_tissue,cp10k_full,0.3823535771039498,0.3805967899239776,0.32846031120172164,0.6482684178454271,0.10604987394242454,0.23192088808249836,split_half_full
NCBI682,hest_var50,in_tissue,log1p_raw,0.7723122925758005,0.7717363619584139,0.659310392875557,0.8395388684258122,0.5859024434345628,0.5398175246757433,split_half_full
NCBI682,hest_var50,in_tissue,cp10k_panel,0.670177517181765,0.6706953616560009,0.5954306797629618,0.7173869851208236,0.40376898884116197,0.38856598596174813,split_half_full
NCBI682,hest_var50,in_tissue,cp10k_full,0.6680851906625114,0.6662813491367573,0.5603666802857343,0.7492572117356368,0.38644265241121406,0.36758578981154405,split_half_full
NCBI683,hest_var50,in_tissue,log1p_raw,0.3722856100435687,0.3775099993915623,0.30217786221896004,0.5687188496991433,0.19632733325156318,0.28038960341006897,split_half_full
NCBI683,hest_var50,in_tissue,cp10k_panel,0.3343626842356533,0.3261710378696769,0.2733319322407439,0.4966592015296567,0.1527281415640043,0.2210115222787166,split_half_full
NCBI683,hest_var50,in_tissue,cp10k_full,0.26894908234132664,0.2685917554514774,0.19861505106824706,0.5226477659210633,0.10610907526662516,0.20148990250897575,split_half_full
NCBI684,hest_var50,in_tissue,log1p_raw,0.46099609243232664,0.4562064246888242,0.39116058901401884,0.7151213251369197,0.26466008359038345,0.3286660734615257,split_half_full
