sample,panel,spotset,caliber,n_spots,n_genes,med_r_trainfit,mean_r_trainfit,med_r_cv,mean_r_cv
NCBI681,hest_var50,all,log1p_raw,4992,50,0.26323035780869625,0.2681057839126985,0.26232018674933677,0.27102452430817536
NCBI681,hest_var50,all,cp10k_panel,4992,50,0.2532484494224311,0.25867874298958127,0.2508580903297819,0.26266955050620866
NCBI681,hest_var50,all,cp10k_full,4992,50,0.1503168342646753,0.1529028960899192,0.14838361037130632,0.15513341098377287
NCBI681,hest_var50,in_tissue,log1p_raw,4553,50,0.24396081668557945,0.25196733903557067,0.24164632594716778,0.24862497080055493
NCBI681,hest_var50,in_tissue,cp10k_panel,4553,50,0.21382891822430905,0.2155133910663243,0.2119981256730169,0.21789411945306383
NCBI681,hest_var50,in_tissue,cp10k_full,4553,50,0.09777118795285751,0.09184396182025241,0.10442829618078114,0.12456386562441024
NCBI681,trainHVG50,all,log1p_raw,4992,50,0.3003677732220783,0.3369493119174457,0.2977437286724346,0.338960250333056
NCBI681,trainHVG50,all,cp10k_panel,4992,50,0.2458298841684326,0.2823608761371116,0.24486999044369745,0.28792635161753816
NCBI681,trainHVG50,all,cp10k_full,4992,50,0.17363766782291828,0.20726445419447362,0.17630833060894396,0.2155812504186492
NCBI681,trainHVG50,in_tissue,log1p_raw,4553,50,0.27854016761509187,0.3329442781680057,0.278088791973703,0.33104678675203403
NCBI681,trainHVG50,in_tissue,cp10k_panel,4553,50,0.18625805156715514,0.21591997762513876,0.18627181379746016,0.23124902045195359
NCBI681,trainHVG50,in_tissue,cp10k_full,4553,50,0.13123280768088375,0.17672840034571627,0.13047042317991656,0.18925415827330383
NCBI681,trainHVG737,all,log1p_raw,4992,737,0.3274719315992979,0.3453580265439884,0.32663065082579607,0.34456194078920516
NCBI681,trainHVG737,all,cp10k_panel,4992,737,0.25267588484953235,0.26632806403583703,0.2512445668639955,0.2672761520304765
NCBI681,trainHVG737,all,cp10k_full,4992,737,0.1800719520007925,0.18690255958329247,0.18019995102867561,0.19478754873769605
NCBI681,trainHVG737,in_tissue,log1p_raw,4553,737,0.3168852563749573,0.32737216655810325,0.31639481822447985,0.3253393962632419
NCBI681,trainHVG737,in_tissue,cp10k_panel,4553,737,0.19065368332664953,0.1868732731028193,0.19166380412131856,0.21442312299254845
NCBI681,trainHVG737,in_tissue,cp10k_full,4553,737,0.12904406360313558,0.12156204917534381,0.14784038454899853,0.17461534782840896
NCBI682,hest_var50,all,log1p_raw,4988,50,0.3782830449860991,0.3838368032470178,0.3776020267588863,0.3938544822261585
NCBI682,hest_var50,all,cp10k_panel,4988,50,0.35603986767823226,0.37292208820262085,0.3553723146328585,0.3821336217004037
