sample,spotset,panel,caliber,sd_loglib,pred_r_her2stfit,obs_med_r,resid,extrapolated
NCBI681,all,hest_var50,cp10k_panel,1.2343115879371187,0.38433095830178704,0.2532484494224311,-0.13108250887935596,0
NCBI681,all,hest_var50,log1p_raw,1.2343115879371187,0.38433095830178704,0.26323035780869625,-0.1211006004930908,0
NCBI681,all,trainHVG737,cp10k_panel,1.2343115879371187,0.38433095830178704,0.25267588484953235,-0.1316550734522547,0
NCBI681,all,trainHVG737,log1p_raw,1.2343115879371187,0.38433095830178704,0.3274719315992979,-0.05685902670248916,0
NCBI682,all,hest_var50,cp10k_panel,1.6417927175916527,0.5014228435821867,0.35603986767823226,-0.14538297590395444,1
NCBI682,all,hest_var50,log1p_raw,1.6417927175916527,0.5014228435821867,0.3782830449860991,-0.12313979859608759,1
NCBI682,all,trainHVG737,cp10k_panel,1.6417927175916527,0.5014228435821867,0.28733280611246087,-0.21409003746972582,1
NCBI682,all,trainHVG737,log1p_raw,1.6417927175916527,0.5014228435821867,0.34588494554286053,-0.15553789803932616,1
NCBI683,all,hest_var50,cp10k_panel,1.173685905822935,0.36690984380458713,0.20620233083786432,-0.1607075129667228,0
NCBI683,all,hest_var50,log1p_raw,1.173685905822935,0.36690984380458713,0.2264143960727082,-0.14049544773187894,0
NCBI683,all,trainHVG737,cp10k_panel,1.173685905822935,0.36690984380458713,0.23957613205854472,-0.1273337117460424,0
NCBI683,all,trainHVG737,log1p_raw,1.173685905822935,0.36690984380458713,0.2882864403934338,-0.07862340341115331,0
NCBI684,all,hest_var50,cp10k_panel,2.280545609498246,0.6849719085537604,0.3626332464236989,-0.32233866213006157,1
NCBI684,all,hest_var50,log1p_raw,2.280545609498246,0.6849719085537604,0.3676628256720074,-0.317309082881753,1
NCBI684,all,trainHVG737,cp10k_panel,2.280545609498246,0.6849719085537604,0.389146033562884,-0.2958258749908764,1
NCBI684,all,trainHVG737,log1p_raw,2.280545609498246,0.6849719085537604,0.4337245947235661,-0.25124731383019433,1
NCBI681,in_tissue,hest_var50,cp10k_panel,0.6085192438402727,0.20450617616656608,0.21382891822430905,0.009322742057742972,0
NCBI681,in_tissue,hest_var50,log1p_raw,0.6085192438402727,0.20450617616656608,0.24396081668557945,0.03945464051901337,0
NCBI681,in_tissue,trainHVG737,cp10k_panel,0.6085192438402727,0.20450617616656608,0.19065368332664953,-0.013852492839916547,0
NCBI681,in_tissue,trainHVG737,log1p_raw,0.6085192438402727,0.20450617616656608,0.3168852563749573,0.11237908020839121,0
NCBI682,in_tissue,hest_var50,cp10k_panel,1.297009011555567,0.4023473988175283,0.33385851232529107,-0.06848888649223722,0
NCBI682,in_tissue,hest_var50,log1p_raw,1.297009011555567,0.4023473988175283,0.37862571600574757,-0.02372168281178072,0
NCBI682,in_tissue,trainHVG737,cp10k_panel,1.297009011555567,0.4023473988175283,0.2426954425000046,-0.15965195631752369,0
NCBI682,in_tissue,trainHVG737,log1p_raw,1.297009011555567,0.4023473988175283,0.32915246517640506,-0.07319493364112323,0
NCBI683,in_tissue,hest_var50,cp10k_panel,0.7434205194288375,0.24327078030611893,0.16042026828526917,-0.08285051202084975,0
NCBI683,in_tissue,hest_var50,log1p_raw,0.7434205194288375,0.24327078030611893,0.19203321406686152,-0.051237566239257404,0
NCBI683,in_tissue,trainHVG737,cp10k_panel,0.7434205194288375,0.24327078030611893,0.18681787513737977,-0.05645290516873916,0
NCBI683,in_tissue,trainHVG737,log1p_raw,0.7434205194288375,0.24327078030611893,0.2475709831362753,0.004300202830156363,0
NCBI684,in_tissue,hest_var50,cp10k_panel,0.8008813579974017,0.2597824600579889,0.22644567965841983,-0.033336780399569055,0
NCBI684,in_tissue,hest_var50,log1p_raw,0.8008813579974017,0.2597824600579889,0.2775636042806495,0.01778114422266064,0
NCBI684,in_tissue,trainHVG737,cp10k_panel,0.8008813579974017,0.2597824600579889,0.22657034272380458,-0.033212117334184305,0
NCBI684,in_tissue,trainHVG737,log1p_raw,0.8008813579974017,0.2597824600579889,0.33319646748802406,0.07341400743003518,0
