sample,panel,spotset,caliber,med_r_real,med_r_sim,mean_r_real,mean_r_sim,sim_ge_real
NCBI681,hest_var50,all,log1p_raw,0.26323035780869625,0.44069959957614013,0.2681057839126985,0.45401026559568014,1
NCBI681,hest_var50,all,cp10k_panel,0.2532484494224311,0.40633768896492556,0.25867874298958127,0.41495485221694517,1
NCBI682,hest_var50,all,log1p_raw,0.3782830449860991,0.35543805476602675,0.3838368032470178,0.3876336885770415,0
NCBI682,hest_var50,all,cp10k_panel,0.35603986767823226,0.3298680828024891,0.37292208820262085,0.3694437519650834,0
NCBI683,hest_var50,all,log1p_raw,0.2264143960727082,0.3883058506561552,0.27574215995471585,0.4065429142277911,1
NCBI683,hest_var50,all,cp10k_panel,0.20620233083786432,0.3564545168044211,0.25375661192224536,0.36794621351593115,1
NCBI684,hest_var50,all,log1p_raw,0.3676628256720074,0.5255134322338034,0.37738859854359014,0.5363806584189793,1
NCBI684,hest_var50,all,cp10k_panel,0.3626332464236989,0.511580030794411,0.36579504129826546,0.5196867204730484,1
NCBI681,hest_var50,in_tissue,log1p_raw,0.24396081668557945,0.4275741664353113,0.25196733903557067,0.43553139062422636,1
NCBI681,hest_var50,in_tissue,cp10k_panel,0.21382891822430905,0.32851188565451817,0.2155133910663243,0.3188331798502862,1
NCBI682,hest_var50,in_tissue,log1p_raw,0.37862571600574757,0.3428468103599608,0.3750150506041634,0.37220377147206735,0
NCBI682,hest_var50,in_tissue,cp10k_panel,0.33385851232529107,0.30207195619455707,0.3373280673533956,0.33311403038324805,0
NCBI683,hest_var50,in_tissue,log1p_raw,0.19203321406686152,0.33737959118423133,0.2377698113859396,0.3504244890865532,1
NCBI683,hest_var50,in_tissue,cp10k_panel,0.16042026828526917,0.280657912989867,0.20123991790952658,0.2890527511706692,1
NCBI684,hest_var50,in_tissue,log1p_raw,0.2775636042806495,0.44552094077769056,0.30157992937296396,0.46426151640445146,1
NCBI684,hest_var50,in_tissue,cp10k_panel,0.22644567965841983,0.3616943892446611,0.25412346512615963,0.3643614680227436,1
NCBI681,trainHVG737,all,log1p_raw,0.3274719315992979,0.42574740606281164,0.3453580265439884,0.45729362470450813,1
NCBI681,trainHVG737,all,cp10k_panel,0.25267588484953235,0.34173108831038884,0.26632806403583703,0.3640406046522105,1
NCBI682,trainHVG737,all,log1p_raw,0.34588494554286053,0.4246471694500659,0.3669317432909586,0.45672043085901076,1
NCBI682,trainHVG737,all,cp10k_panel,0.28733280611246087,0.3499577805337864,0.3133802940260578,0.3943083000189035,1
NCBI683,trainHVG737,all,log1p_raw,0.2882864403934338,0.3737896234901632,0.3047925508307049,0.40444782527669965,1
NCBI683,trainHVG737,all,cp10k_panel,0.23957613205854472,0.30136123465259457,0.2517017039841543,0.32120403021003574,1
NCBI684,trainHVG737,all,log1p_raw,0.4337245947235661,0.5080205547017477,0.44576025510108025,0.5265751178495476,1
NCBI684,trainHVG737,all,cp10k_panel,0.389146033562884,0.44596835523851647,0.40068669718102046,0.46676195011522253,1
NCBI681,trainHVG737,in_tissue,log1p_raw,0.3168852563749573,0.40486617238715356,0.32737216655810325,0.44040410099064115,1
NCBI681,trainHVG737,in_tissue,cp10k_panel,0.19065368332664953,0.24873717568808512,0.1868732731028193,0.2539877463663149,1
NCBI682,trainHVG737,in_tissue,log1p_raw,0.32915246517640506,0.408169856727001,0.3485261460489824,0.44157583116716176,1
NCBI682,trainHVG737,in_tissue,cp10k_panel,0.2426954425000046,0.3044772000464819,0.2548560265091384,0.34721904656121466,1
NCBI683,trainHVG737,in_tissue,log1p_raw,0.2475709831362753,0.31656483553343695,0.2626970053263508,0.351701596638132,1
NCBI683,trainHVG737,in_tissue,cp10k_panel,0.18681787513737977,0.22204511816242428,0.1923828830315967,0.2428287606802271,1
NCBI684,trainHVG737,in_tissue,log1p_raw,0.33319646748802406,0.42254287104787525,0.359956081661698,0.45649827912824237,1
NCBI684,trainHVG737,in_tissue,cp10k_panel,0.22657034272380458,0.2823229310415675,0.24564376913881666,0.29385128169649216,1
