sample,panel,spotset,caliber,n_spots,n_genes,med_r_trainfit,mean_r_trainfit,med_r_cv,mean_r_cv
TENX116,hest_var50,all_eq_in_tissue,log1p_raw,3090,50,0.6777702818116302,0.6671596333175289,0.6771705908556904,0.6666333205159526
TENX116,hest_var50,all_eq_in_tissue,cp10k_panel,3090,50,0.7111191897846074,0.6914605846949423,0.710781102245191,0.6910459035985579
TENX116,hest_var50,all_eq_in_tissue,cp10k_full,3090,50,0.5912568777820979,0.5637232001490602,0.5908124215858344,0.5629612921561432
TENX116,trainHVG50,all_eq_in_tissue,log1p_raw,3090,50,0.6547100261542196,0.6417517003712656,0.6536377878221249,0.641066554108492
TENX116,trainHVG50,all_eq_in_tissue,cp10k_panel,3090,50,0.6833310702422177,0.6668263221215901,0.6821305767826528,0.6662529306730848
TENX116,trainHVG50,all_eq_in_tissue,cp10k_full,3090,50,0.5229109870607851,0.5353743290340539,0.522679533803668,0.5343430951443209
TENX116,trainHVGmax,all_eq_in_tissue,log1p_raw,3090,104,0.6861264936423521,0.6767545868149815,0.6856967967269549,0.6762386911211687
TENX116,trainHVGmax,all_eq_in_tissue,cp10k_panel,3090,104,0.7140941864641001,0.6941657433991679,0.7136805813668818,0.6937385913986651
TENX116,trainHVGmax,all_eq_in_tissue,cp10k_full,3090,104,0.5729372380471756,0.567080952274005,0.5724241127734898,0.5769481481024104
TENX126,hest_var50,all_eq_in_tissue,log1p_raw,2190,50,0.4092708102658055,0.45327476263478517,0.4083108320365314,0.4522027965168789
TENX126,hest_var50,all_eq_in_tissue,cp10k_panel,2190,50,0.44891100621697033,0.4844215692075204,0.446928424185858,0.4832359626883552
TENX126,hest_var50,all_eq_in_tissue,cp10k_full,2190,50,0.36998986692414115,0.4039810439352266,0.36934464086048224,0.40194106007041974
TENX126,trainHVG50,all_eq_in_tissue,log1p_raw,2190,50,0.44877939107832665,0.4592223524032732,0.44798212620620337,0.4577117398794258
TENX126,trainHVG50,all_eq_in_tissue,cp10k_panel,2190,50,0.49461766121095485,0.4904784994633593,0.493229862952563,0.4889147737783506
TENX126,trainHVG50,all_eq_in_tissue,cp10k_full,2190,50,0.39320809783374777,0.4089043507906833,0.39103664401046284,0.40714031953605606
TENX126,trainHVGmax,all_eq_in_tissue,log1p_raw,2190,105,0.44367438544755655,0.4576584786934417,0.44190943677649586,0.45623777566020773
TENX126,trainHVGmax,all_eq_in_tissue,cp10k_panel,2190,105,0.47931418313223745,0.4838099215069908,0.47925882551638804,0.4825210158522022
TENX126,trainHVGmax,all_eq_in_tissue,cp10k_full,2190,105,0.3945817573847704,0.4072618621671268,0.3929987281863419,0.40522816856457206
TENX140,hest_var50,all_eq_in_tissue,log1p_raw,4513,50,0.3956622822384446,0.45466376134597114,0.3952447958388947,0.4542098903997412
TENX140,hest_var50,all_eq_in_tissue,cp10k_panel,4513,50,0.33245684656656826,0.38159986594060363,0.33186784616810117,0.38052703153657846
TENX140,hest_var50,all_eq_in_tissue,cp10k_full,4513,50,0.27320507800110627,0.32627004077867616,0.2714281680830339,0.32493743584640083
TENX140,trainHVG50,all_eq_in_tissue,log1p_raw,4513,50,0.3851684251254461,0.4473877262101999,0.3834910064839004,0.44587783719846746
TENX140,trainHVG50,all_eq_in_tissue,cp10k_panel,4513,50,0.3530583809546458,0.39793423037022263,0.35220236328215426,0.3970441460203422
TENX140,trainHVG50,all_eq_in_tissue,cp10k_full,4513,50,0.26926699050463787,0.31732251479136986,0.26785727693159533,0.31571598895608477
TENX140,trainHVGmax,all_eq_in_tissue,log1p_raw,4513,109,0.3934542886586185,0.45018189143467013,0.39316122746059773,0.44945637744033534
TENX140,trainHVGmax,all_eq_in_tissue,cp10k_panel,4513,109,0.3381999373219517,0.37741340802182916,0.33686145292314434,0.37763017336212035
TENX140,trainHVGmax,all_eq_in_tissue,cp10k_full,4513,109,0.27076179586206794,0.315002030234196,0.2699646276573829,0.3169197232508745
