sample,spotset,panel,caliber,sd_loglib,pred_r_her2stfit,obs_med_r,resid,extrapolated
TENX116,all_eq_in_tissue,hest_var50,cp10k_panel,4.106332863367695,1.2096216557892854,0.7111191897846074,-0.49850246600467796,1
TENX116,all_eq_in_tissue,hest_var50,log1p_raw,4.106332863367695,1.2096216557892854,0.6777702818116302,-0.5318513739776551,1
TENX116,all_eq_in_tissue,trainHVGmax,cp10k_panel,4.106332863367695,1.2096216557892854,0.7140941864641001,-0.4955274693251853,1
TENX116,all_eq_in_tissue,trainHVGmax,log1p_raw,4.106332863367695,1.2096216557892854,0.6861264936423521,-0.5234951621469333,1
TENX126,all_eq_in_tissue,hest_var50,cp10k_panel,2.316302759481985,0.6952469171348933,0.44891100621697033,-0.24633591091792295,1
TENX126,all_eq_in_tissue,hest_var50,log1p_raw,2.316302759481985,0.6952469171348933,0.4092708102658055,-0.2859761068690878,1
TENX126,all_eq_in_tissue,trainHVGmax,cp10k_panel,2.316302759481985,0.6952469171348933,0.47931418313223745,-0.21593273400265584,1
TENX126,all_eq_in_tissue,trainHVGmax,log1p_raw,2.316302759481985,0.6952469171348933,0.44367438544755655,-0.25157253168733673,1
TENX140,all_eq_in_tissue,hest_var50,cp10k_panel,2.1012240803064217,0.6334429066040592,0.33245684656656826,-0.30098606003749095,1
TENX140,all_eq_in_tissue,hest_var50,log1p_raw,2.1012240803064217,0.6334429066040592,0.3956622822384446,-0.23778062436561465,1
TENX140,all_eq_in_tissue,trainHVGmax,cp10k_panel,2.1012240803064217,0.6334429066040592,0.3381999373219517,-0.2952429692821075,1
TENX140,all_eq_in_tissue,trainHVGmax,log1p_raw,2.1012240803064217,0.6334429066040592,0.3934542886586185,-0.23998861794544074,1
