sample,panel,spotset,caliber,rtech_med_mine,rtech_med_stnull,rtech_q25,rtech_q75,rnbr_med,rnbr_mean,method
MEND139,hest_var50,all,log1p_raw,0.5551263417213821,0.5529562128096899,0.4975777931397694,0.651450901655474,0.2987329268370581,0.3145842470531329,split_half_full
MEND139,hest_var50,all,cp10k_panel,0.4467061106039143,0.43734968915662964,0.38364669914336325,0.5161034662123218,0.1653980022712452,0.1782571077363795,split_half_full
MEND139,hest_var50,all,cp10k_full,0.39519345302461284,0.3953272534054337,0.32053288753456566,0.47930986995903413,0.13454773604954656,0.17078917470383473,split_half_full
MEND140,hest_var50,all,log1p_raw,0.6843832849828593,0.6832385191139949,0.6214106602077675,0.8387426769225006,0.44370720110426376,0.48503662712388296,split_half_full
MEND140,hest_var50,all,cp10k_panel,0.5260862211147244,0.5264229593691485,0.47255251974533485,0.6559390386852706,0.23787717096618483,0.26238549318958193,split_half_full
MEND140,hest_var50,all,cp10k_full,0.43938727640316355,0.44028070500252814,0.3462627028104475,0.6222066259688424,0.18476662662166699,0.23771066406835065,split_half_full
MEND141,hest_var50,all,log1p_raw,0.7178417678781216,0.716345613289881,0.6705218353632061,0.8333106952369316,0.45222270555324817,0.49112205648883994,split_half_full
MEND141,hest_var50,all,cp10k_panel,0.5380801374656066,0.5415653035123007,0.4965161889785866,0.6143160734815604,0.2289043818749027,0.25189777778566,split_half_full
MEND141,hest_var50,all,cp10k_full,0.46729869913934996,0.4687315670519096,0.4075837644612028,0.5801173751559556,0.1550286587416053,0.194440407483773,split_half_full
MEND142,hest_var50,all,log1p_raw,0.5556937931339525,0.5582649550469243,0.49150537316896914,0.7048567014731366,0.32787233851768177,0.3584816497404202,split_half_full
MEND142,hest_var50,all,cp10k_panel,0.4458100226772413,0.4390926204167026,0.40679712494068504,0.5332951514452482,0.19026338875481494,0.2028219300112381,split_half_full
MEND142,hest_var50,all,cp10k_full,0.38643552819493976,0.3877921962991013,0.3528066030000757,0.5387740950141385,0.1308803064599383,0.19206068399528653,split_half_full
MEND143,hest_var50,all,log1p_raw,0.4327878998534676,0.4397589826999714,0.3897884189422719,0.5659339202600719,0.17990929488877788,0.23800471292653838,split_half_full
MEND143,hest_var50,all,cp10k_panel,0.34594300644610465,0.3389082963191191,0.30325526709315526,0.40087045198393834,0.09963578058249777,0.12008998453178027,split_half_full
MEND143,hest_var50,all,cp10k_full,0.30179060650729145,0.30023708272246896,0.24054498894402782,0.3703248836059376,0.06004089022671067,0.10599520978697759,split_half_full
MEND144,hest_var50,all,log1p_raw,0.4126480590289397,0.40624951921706165,0.350337685516251,0.4957008740879014,0.19862834697363096,0.23935698530866223,split_half_full
MEND144,hest_var50,all,cp10k_panel,0.34995894713795955,0.3485661934438957,0.303439820021419,0.43106572983087355,0.13400473677438832,0.15167548578346593,split_half_full
MEND144,hest_var50,all,cp10k_full,0.2875439813233555,0.2914113983187099,0.2501419701565831,0.36457433309028286,0.0791358505960781,0.10861797411832022,split_half_full
MEND145,hest_var50,all,log1p_raw,0.7107434117871181,0.7079852059002032,0.6551039502748988,0.7961641105415634,0.558050385304546,0.5845524522920384,split_half_full
MEND145,hest_var50,all,cp10k_panel,0.5904799764822138,0.5894037380953225,0.5305163844789724,0.6544724602792185,0.3487383137232798,0.3736774892487517,split_half_full
MEND145,hest_var50,all,cp10k_full,0.49416618168502,0.49373405634133966,0.4213886591056014,0.5612244254755894,0.2267969978450509,0.2725755951027502,split_half_full
MEND146,hest_var50,all,log1p_raw,0.6825217982139922,0.6798956434993741,0.5613206558883583,0.7971690755581897,0.45390573069252665,0.4741752246593588,split_half_full
MEND146,hest_var50,all,cp10k_panel,0.4833077973287175,0.49009024364970233,0.4276891512875391,0.6015564597539,0.22672022476196513,0.2602287933639743,split_half_full
MEND146,hest_var50,all,cp10k_full,0.4204981559753101,0.4171057385917495,0.36090813963489404,0.5752777923790289,0.15369113115981792,0.21354961529088773,split_half_full
MEND147,hest_var50,all,log1p_raw,0.6261626252356013,0.6298638145747061,0.5334989967604259,0.7157138534309674,0.36071792347836396,0.3772930873436637,split_half_full
MEND147,hest_var50,all,cp10k_panel,0.4915143996715292,0.496832670797577,0.42391685973649323,0.5710168881217733,0.24105422561124412,0.25579122817974487,split_half_full
MEND147,hest_var50,all,cp10k_full,0.4145812146091703,0.41171842067782205,0.33281198774429915,0.5404262592307216,0.18216790054715598,0.20905993389236424,split_half_full
MEND148,hest_var50,all,log1p_raw,0.615123365554939,0.6046264622157729,0.5405761524553788,0.707807710295701,0.35305152621684865,0.3682458460852269,split_half_full
MEND148,hest_var50,all,cp10k_panel,0.4716955236940099,0.4730417383827108,0.39173270640750957,0.5477838422236866,0.19228746160027205,0.21427410265029065,split_half_full
MEND148,hest_var50,all,cp10k_full,0.37153028822660517,0.3689852816524897,0.2855008021230458,0.46024639620322716,0.11304153915622114,0.14768310373845478,split_half_full
MEND149,hest_var50,all,log1p_raw,0.6055665840460218,0.6127043533390668,0.5233848361794444,0.7623382712200129,0.34433187783985275,0.3794736383031532,split_half_full
MEND149,hest_var50,all,cp10k_panel,0.47787992839731375,0.47029894894963054,0.3974378700246604,0.5495265069573687,0.18021039711504389,0.20333843697565118,split_half_full
MEND149,hest_var50,all,cp10k_full,0.42037760513537853,0.42262268046880336,0.3432885876328032,0.5304836098984519,0.140827714099784,0.1889018559507814,split_half_full
MEND150,hest_var50,all,log1p_raw,0.7542962204417867,0.7528714774122658,0.6880529250658725,0.8540020121665328,0.5010204501137063,0.5071699224572993,split_half_full
MEND150,hest_var50,all,cp10k_panel,0.5875290409055567,0.5861925639601429,0.5328855915486016,0.7002894741769086,0.26865198587023154,0.2879138093216147,split_half_full
MEND150,hest_var50,all,cp10k_full,0.5134667183814239,0.5098344225278905,0.45876186078024817,0.6815203338926688,0.22945593423208563,0.29496889524421643,split_half_full
MEND151,hest_var50,all,log1p_raw,0.6697447170680968,0.6709022233086839,0.563173993583172,0.7724988192115098,0.34228722135837975,0.37135791375766614,split_half_full
MEND151,hest_var50,all,cp10k_panel,0.5180884675340138,0.5189692700471225,0.4548403691801495,0.646977277510691,0.20561152569059304,0.23177990204751808,split_half_full
MEND151,hest_var50,all,cp10k_full,0.4738413928423115,0.4839069521533984,0.38769540031997407,0.6509380633834011,0.16433030379293273,0.2224186298009111,split_half_full
MEND152,hest_var50,all,log1p_raw,0.6171467058315723,0.6183942369951845,0.5050419672784658,0.7377666814920951,0.4230193308581919,0.440618506601309,split_half_full
MEND152,hest_var50,all,cp10k_panel,0.5143545860592496,0.5146371309316646,0.42605975500519655,0.5855285360634339,0.27707502615358093,0.27982147578044936,split_half_full
MEND152,hest_var50,all,cp10k_full,0.4353453880077898,0.431738055583921,0.34009521087427214,0.563248939270462,0.19744762906247357,0.21546224324594376,split_half_full
MEND153,hest_var50,all,log1p_raw,0.6878801921386103,0.6866678431194871,0.5690290296569506,0.7915815354342761,0.39436056422337884,0.4110498923890144,split_half_full
MEND153,hest_var50,all,cp10k_panel,0.5679164018292286,0.5700618056258744,0.4791775733829661,0.6946508766907988,0.31296109286606577,0.33175739986152813,split_half_full
MEND153,hest_var50,all,cp10k_full,0.479702000127455,0.48383683200024374,0.3959889213728907,0.6445541505778831,0.24337104508735063,0.26591982852979235,split_half_full
MEND154,hest_var50,all,log1p_raw,0.8335544428641236,0.8362115786734823,0.8045348603472052,0.8838891514370129,0.568010822580576,0.5890677117231236,split_half_full
MEND154,hest_var50,all,cp10k_panel,0.6676746822899675,0.664943646405764,0.6313422960159003,0.7673459162065139,0.39169408155961993,0.429176544639573,split_half_full
MEND154,hest_var50,all,cp10k_full,0.5774587996011991,0.5664873000386523,0.5052828017579641,0.7165848732563219,0.29890466049426645,0.3561946458498251,split_half_full
MEND156,hest_var50,all,log1p_raw,0.9346064577384224,0.9349483274406076,0.8901747842269375,0.9620368256511298,0.8397526139616385,0.8156451949104003,split_half_full
MEND156,hest_var50,all,cp10k_panel,0.8039559937936827,0.8038537440976354,0.7455636460228576,0.8541201268648841,0.6771424003777706,0.679752128690025,split_half_full
MEND156,hest_var50,all,cp10k_full,0.7740306700138503,0.7747671523008126,0.6803948094945436,0.8509693320277663,0.6170042560610925,0.6143302836018877,split_half_full
MEND157,hest_var50,all,log1p_raw,0.8565098166336678,0.8560443182874533,0.800752031818857,0.8974505116151393,0.6344690760891376,0.6321517922147234,split_half_full
MEND157,hest_var50,all,cp10k_panel,0.7090465384051108,0.7097520066487668,0.6644522663771922,0.765160277507517,0.46467147534356784,0.4926994042246594,split_half_full
MEND157,hest_var50,all,cp10k_full,0.6275968392772773,0.6247847057360107,0.5543180511741735,0.6935998024091831,0.37241832734993674,0.4059940998059077,split_half_full
MEND158,hest_var50,all,log1p_raw,0.8110009866982859,0.8097535515994116,0.7322786102041682,0.8846141906213998,0.638200415483808,0.6322333327527686,split_half_full
MEND158,hest_var50,all,cp10k_panel,0.7126398018558049,0.7133253282256726,0.6495108022367455,0.7771182240581371,0.5190159211127185,0.5264067789419046,split_half_full
MEND158,hest_var50,all,cp10k_full,0.6511177930432903,0.6547469851839433,0.5573644961962281,0.732591746144845,0.41719213597241694,0.44191082893841693,split_half_full
MEND159,hest_var50,all,log1p_raw,0.7510298948558567,0.7525466873419838,0.6605246713992013,0.8750238311549724,0.4950501678388806,0.5002025236796278,split_half_full
MEND159,hest_var50,all,cp10k_panel,0.5859633315995527,0.5839254987371609,0.5002622516321167,0.6947779619795147,0.29801774243023016,0.3334872430968025,split_half_full
MEND159,hest_var50,all,cp10k_full,0.4750642292747017,0.47406990180598063,0.4029555192945643,0.6182581635235522,0.2101572004271019,0.26470690971116256,split_half_full
MEND160,hest_var50,all,log1p_raw,0.7357665961199444,0.7335813553952208,0.6223943551964207,0.8378684518339677,0.45226874838246645,0.4703710216817348,split_half_full
MEND160,hest_var50,all,cp10k_panel,0.6099456501643513,0.614704680110391,0.5277776909299051,0.7104601603648871,0.3316595392509788,0.3722313109886794,split_half_full
MEND160,hest_var50,all,cp10k_full,0.5501791891266048,0.5489302511111507,0.46122841406047216,0.6862345959403643,0.26593801623163593,0.32908334082634794,split_half_full
MEND161,hest_var50,all,log1p_raw,0.8972961735176368,0.8980981428765953,0.8388373510226244,0.9275612048959173,0.7115310612300983,0.7034564202156416,split_half_full
MEND161,hest_var50,all,cp10k_panel,0.8047693092606568,0.8024296605987957,0.7453616743508289,0.8513015935987877,0.6526642174136101,0.6507610419035282,split_half_full
MEND161,hest_var50,all,cp10k_full,0.7021173790478547,0.7018814453805559,0.6431225575185441,0.7963334430140703,0.5165675409305137,0.5209122965464382,split_half_full
MEND162,hest_var50,all,log1p_raw,0.691141278075387,0.6929956575801053,0.6157144079364686,0.7737112135484719,0.506244544202599,0.5259309757332246,split_half_full
MEND162,hest_var50,all,cp10k_panel,0.5682551492381605,0.5637545785908991,0.5028844208140231,0.6430045438235557,0.34505120641941267,0.37698693581739645,split_half_full
MEND162,hest_var50,all,cp10k_full,0.4676273479688029,0.4684349567906245,0.389777290157005,0.5620457364696009,0.22082439588679897,0.26838268611777494,split_half_full
MEND139,trainHVG737,all,log1p_raw,0.537123448383053,0.5362470421971269,0.44536797095956204,0.6617287537454731,0.27505419159929084,0.3150265110736393,split_half_full
MEND139,trainHVG737,all,cp10k_panel,0.3827154981719621,0.38388275008553163,0.32000400697175013,0.4799575369336904,0.13379806903421113,0.16629406145911355,split_half_full
MEND139,trainHVG737,all,cp10k_full,0.3630382284596309,0.36344282854998416,0.29867024143299664,0.47032849832763174,0.1224485731194663,0.16610556730421325,split_half_full
MEND140,trainHVG737,all,log1p_raw,0.6913766048876959,0.6890501200136034,0.6000256866305805,0.7987866823451724,0.4450576063012585,0.4679085770765072,split_half_full
MEND140,trainHVG737,all,cp10k_panel,0.4569752356570121,0.45654751592834486,0.3825501739136401,0.5680117377113474,0.16513362175137197,0.20711525259269878,split_half_full
MEND140,trainHVG737,all,cp10k_full,0.4254966104503995,0.4235490858120033,0.34513178113024345,0.5571270378040286,0.1449291901440418,0.19898984840224263,split_half_full
MEND141,trainHVG737,all,log1p_raw,0.7113083003948418,0.7111529741930954,0.6300495538897464,0.805475949688814,0.45405941353893864,0.480588339293167,split_half_full
MEND141,trainHVG737,all,cp10k_panel,0.48427690335345636,0.483890801507908,0.4211895543697625,0.5748998222466079,0.19507556974153847,0.2272130902752163,split_half_full
MEND141,trainHVG737,all,cp10k_full,0.45733472471939435,0.4575483844267808,0.3895283212915178,0.5548285115562809,0.16421447722397178,0.20425103821525187,split_half_full
MEND142,trainHVG737,all,log1p_raw,0.552515180097618,0.5539230984005449,0.4644727362910379,0.679176232990485,0.3168547210728097,0.3552749450363697,split_half_full
MEND142,trainHVG737,all,cp10k_panel,0.39682007898634475,0.3966507277569595,0.3302893452949091,0.4991818436550975,0.15379160996817998,0.19067780092560602,split_half_full
MEND142,trainHVG737,all,cp10k_full,0.37903234254377305,0.38088724504847926,0.30597285029018645,0.4921208598959502,0.1412336888626793,0.1896174370460346,split_half_full
MEND143,trainHVG737,all,log1p_raw,0.44876722788982637,0.44988467709607144,0.3712591421120624,0.5775254892998816,0.2056319103711546,0.2551887561092169,split_half_full
MEND143,trainHVG737,all,cp10k_panel,0.30380162955219087,0.3053133195482379,0.249765892034086,0.38761770599284634,0.07791038947370543,0.11738711374932433,split_half_full
MEND143,trainHVG737,all,cp10k_full,0.28209255795556426,0.2830507954145136,0.22795098429011443,0.3744810073727549,0.0643929411653525,0.11027298768927692,split_half_full
MEND144,trainHVG737,all,log1p_raw,0.41375366145954384,0.41469663784447974,0.34117083783695956,0.5468391644526734,0.2164616633615307,0.28313688254172886,split_half_full
MEND144,trainHVG737,all,cp10k_panel,0.32335431558294186,0.31995965326187753,0.26365533992691553,0.4226928446926367,0.11636509364138732,0.15478665039022263,split_half_full
MEND144,trainHVG737,all,cp10k_full,0.30162098759667655,0.2983275894088865,0.24172073260074248,0.3978394459947075,0.09016116976443952,0.1353828830974852,split_half_full
