sample,patient,fold,spot_set,n_spots,lib_median,lib_p10,lib_p90,sd_loglib_fullgenome,cv_lib,moran_I_loglib_k6,zero_frac_fullgenome,genes_detected_median,sd_x_moran,hest_var50_zero_frac,hest_var50_le1_frac,hest_var50_panel_lib_median,hest_var50_panel_lib_zero_spots,trainHVG50_zero_frac,trainHVG50_le1_frac,trainHVG50_panel_lib_median,trainHVG50_panel_lib_zero_spots,trainHVG737_zero_frac,trainHVG737_le1_frac,trainHVG737_panel_lib_median,trainHVG737_panel_lib_zero_spots,pred_libnull_medr_her2fit,extrapolated_beyond_her2_range
MEND139,patient 2,1,all,3749,7962.0,4007.8,13493.000000000002,0.5194463729858398,0.4496005177497864,0.5255575859173711,0.9129722405470687,2940.0,0.27299898179997234,0.3398559615897573,0.5928194185116031,142.0,1,0.4105788210189384,0.6486796479061083,139.0,1,0.31557433859341233,0.5578218415910458,2415.0,0,0.17891060960738453,False
MEND140,patient 2,1,all,1935,6572.0,3216.2,17759.000000000004,0.672135055065155,0.6885254979133606,0.6337722040572633,0.9139128849638414,2558.0,0.42598051527279335,0.40195348837209305,0.6441343669250646,111.0,1,0.4274832041343669,0.6547906976744186,111.0,0,0.3972119669446986,0.6267969525171886,1865.0,0,0.22278652028036278,False
MEND141,patient 2,1,all,1794,4178.0,1441.8000000000002,10495.600000000002,0.8834772706031799,0.9897583723068237,0.7781056848103077,0.9379906703941479,1875.5,0.6874386866570289,0.5630992196209588,0.7798550724637681,61.0,1,0.5571794871794872,0.7579152731326645,63.0,0,0.5550016714844749,0.7593107735872174,1066.0,0,0.28351683797056887,False
MEND142,patient 2,1,all,2997,5165.0,2515.6,8967.6,0.5620660781860352,0.570258617401123,0.6121024393816532,0.9302290841142293,2308.0,0.3440420175513511,0.511398064731398,0.7622689356022689,71.0,0,0.5278878878878879,0.7440373707040374,79.0,0,0.5052311470221919,0.7367340203161099,1289.0,0,0.1911576101892683,False
MEND143,patient 2,1,all,3816,4117.5,2550.5,6410.0,0.46610742807388306,0.5056557655334473,0.5600395560197221,0.9459828758342019,1731.0,0.26103859707599203,0.6150995807127883,0.8404245283018867,59.0,1,0.601933962264151,0.7946698113207548,74.0,1,0.5888656346625932,0.7955775724010025,1185.0,0,0.16358337807667922,False
MEND144,patient 2,1,all,4074,3562.0,1159.9,6102.400000000001,0.7425549626350403,0.537507951259613,0.807823674764262,0.9537474003872483,1551.0,0.5998534786302775,0.670721649484536,0.873627884143348,53.0,9,0.6650122729504173,0.8378546882670594,58.0,6,0.6432364885973133,0.8300331253093216,983.5,0,0.24302205792506315,False
MEND145,patient 2,1,all,1418,3045.0,692.2,11335.5,1.0760260820388794,1.0235830545425415,0.7828624918415186,0.9447094557330543,1489.0,0.8423804598714234,0.6291396332863187,0.8144005641748943,43.0,8,0.6498871650211565,0.8142172073342736,39.0,6,0.6251605161779256,0.8028373327617586,729.5,0,0.3388467703250336,False
MEND146,patient 2,1,all,1964,2173.5,700.7,5712.6,1.0483907461166382,1.0790324211120605,0.7873424338512545,0.9610382070785985,1161.0,0.8254425216746065,0.6982281059063137,0.8734928716904277,32.0,40,0.6828411405295316,0.8486761710794297,31.0,34,0.6918736718186516,0.858466646585624,532.0,0,0.3309056085189991,False
MEND147,patient 2,1,all,2335,3391.0,1051.6,8468.999999999998,0.9425665736198425,0.7691160440444946,0.7164807308675242,0.9468210114947754,1664.0,0.6753307875584428,0.5547066381156317,0.7859271948608137,51.0,12,0.5482226980728051,0.7665096359743041,56.0,15,0.5486220832764347,0.7675267811226135,926.0,0,0.30049646570447575,False
MEND148,patient 2,1,all,1633,944.0,312.0,3453.5999999999995,1.306626796722412,1.460667371749878,0.8120786853158619,0.9740776811029391,650.0,1.0610837712808123,0.8129822412737293,0.9332271892222903,11.0,77,0.8106429883649724,0.9241641151255359,11.0,87,0.8064063693113789,0.924701770887255,194.0,4,0.40511112090292284,False
MEND149,patient 2,1,all,1851,3988.0,2055.0,7747.0,0.6596295833587646,0.6734734773635864,0.4818667292412649,0.9371144801389485,1969.0,0.3178535498438662,0.6103511615343058,0.8261696380334954,48.0,8,0.5937871420853593,0.7894219340896812,56.0,2,0.566189239451776,0.7774872506481882,893.0,0,0.2191930059999263,False
MEND150,patient 2,1,all,1751,7919.0,3367.0,20743.0,0.7276104688644409,0.6658981442451477,0.5593354912903581,0.899110835824406,3144.0,0.40697835907029983,0.3488749286122216,0.5654254711593375,138.0,0,0.3357395773843518,0.5467732724157625,151.0,0,0.3317747486026593,0.5502612579592046,2254.0,0,0.2387276775898456,False
MEND151,patient 2,1,all,2600,4086.0,1850.4,9928.099999999995,0.6783175468444824,0.6772427558898926,0.5362732759350268,0.9386793281558921,1878.5,0.3637635729705016,0.5151692307692308,0.7384538461538461,70.0,1,0.47007692307692306,0.6831538461538461,97.0,0,0.49110165953449536,0.7146232126082872,1224.0,0,0.22456309240969247,False
MEND152,patient 2,1,all,3082,5427.0,1185.2,11594.2,1.003311038017273,0.6617574691772461,0.7041592454311851,0.9457531760828874,1824.0,0.706490743463022,0.4481181051265412,0.6706099935107074,124.0,17,0.47408176508760547,0.6719857235561324,177.5,13,0.4942168691672309,0.7126396804837825,2056.5,0,0.3179517129270243,False
