sample,fold,panel,spotset,caliber,n_spots,n_genes,med_r_trainfit,mean_r_trainfit,med_r_cv,mean_r_cv
MEND162,0,hest_var50,all,log1p_raw,2609,50,0.4748456847122421,0.49348665388804747,0.4709059157620967,0.49140235712043157
MEND161,0,hest_var50,all,log1p_raw,2775,50,0.6840407431656207,0.6862578074597707,0.683817668598522,0.6858267593924677
MEND160,0,hest_var50,all,log1p_raw,4079,50,0.42566486577992996,0.4423521573079977,0.42374992173307907,0.4412224606211111
MEND159,0,hest_var50,all,log1p_raw,3856,50,0.45669485946176647,0.4810462242033827,0.4552026636369121,0.47976488215135277
MEND158,0,hest_var50,all,log1p_raw,3092,50,0.5214203814396754,0.5290072304226948,0.5201794126402908,0.5279753378814566
MEND157,0,hest_var50,all,log1p_raw,3190,50,0.5427766668834453,0.5598987953475063,0.5418106956829718,0.5592733421544108
MEND156,0,hest_var50,all,log1p_raw,3554,50,0.6741785604124417,0.6814681861718107,0.6735652990570454,0.6810609976269306
MEND154,0,hest_var50,all,log1p_raw,2736,50,0.5572363193411287,0.5689014700472762,0.5555942598584407,0.5673074856582514
MEND162,0,hest_var50,all,cp10k_panel,2609,50,0.4022543942299167,0.4186103071689049,0.4008075678860822,0.41668660889456516
MEND161,0,hest_var50,all,cp10k_panel,2775,50,0.6818549053202401,0.6782487853384741,0.6812375802868954,0.677731889492145
MEND160,0,hest_var50,all,cp10k_panel,4079,50,0.3830515071170893,0.4046372790652834,0.38219883453054593,0.4037676569655953
MEND159,0,hest_var50,all,cp10k_panel,3856,50,0.3835338590498272,0.4145751102541032,0.38279222424771536,0.41371966627839035
MEND158,0,hest_var50,all,cp10k_panel,3092,50,0.5047310746350198,0.5141420075159866,0.5044880773282547,0.5133073863762294
MEND157,0,hest_var50,all,cp10k_panel,3190,50,0.5010638381798208,0.5186776712668997,0.5003171764899443,0.5178851292359504
MEND156,0,hest_var50,all,cp10k_panel,3554,50,0.678180113417019,0.6722390087793199,0.6778345820367299,0.6718853569987242
MEND154,0,hest_var50,all,cp10k_panel,2736,50,0.4456879025198206,0.4683063314720949,0.44461595087039174,0.4673124593083381
MEND162,0,hest_var50,all,cp10k_full,2609,50,0.29626782781066296,0.3176251625641937,0.29387575151789536,0.31505187801953294
MEND161,0,hest_var50,all,cp10k_full,2775,50,0.5394373389220989,0.5534080766197615,0.5382023785600787,0.5525671749812658
MEND160,0,hest_var50,all,cp10k_full,4079,50,0.32309399842110886,0.34518553716264294,0.3213966429641416,0.34415662174271683
