fold,panel,caliber,n_spots,n_genes,mean_r,med_r,n_nan
0,hest_var50,log1p_raw,25891,50,0.5860773014737439,0.581281626891778,0
0,hest_var50,cp10k_panel,25891,50,0.5241087828890056,0.5195511187882663,0
0,hest_var50,cp10k_full,25891,50,0.4229192805293496,0.41174940782396946,0
0,trainHVG50,log1p_raw,25891,50,0.47989716509842334,0.48285694686033365,0
0,trainHVG50,cp10k_panel,25891,50,0.41344760216914933,0.43282219442872616,0
0,trainHVG50,cp10k_full,25891,50,0.2857455613622999,0.32735858221348235,0
0,trainHVG737,log1p_raw,25891,737,0.552299309517731,0.5486235728283124,0
0,trainHVG737,cp10k_panel,25891,737,0.392996622664806,0.40134340691623394,0
0,trainHVG737,cp10k_full,25891,737,0.35075324721955337,0.3525188347503818,0
1,hest_var50,log1p_raw,36819,50,0.4940713993033387,0.49271156095735846,0
1,hest_var50,cp10k_panel,36819,50,0.35612295573399166,0.36312064017695356,0
1,hest_var50,cp10k_full,36819,50,0.27002551172613154,0.26886839777903637,0
1,trainHVG50,log1p_raw,36819,50,0.45032631039419324,0.4485579946459547,0
1,trainHVG50,cp10k_panel,36819,50,0.3189030969064154,0.33540743657342853,0
1,trainHVG50,cp10k_full,36819,50,0.2414308807304212,0.24594970894110477,0
1,trainHVG737,log1p_raw,36819,737,0.4981949871848231,0.48302713302193273,0
1,trainHVG737,cp10k_panel,36819,737,0.2942650068416409,0.2944753320713143,0
1,trainHVG737,cp10k_full,36819,737,0.2665021890359377,0.2623973084502536,0
