sample,fold,panel,spotset,caliber,med_r_real,med_r_sim,mean_r_real,mean_r_sim,sim_ge_real
MEND162,0,hest_var50,all,log1p_raw,0.4748456847122421,0.5135730061292054,0.49348665388804747,0.5353031966291343,1
MEND161,0,hest_var50,all,log1p_raw,0.6840407431656207,0.7180697837896091,0.6862578074597707,0.7186220728432903,1
MEND160,0,hest_var50,all,log1p_raw,0.42566486577992996,0.4421691656443722,0.4423521573079977,0.4612382736375858,1
MEND159,0,hest_var50,all,log1p_raw,0.45669485946176647,0.465662664949813,0.4810462242033827,0.48016484779053775,1
MEND158,0,hest_var50,all,log1p_raw,0.5214203814396754,0.5403539881839312,0.5290072304226948,0.554399984507383,1
MEND157,0,hest_var50,all,log1p_raw,0.5427766668834453,0.586916188593628,0.5598987953475063,0.6029617418445248,1
MEND156,0,hest_var50,all,log1p_raw,0.6741785604124417,0.7238622804574827,0.6814681861718107,0.7263747472411562,1
MEND154,0,hest_var50,all,log1p_raw,0.5572363193411287,0.6045036080638476,0.5689014700472762,0.6098588291429075,1
MEND162,0,hest_var50,all,cp10k_panel,0.4022543942299167,0.4281016837054878,0.4186103071689049,0.4334777191974961,1
MEND161,0,hest_var50,all,cp10k_panel,0.6818549053202401,0.7154722742770689,0.6782487853384741,0.7075743628505488,1
MEND160,0,hest_var50,all,cp10k_panel,0.3830515071170893,0.3955513200490819,0.4046372790652834,0.4184862671209329,1
MEND159,0,hest_var50,all,cp10k_panel,0.3835338590498272,0.4005969864643367,0.4145751102541032,0.4182597892721228,1
MEND158,0,hest_var50,all,cp10k_panel,0.5047310746350198,0.5156632290179919,0.5141420075159866,0.5322428736727391,1
MEND157,0,hest_var50,all,cp10k_panel,0.5010638381798208,0.5452164360462386,0.5186776712668997,0.5606640782076492,1
MEND156,0,hest_var50,all,cp10k_panel,0.678180113417019,0.7351834976266263,0.6722390087793199,0.7306535463143969,1
MEND154,0,hest_var50,all,cp10k_panel,0.4456879025198206,0.4879847117941456,0.4683063314720949,0.5011424658452885,1
MEND153,1,hest_var50,all,log1p_raw,0.5567645309294336,0.5755424144220282,0.5259328059899735,0.5993057829578224,1
MEND152,1,hest_var50,all,log1p_raw,0.493930975708947,0.5228898394593556,0.49351997807064923,0.5502278961391949,1
MEND151,1,hest_var50,all,log1p_raw,0.5320126008034171,0.5045597985717418,0.5261866291527042,0.5360295702610469,0
MEND150,1,hest_var50,all,log1p_raw,0.6646375195997956,0.6537855098443937,0.6309448559033797,0.6644727643050633,0
MEND149,1,hest_var50,all,log1p_raw,0.4070246072185717,0.43765826581879747,0.42690044080974454,0.47703117622729946,1
MEND148,1,hest_var50,all,log1p_raw,0.3585577772756404,0.4133455758633521,0.37278993334797383,0.4450333760254205,1
MEND147,1,hest_var50,all,log1p_raw,0.4458837466852278,0.4766302655087299,0.4618079063902798,0.513862003860686,1
MEND146,1,hest_var50,all,log1p_raw,0.41483035904234744,0.43892450556741436,0.4192555181652966,0.47255857904948245,1
MEND145,1,hest_var50,all,log1p_raw,0.5574040015010293,0.6107294864970316,0.5643854705484643,0.6270596633329526,1
MEND144,1,hest_var50,all,log1p_raw,0.2564050971934642,0.38525742896666515,0.2981240061460949,0.4210031013002766,1
MEND143,1,hest_var50,all,log1p_raw,0.3005359022176315,0.34368386329602685,0.3224066853103546,0.38482616611148807,1
MEND142,1,hest_var50,all,log1p_raw,0.4006686355896431,0.4467362534840982,0.4222429342920696,0.4788760325826093,1
MEND141,1,hest_var50,all,log1p_raw,0.5296135981158596,0.5774509541728912,0.5404572601681581,0.5912657988412975,1
MEND140,1,hest_var50,all,log1p_raw,0.5880938806168257,0.6268231302655285,0.5962903583353767,0.631661186126304,1
MEND139,1,hest_var50,all,log1p_raw,0.45863050402966904,0.47514686381712595,0.4529673708445409,0.5037448632577723,1
MEND153,1,hest_var50,all,cp10k_panel,0.4707861541896764,0.4726334725517497,0.4325517131506808,0.47693360866415396,1
MEND152,1,hest_var50,all,cp10k_panel,0.3856677609648405,0.41119667970545704,0.36517703111221134,0.4048565437174086,1
MEND151,1,hest_var50,all,cp10k_panel,0.3391731357755479,0.31149676237177526,0.34292131933807646,0.3029532917339125,0
MEND150,1,hest_var50,all,cp10k_panel,0.3918418112744213,0.3460440608325107,0.36033914439099113,0.3286812818242932,0
MEND149,1,hest_var50,all,cp10k_panel,0.2785950103200612,0.2835883859360304,0.2849175584391133,0.2843393626582944,1
MEND148,1,hest_var50,all,cp10k_panel,0.28197881728947166,0.3137683736867586,0.2933031583007898,0.33320463724842264,1
MEND147,1,hest_var50,all,cp10k_panel,0.33400901352972634,0.355827011042468,0.343654025260426,0.3610162261873693,1
MEND146,1,hest_var50,all,cp10k_panel,0.31260597239075333,0.3291697605134592,0.3101395546488989,0.3422586319023061,1
MEND145,1,hest_var50,all,cp10k_panel,0.42319263690063447,0.42374470349868365,0.4253172003408436,0.4193200885472003,1
MEND144,1,hest_var50,all,cp10k_panel,0.21500951861137307,0.2997955303973716,0.23221477761331147,0.3064895050112702,1
MEND143,1,hest_var50,all,cp10k_panel,0.20092713050315686,0.2130310586586302,0.199674103465329,0.2166548202378805,1
MEND142,1,hest_var50,all,cp10k_panel,0.25319607882454603,0.2674719414402686,0.26234898543793944,0.260430660449121,1
MEND141,1,hest_var50,all,cp10k_panel,0.345062222889405,0.35848379935879726,0.3523953508537193,0.3562611368573426,1
MEND140,1,hest_var50,all,cp10k_panel,0.35822315389484277,0.30586429148637173,0.3441518557707503,0.2950753207682438,0
MEND139,1,hest_var50,all,cp10k_panel,0.28820789746878406,0.2740632104119894,0.26258548060212206,0.2626558973736703,0
MEND162,0,trainHVG737,all,log1p_raw,0.48597855550011126,0.4934715797480843,0.5089690323443113,0.530265657015901,1
MEND161,0,trainHVG737,all,log1p_raw,0.6366503861092978,0.6936761533455513,0.6345729432034032,0.7097248721129862,1
MEND160,0,trainHVG737,all,log1p_raw,0.3587083073623844,0.4138897913732672,0.38667253379281524,0.4593558083847814,1
MEND159,0,trainHVG737,all,log1p_raw,0.3782848987137195,0.4414915520524673,0.4052698243366209,0.47862435519090357,1
MEND158,0,trainHVG737,all,log1p_raw,0.48759212755105286,0.5123889856987013,0.4978437628016495,0.5477883337138181,1
MEND157,0,trainHVG737,all,log1p_raw,0.5239803928516427,0.5634371051870097,0.5372941896357627,0.5966031017888562,1
MEND156,0,trainHVG737,all,log1p_raw,0.6508160214367361,0.6975218967194895,0.6444999964073072,0.7191786382285724,1
MEND154,0,trainHVG737,all,log1p_raw,0.532004223870974,0.5758977430420973,0.5289432434223604,0.6039658054431737,1
MEND162,0,trainHVG737,all,cp10k_panel,0.3386038869578116,0.3419809406491448,0.32082983577983826,0.35555538942732967,1
MEND161,0,trainHVG737,all,cp10k_panel,0.533852665549745,0.609221486873653,0.5074434206962138,0.6249654248960914,1
MEND160,0,trainHVG737,all,cp10k_panel,0.27330051670022504,0.326868764015056,0.29812938695014735,0.37693088312350664,1
MEND159,0,trainHVG737,all,cp10k_panel,0.26689299686906,0.32823906505505734,0.29348752318928223,0.37051488249155096,1
MEND158,0,trainHVG737,all,cp10k_panel,0.4151980564363653,0.43518871354723476,0.40630384220073207,0.4784300894503154,1
MEND157,0,trainHVG737,all,cp10k_panel,0.4049989810272744,0.45087777050708616,0.39945851948064104,0.4943197660063189,1
MEND156,0,trainHVG737,all,cp10k_panel,0.531771689161369,0.6359667299072979,0.5098766876847974,0.655882025975721,1
MEND154,0,trainHVG737,all,cp10k_panel,0.3531744454815427,0.3864263323569548,0.3530607090584593,0.42481444085688214,1
MEND153,1,trainHVG737,all,log1p_raw,0.501504790050943,0.4958168586120526,0.5228284365267578,0.5519510822204142,0
MEND152,1,trainHVG737,all,log1p_raw,0.42369306212033586,0.44730276670914837,0.45608498786636364,0.5056485288299264,1
MEND151,1,trainHVG737,all,log1p_raw,0.4888954932134059,0.4406206445208242,0.49723155021532794,0.4930694392113951,0
MEND150,1,trainHVG737,all,log1p_raw,0.6136531714621063,0.5816883284837365,0.6072822337367623,0.6202039844691287,0
MEND149,1,trainHVG737,all,log1p_raw,0.4112653268136167,0.38720007474342444,0.430967626346357,0.4420343464468455,0
MEND148,1,trainHVG737,all,log1p_raw,0.3337263581607726,0.3658000437059958,0.36116412000251424,0.41248085693225683,1
MEND147,1,trainHVG737,all,log1p_raw,0.4348543771953993,0.4154567130445465,0.4659484207286228,0.4747869476670992,0
MEND146,1,trainHVG737,all,log1p_raw,0.37769207902860863,0.38394997698404065,0.40933645783656425,0.4408313608947052,1
MEND145,1,trainHVG737,all,log1p_raw,0.5301363958803728,0.544476496282911,0.5591789133552987,0.5819393814659494,1
MEND144,1,trainHVG737,all,log1p_raw,0.2796574309657984,0.31724954962610413,0.32735734825149465,0.38371215923240487,1
MEND143,1,trainHVG737,all,log1p_raw,0.30196080196576375,0.2960629779839449,0.3406528170699632,0.35463207042448136,0
MEND142,1,trainHVG737,all,log1p_raw,0.40261321395916916,0.38438026447938295,0.42864277463822664,0.4429361553816015,0
MEND141,1,trainHVG737,all,log1p_raw,0.5184198424763873,0.5062415412030101,0.5408722480056628,0.5524279373616514,0
MEND140,1,trainHVG737,all,log1p_raw,0.5864364273054494,0.5478625196185696,0.5924141594434311,0.5896118241762008,0
MEND139,1,trainHVG737,all,log1p_raw,0.4316033702168779,0.4030795104306316,0.45561475231248055,0.4644881324626758,0
MEND153,1,trainHVG737,all,cp10k_panel,0.32973639800067583,0.3401236826628805,0.3432124122933332,0.3641869969775642,1
MEND152,1,trainHVG737,all,cp10k_panel,0.251727883896326,0.2875792927913212,0.26025734352845853,0.3063864583674954,1
MEND151,1,trainHVG737,all,cp10k_panel,0.246523938558685,0.21476244236044736,0.2410134861543545,0.2154584277640376,0
MEND150,1,trainHVG737,all,cp10k_panel,0.2797885958519274,0.2331213904779946,0.25714220027177775,0.2252993439936075,0
MEND149,1,trainHVG737,all,cp10k_panel,0.22600297259606852,0.2002771141433265,0.23383997542444032,0.2080404837106732,0
MEND148,1,trainHVG737,all,cp10k_panel,0.2224485022283118,0.2333713898545206,0.2414349605687479,0.2632812182434637,1
MEND147,1,trainHVG737,all,cp10k_panel,0.2790804708628948,0.2584263406123412,0.2864074790981124,0.27691937791008686,0
MEND146,1,trainHVG737,all,cp10k_panel,0.23733947822126145,0.2446057385833274,0.25945068195333537,0.27217744760665263,1
MEND145,1,trainHVG737,all,cp10k_panel,0.3533597855601369,0.306795368248966,0.35604293533120496,0.3116084767555057,0
MEND144,1,trainHVG737,all,cp10k_panel,0.19201114995320415,0.21439782220060744,0.21111354093173976,0.23365231256922062,1
MEND143,1,trainHVG737,all,cp10k_panel,0.16442313172963688,0.14951317180115775,0.1659426211270599,0.153010228845818,0
MEND142,1,trainHVG737,all,cp10k_panel,0.2109320219678322,0.18350085636006094,0.2091687194028258,0.18481062287617772,0
MEND141,1,trainHVG737,all,cp10k_panel,0.2902193436412484,0.2566279746392981,0.2951304650764547,0.26339841243239936,0
MEND140,1,trainHVG737,all,cp10k_panel,0.25868982766984994,0.20964201120093334,0.24915856129499198,0.20332343577059075,0
MEND139,1,trainHVG737,all,cp10k_panel,0.18370336896443337,0.17944511256118253,0.18103248738005515,0.17907598583536463,0
