sample,panel,spotset,caliber,rtech_med_mine,rtech_med_stnull,rtech_q25,rtech_q75,rnbr_med,rnbr_mean,method
ZEN36,hest_var50,all,log1p_raw,0.7791988041128126,0.7829236578798292,0.7017201672941932,0.8552846997219744,0.5469291758657948,0.5398227650748302,split_half_full
ZEN36,hest_var50,all,cp10k_panel,0.6465939801679585,0.650486202936847,0.5736208563710803,0.7011815491268731,0.3720182673971495,0.36829794404152716,split_half_full
ZEN36,hest_var50,all,cp10k_full,0.7188236210028713,0.7185855842714793,0.628112354189802,0.8293083303107679,0.5286994060928325,0.5116081108744667,split_half_full
ZEN40,hest_var50,all,log1p_raw,0.7658920949135855,0.7683813222350555,0.6652261320484304,0.8206652355817464,0.5043368568768999,0.5248465601933561,split_half_full
ZEN40,hest_var50,all,cp10k_panel,0.5979616710305764,0.5968408478036207,0.5428132680806881,0.6765005652362552,0.35569692269976183,0.34754922696608026,split_half_full
ZEN40,hest_var50,all,cp10k_full,0.6401574563638905,0.6359827042971362,0.5188030489408004,0.7010091466835713,0.36103157690598947,0.38607164330664445,split_half_full
ZEN48,hest_var50,all,log1p_raw,0.6900385696331902,0.6853905168700236,0.5330939862178696,0.7874906162266354,0.43024997138568677,0.4183168720687578,split_half_full
ZEN48,hest_var50,all,cp10k_panel,0.5687772881305199,0.5588805892367447,0.44824208173133956,0.6298372556211841,0.2735167224141898,0.26795235285856733,split_half_full
ZEN48,hest_var50,all,cp10k_full,0.5771444859280572,0.5782391614231843,0.42184712747854847,0.6878630188472161,0.2837705690257145,0.3261025222950505,split_half_full
ZEN49,hest_var50,all,log1p_raw,0.6299711689134165,0.6309679220374329,0.5158848372031175,0.7846895937566256,0.3552963049106197,0.387238752661849,split_half_full
ZEN49,hest_var50,all,cp10k_panel,0.5279105546832374,0.5247197782284269,0.43072133870969115,0.6138396398944984,0.2292880914362534,0.23948169594200394,split_half_full
ZEN49,hest_var50,all,cp10k_full,0.5694197372275716,0.565655824261656,0.4309907832477621,0.6853265039021617,0.2863251016473383,0.3289680914395898,split_half_full
ZEN36,trainHVG737,all,log1p_raw,0.6912266138966836,0.6875288152769099,0.5430084621049944,0.8259625656424965,0.4574445126688935,0.46171847007007116,split_half_full
ZEN36,trainHVG737,all,cp10k_panel,0.5997166465270869,0.5996273335144667,0.48745204953714416,0.716896321002324,0.3606460501571336,0.3776254698732553,split_half_full
ZEN36,trainHVG737,all,cp10k_full,0.60868906079272,0.6084752325477321,0.4651711220369663,0.7643311641329606,0.38756722538577215,0.40686011550542917,split_half_full
ZEN40,trainHVG737,all,log1p_raw,0.653698285884881,0.6499159354947968,0.5242529913132978,0.7840427284238345,0.443028687030361,0.44775096210332815,split_half_full
ZEN40,trainHVG737,all,cp10k_panel,0.5395237507755823,0.5370666720750943,0.43864860750989154,0.6483797514987686,0.292153520213554,0.3038503672973402,split_half_full
ZEN40,trainHVG737,all,cp10k_full,0.5077950622462322,0.5087689790992621,0.38490546760851474,0.6440348277051525,0.25740524260167696,0.29410132202175554,split_half_full
ZEN48,trainHVG737,all,log1p_raw,0.5701033865824503,0.5723368425613694,0.45620912884253206,0.7176941685448284,0.35578201608434923,0.39015347880546475,split_half_full
ZEN48,trainHVG737,all,cp10k_panel,0.44465491552271774,0.44486680030203846,0.35559404939954076,0.563725830197589,0.2080615562699239,0.25055264347083006,split_half_full
ZEN48,trainHVG737,all,cp10k_full,0.4159067628197576,0.41396695597759914,0.3156319757961754,0.5641273756204329,0.18544447906783657,0.251907341603724,split_half_full
ZEN49,trainHVG737,all,log1p_raw,0.5569569368905151,0.558421316158318,0.4443165049347555,0.6990454713805617,0.336942828599651,0.3671746933104709,split_half_full
ZEN49,trainHVG737,all,cp10k_panel,0.43972567080825287,0.43585434876948703,0.3559902663418282,0.5592016242737494,0.1901693718880697,0.23565866441254107,split_half_full
ZEN49,trainHVG737,all,cp10k_full,0.420294023405751,0.4197174512497666,0.3242449175754421,0.5806276955699695,0.19657079882239203,0.2590299924965713,split_half_full
