sample,fold,panel,spotset,caliber,n_spots,n_genes,med_r_trainfit,mean_r_trainfit,med_r_cv,mean_r_cv
ZEN49,0,hest_var50,all,log1p_raw,2203,50,0.18056989089103892,0.18913517576654432,0.1707726089077704,0.18997087280770153
ZEN48,0,hest_var50,all,log1p_raw,2385,50,0.20557332740599643,0.209440284807874,0.2033326673518765,0.20911038580506705
ZEN49,0,hest_var50,all,cp10k_panel,2203,50,0.14110457132622978,0.12907412738115176,0.13681056471679565,0.1347910881552602
ZEN48,0,hest_var50,all,cp10k_panel,2385,50,0.16107167635741781,0.14883885068436556,0.1569578643904725,0.15558253895557456
ZEN49,0,hest_var50,all,cp10k_full,2203,50,0.057768700217888644,0.05645375177461547,0.057886019968077754,0.052851775421698076
ZEN48,0,hest_var50,all,cp10k_full,2385,50,0.06654750781463811,0.0593406334254162,0.06087121735288628,0.054550220099644775
ZEN49,0,trainHVG50,all,log1p_raw,2203,50,0.27013844688082483,0.2463400130172454,0.26541501938922196,0.25102548583027845
ZEN48,0,trainHVG50,all,log1p_raw,2385,50,0.1923831489658151,0.20847911609992853,0.18840219576430262,0.21967132846458332
ZEN49,0,trainHVG50,all,cp10k_panel,2203,50,0.14073874406725895,0.13322406009764443,0.13579375424620574,0.13465114159465744
ZEN48,0,trainHVG50,all,cp10k_panel,2385,50,0.09726771903385233,0.10813089582940438,0.10333691445404786,0.13676714219377442
ZEN49,0,trainHVG50,all,cp10k_full,2203,50,0.09204776401058495,0.06584757864703386,0.09773385228594139,0.07976832247085607
ZEN48,0,trainHVG50,all,cp10k_full,2385,50,0.027252544212783572,0.04415152995836245,0.061959193671448747,0.06546747181430077
ZEN49,0,trainHVG737,all,log1p_raw,2203,737,0.2990631747323255,0.30737427737855666,0.2974032794077244,0.3042932019004495
ZEN48,0,trainHVG737,all,log1p_raw,2385,737,0.3141752315321995,0.32077416586028906,0.30998665750710536,0.3174743997469116
ZEN49,0,trainHVG737,all,cp10k_panel,2203,737,0.15398478998501336,0.14070512978020344,0.14717436618059615,0.13834020143046918
ZEN48,0,trainHVG737,all,cp10k_panel,2385,737,0.18046745317249302,0.16610061478470253,0.17774926676251177,0.1748004337082293
ZEN49,0,trainHVG737,all,cp10k_full,2203,737,0.08588285740489225,0.08340459166125601,0.0786843704185658,0.07881232044474705
ZEN48,0,trainHVG737,all,cp10k_full,2385,737,0.08291207664197192,0.08179373179091869,0.08387357794233564,0.09156628841569094
ZEN40,1,hest_var50,all,log1p_raw,2128,50,0.28147430085949926,0.27643521921620223,0.27911868856728744,0.2739967116925131
ZEN36,1,hest_var50,all,log1p_raw,1691,50,0.20401888504067123,0.18262823985762225,0.1991169877932385,0.19610727559106528
ZEN40,1,hest_var50,all,cp10k_panel,2128,50,0.2398769778711892,0.21406971500813782,0.23793470944225173,0.21681520089289347
ZEN36,1,hest_var50,all,cp10k_panel,1691,50,0.1430886326257972,0.13107191185019876,0.14877614349989032,0.1415234331576685
ZEN40,1,hest_var50,all,cp10k_full,2128,50,0.09715669618851643,0.08968798410298065,0.10377966263567087,0.10434186555854766
ZEN36,1,hest_var50,all,cp10k_full,1691,50,0.017624072073082114,0.024143448370950685,0.04994053356901936,0.07572578791567548
ZEN40,1,trainHVG50,all,log1p_raw,2128,50,0.16268532662439927,0.1964802937794038,0.15837976868891168,0.1860126727987486
ZEN36,1,trainHVG50,all,log1p_raw,1691,50,0.12319702243861871,0.1193238917239687,0.11593259623859026,0.12550184862704838
ZEN40,1,trainHVG50,all,cp10k_panel,2128,50,0.11665617121998977,0.12524402777528318,0.11385965229449188,0.12249172548344658
ZEN36,1,trainHVG50,all,cp10k_panel,1691,50,0.07884605879093315,0.07295573517090784,0.07201443446662024,0.0727153951149387
ZEN40,1,trainHVG50,all,cp10k_full,2128,50,0.060390856254665226,0.064075096211758,0.05393807151078093,0.0635799470647159
ZEN36,1,trainHVG50,all,cp10k_full,1691,50,0.04507676003300337,0.049377938521727754,0.05190897925737572,0.06371150498810683
ZEN40,1,trainHVG737,all,log1p_raw,2128,737,0.3162478301038251,0.3280328078109653,0.3130740568616669,0.3237993664608653
ZEN36,1,trainHVG737,all,log1p_raw,1691,737,0.25396466137369855,0.2564451703098278,0.24881187279269154,0.25101079064115833
ZEN40,1,trainHVG737,all,cp10k_panel,2128,737,0.1901422367261812,0.18532356332197175,0.18697071040172236,0.1884351886452546
ZEN36,1,trainHVG737,all,cp10k_panel,1691,737,0.11423047796823219,0.12482642249677287,0.11175707381712036,0.12997241621091557
ZEN40,1,trainHVG737,all,cp10k_full,2128,737,0.11223193462619976,0.11157010256448129,0.10951288440441607,0.11448826537503261
ZEN36,1,trainHVG737,all,cp10k_full,1691,737,0.04712907218306248,0.04980403052165647,0.07521076492526986,0.08866451181336786
