fold,panel,caliber,n_spots,n_genes,mean_r,med_r,n_nan
0,hest_var50,log1p_raw,4588,50,0.20291493495878538,0.2086283036522238,0
0,hest_var50,cp10k_panel,4588,50,0.14276177144176322,0.15219467429268202,0
0,hest_var50,cp10k_full,4588,50,0.05695019384517215,0.06794670848101299,0
0,trainHVG50,log1p_raw,4588,50,0.23326516213987028,0.23380063474658108,0
0,trainHVG50,cp10k_panel,4588,50,0.12565708767685338,0.13286817731151712,0
0,trainHVG50,cp10k_full,4588,50,0.056168516180413894,0.06643506776657239,0
0,trainHVG737,log1p_raw,4588,737,0.3177193921399715,0.30993670983598476,0
0,trainHVG737,cp10k_panel,4588,737,0.15574433257718032,0.16947320720508824,0
0,trainHVG737,cp10k_full,4588,737,0.08292405026848708,0.08629366623913437,0
1,hest_var50,log1p_raw,3819,50,0.28731015436764473,0.3016888127004227,0
1,hest_var50,cp10k_panel,3819,50,0.22900652938921023,0.24139649783054534,0
1,hest_var50,cp10k_full,3819,50,0.0803507951250608,0.07399609974415497,0
1,trainHVG50,log1p_raw,3819,50,0.20094409361926008,0.16779969186799323,1
1,trainHVG50,cp10k_panel,3819,50,0.13862149362443046,0.12666653897660826,1
1,trainHVG50,cp10k_full,3819,50,0.06100475555918444,0.059472589606484785,1
1,trainHVG737,log1p_raw,3819,737,0.3490259565879089,0.3429997684630368,1
1,trainHVG737,cp10k_panel,3819,737,0.19498734519900288,0.2039817223127216,1
1,trainHVG737,cp10k_full,3819,737,0.10452732778183256,0.10847142340903207,1
