sample,fold,panel,spotset,caliber,med_r_real,med_r_sim,mean_r_real,mean_r_sim,sim_ge_real
ZEN49,0,hest_var50,all,log1p_raw,0.18056989089103892,0.36054318053023415,0.18913517576654432,0.3587807397924361,1
ZEN48,0,hest_var50,all,log1p_raw,0.20557332740599643,0.3855889983489228,0.209440284807874,0.39539437194058225,1
ZEN49,0,hest_var50,all,cp10k_panel,0.14110457132622978,0.26659458226764704,0.12907412738115176,0.2536626578907441,1
ZEN48,0,hest_var50,all,cp10k_panel,0.16107167635741781,0.29504481981499947,0.14883885068436556,0.2869260597215641,1
ZEN40,1,hest_var50,all,log1p_raw,0.28147430085949926,0.33132607624393173,0.27643521921620223,0.3541544262751508,1
ZEN36,1,hest_var50,all,log1p_raw,0.20401888504067123,0.309779381711861,0.18262823985762225,0.3464634624058865,1
ZEN40,1,hest_var50,all,cp10k_panel,0.2398769778711892,0.28183759743443304,0.21406971500813782,0.2874486319750174,1
ZEN36,1,hest_var50,all,cp10k_panel,0.1430886326257972,0.25122620728887796,0.13107191185019876,0.25370366851873266,1
ZEN49,0,trainHVG737,all,log1p_raw,0.2990631747323255,0.29814732467104277,0.30737427737855666,0.3538910485072643,0
ZEN48,0,trainHVG737,all,log1p_raw,0.3141752315321995,0.32966255770485137,0.32077416586028906,0.38699572487947304,1
ZEN49,0,trainHVG737,all,cp10k_panel,0.15398478998501336,0.18345499885015928,0.14070512978020344,0.19024680079790598,1
ZEN48,0,trainHVG737,all,cp10k_panel,0.18046745317249302,0.21015441852291655,0.16610061478470253,0.21698161510944752,1
ZEN40,1,trainHVG737,all,log1p_raw,0.3162478301038251,0.3561378268759606,0.3280328078109653,0.4094452218597551,1
ZEN36,1,trainHVG737,all,log1p_raw,0.25396466137369855,0.34788402897674403,0.2564451703098278,0.40151511834170367,1
ZEN40,1,trainHVG737,all,cp10k_panel,0.1901422367261812,0.24486153962120102,0.18532356332197175,0.2563158891636667,1
ZEN36,1,trainHVG737,all,cp10k_panel,0.11423047796823219,0.19670804511462758,0.12482642249677287,0.19956982306239124,1
