sample,panel,spotset,caliber,rtech_med_mine,rtech_med_stnull,rtech_q25,rtech_q75,rnbr_med,rnbr_mean,method
TENX115,hest_var50,all,log1p_raw,0.9785245426354063,0.9784207078949999,0.9451018160014831,0.9880815154821287,0.8725538620161095,0.8480714632227315,split_half_full
TENX115,hest_var50,all,cp10k_panel,0.8964808701570178,0.8959200901293196,0.8537014914485999,0.9185663277825983,0.751759423133922,0.7446343915313085,split_half_full
TENX115,hest_var50,all,cp10k_full,0.9075999382784381,0.9068659615229842,0.8799565695053329,0.9240847965654139,0.7371776505427436,0.70546978712263,split_half_full
TENX117,hest_var50,all,log1p_raw,0.9814965685719307,0.9816300457935219,0.9587786756296531,0.9876910315557246,0.803706712893614,0.7926770842368598,split_half_full
TENX117,hest_var50,all,cp10k_panel,0.8864456451488267,0.8848214587500178,0.8601747731661479,0.9447271982388684,0.7078784721120901,0.6960344688004001,split_half_full
TENX117,hest_var50,all,cp10k_full,0.9187244034937698,0.9181505608848173,0.8944540365500008,0.941955685359211,0.701091743462699,0.6842878720990145,split_half_full
TENX115,hest_var50,official,log1p_raw,0.9678172136724951,0.9674891795068321,0.9216714410170521,0.9844841735057922,0.7685179283300623,0.7325471153958631,split_half_full
TENX115,hest_var50,official,cp10k_panel,0.8547589488293128,0.8549160462018597,0.7909334121552474,0.8918870232831178,0.6173333987583309,0.5929682543725531,split_half_full
TENX115,hest_var50,official,cp10k_full,0.9067452521660297,0.9070587770493697,0.8592467341373073,0.9380657236680947,0.6648592743861854,0.6325860449691075,split_half_full
TENX117,hest_var50,official,log1p_raw,0.9816418624481971,0.9815844062059091,0.9542526298848124,0.9857880715962531,0.7603563739785546,0.7428390865957847,split_half_full
TENX117,hest_var50,official,cp10k_panel,0.9173537014933959,0.9160735807255717,0.8605146708893578,0.9528633719257387,0.7482167350182956,0.7071873734718609,split_half_full
TENX117,hest_var50,official,cp10k_full,0.9555539202536685,0.955168338035765,0.9243958853920542,0.9690908371371545,0.7791302279540857,0.7323784803578048,split_half_full
TENX115,trainHVG737,all,log1p_raw,0.9764417217991626,0.9765779237796032,0.9058230914708557,0.9930760937398652,0.9046731997277488,0.8368054151454294,split_half_full
TENX115,trainHVG737,all,cp10k_panel,0.9075221937623286,0.908068214555891,0.8264646425380139,0.9361133122497969,0.7406821513140036,0.6771989415988124,split_half_full
TENX115,trainHVG737,all,cp10k_full,0.9077252112921739,0.9083812184413776,0.8278866331607477,0.9362486616220481,0.7416597268755922,0.678377167570091,split_half_full
TENX117,trainHVG737,all,log1p_raw,0.9813270967502257,0.9816212921667378,0.951227162624182,0.991629948985413,0.9091443720254364,0.8424954263685751,split_half_full
TENX117,trainHVG737,all,cp10k_panel,0.9311363548482108,0.9304474207755776,0.895013997104055,0.948340520430432,0.7903246580990977,0.7269360161302557,split_half_full
TENX117,trainHVG737,all,cp10k_full,0.9302643226072529,0.9299580749637373,0.8933702774304249,0.9466435199061796,0.7801601469687138,0.7159701333397944,split_half_full
TENX115,trainHVG737,official,log1p_raw,0.9556956132069974,0.9554656713634841,0.8389931458114648,0.9856723287979474,0.7696095047106508,0.7016114757285898,split_half_full
TENX115,trainHVG737,official,cp10k_panel,0.8746135916512279,0.8738651599563316,0.7625590776082342,0.9088362910540203,0.5846117906815089,0.5313852496645882,split_half_full
TENX115,trainHVG737,official,cp10k_full,0.8763100384984399,0.8761437401926515,0.765631271694078,0.9097476500815019,0.5918246243879416,0.5348153501983332,split_half_full
TENX117,trainHVG737,official,log1p_raw,0.9775669320193686,0.9773110178411534,0.939925617787935,0.9889945011013133,0.8518295919786074,0.7873513387598698,split_half_full
TENX117,trainHVG737,official,cp10k_panel,0.9450599555899224,0.9449266608260056,0.9026903545665188,0.9660161109126745,0.8056527647868867,0.7344557902001884,split_half_full
TENX117,trainHVG737,official,cp10k_full,0.9448211707142833,0.9445577711685026,0.9002720238194808,0.965299488542358,0.7980911068175727,0.7247079269583121,split_half_full
