sample,panel,spotset,caliber,n_spots,n_genes,n_genes_nan,med_r_trainfit,mean_r_trainfit,med_r_cv,mean_r_cv
TENX115,hest_var50,all,log1p_raw,3886,50,0,0.6245704032866521,0.6491301896963012,0.6244354866005551,0.6486682974887364
TENX115,hest_var50,all,cp10k_panel,3886,50,0,0.6167178254507879,0.6358841729608039,0.6163645485946156,0.6355958744872031
TENX115,hest_var50,all,cp10k_full,3886,50,0,0.482547854826727,0.5187510320915382,0.4821582246079903,0.5181278273334986
TENX115,hest_var50,official,log1p_raw,1741,50,0,0.3723155409608096,0.423391187564593,0.3711702615375672,0.4214813279900127
TENX115,hest_var50,official,cp10k_panel,1741,50,0,0.253504690171412,0.21554149462777386,0.26787718461543875,0.2566837944515861
TENX115,hest_var50,official,cp10k_full,1741,50,0,0.12845857760542717,0.09454666787683053,0.16206561114118026,0.1615953642488844
TENX115,trainHVG50,all,log1p_raw,3886,44,0,0.6227332961369096,0.6304819777978441,0.6217166152660278,0.6295431254981441
TENX115,trainHVG50,all,cp10k_panel,3886,44,0,0.7339889009995755,0.6918951466546206,0.7337418713636031,0.691421677858815
TENX115,trainHVG50,all,cp10k_full,3886,44,0,0.46166821260283997,0.49316728776930874,0.4609589951008627,0.49250811595813404
TENX115,trainHVG50,official,log1p_raw,1741,44,0,0.3507853316428568,0.39539843714113565,0.3479153909520575,0.39262721976586873
TENX115,trainHVG50,official,cp10k_panel,1741,44,0,0.3313669263075521,0.31518928796754575,0.3286181662563876,0.32088378688444125
TENX115,trainHVG50,official,cp10k_full,1741,44,0,0.04479582725266475,0.04059776581721733,0.13527196960570173,0.1286505969614604
TENX115,trainHVG737,all,log1p_raw,3886,305,0,0.7719115016497287,0.7306880211515038,0.7717328447572877,0.730175568517367
TENX115,trainHVG737,all,cp10k_panel,3886,305,0,0.6410316450345843,0.6114803822353434,0.6406228115686654,0.6108349421686585
TENX115,trainHVG737,all,cp10k_full,3886,305,0,0.6415987870914261,0.6126058912894631,0.6412235026566755,0.6120930225209515
TENX115,trainHVG737,official,log1p_raw,1741,305,0,0.597171044017812,0.5780483734574456,0.5963226680512946,0.5766167546320563
TENX115,trainHVG737,official,cp10k_panel,1741,305,0,0.25257339932928324,0.2519281527731833,0.2479954510139912,0.27024407978943
TENX115,trainHVG737,official,cp10k_full,1741,305,0,0.25555418789259865,0.25651179566877647,0.25496400233554645,0.27646565071681917
TENX117,hest_var50,all,log1p_raw,1830,50,0,0.49339931263122855,0.5388843762335914,0.4925804501787411,0.5376567513437734
TENX117,hest_var50,all,cp10k_panel,1830,50,0,0.48077440597884225,0.5169495538788041,0.4799809769862283,0.515410998007898
TENX117,hest_var50,all,cp10k_full,1830,50,0,0.34864533765655925,0.41173919954134164,0.34554743210162975,0.40909957667277186
TENX117,hest_var50,official,log1p_raw,1293,50,0,0.41054704318399593,0.45654046777067303,0.40722650088530166,0.45300926302753425
TENX117,hest_var50,official,cp10k_panel,1293,50,0,0.3986355733164776,0.34415663753158954,0.4224018522228894,0.4576232327417013
TENX117,hest_var50,official,cp10k_full,1293,50,0,0.2811024888478604,0.21335023954288584,0.304645533356821,0.35993296990381696
TENX117,trainHVG50,all,log1p_raw,1830,49,0,0.5041198057169425,0.5292016040582516,0.5024212356770111,0.5278345719298415
TENX117,trainHVG50,all,cp10k_panel,1830,49,0,0.5062906975636917,0.5248612140633134,0.5047954561480636,0.523813529769947
TENX117,trainHVG50,all,cp10k_full,1830,49,0,0.3592075630326505,0.396123715678686,0.3562154877928798,0.39289456101881987
TENX117,trainHVG50,official,log1p_raw,1293,49,0,0.4086944278090691,0.44490280915972397,0.4056873345464413,0.44225636350501113
TENX117,trainHVG50,official,cp10k_panel,1293,49,0,0.44260844312509035,0.39792254137011696,0.46029550041538814,0.4650537032573217
TENX117,trainHVG50,official,cp10k_full,1293,49,0,0.28240660737078976,0.18814910149548522,0.31154268523737993,0.34499780743637326
TENX117,trainHVG737,all,log1p_raw,1830,286,0,0.7166193737606916,0.6766980465618446,0.7158626946144118,0.675726197622497
TENX117,trainHVG737,all,cp10k_panel,1830,286,0,0.6166696197786043,0.5851236924777906,0.6149448714605972,0.5835791202509985
TENX117,trainHVG737,all,cp10k_full,1830,286,0,0.5977368338503957,0.5696836163351998,0.5965257941045351,0.568355090984931
TENX117,trainHVG737,official,log1p_raw,1293,286,0,0.6371544737308001,0.6079086741846677,0.6360281019234015,0.6066076038700263
TENX117,trainHVG737,official,cp10k_panel,1293,286,0,0.5361925292113869,0.4731276372995887,0.5369407798028358,0.5292980027656945
TENX117,trainHVG737,official,cp10k_full,1293,286,0,0.5187719448504885,0.4604776888925478,0.5208851562186956,0.5120450121916981
