sample,spotset,panel,caliber,sd_loglib,pred_r_her2stfit,obs_med_r,resid,extrapolated
TENX115,all,hest_var50,cp10k_panel,4.215850660206378,1.2410921813433626,0.6167178254507879,-0.6243743558925747,1
TENX115,all,hest_var50,log1p_raw,4.215850660206378,1.2410921813433626,0.6245704032866521,-0.6165217780567105,1
TENX115,all,trainHVG737,cp10k_panel,4.215850660206378,1.2410921813433626,0.6410316450345843,-0.6000605363087783,1
TENX115,all,trainHVG737,log1p_raw,4.215850660206378,1.2410921813433626,0.7719115016497287,-0.469180679693634,1
TENX117,all,hest_var50,cp10k_panel,4.116259261298005,1.2124740594053471,0.48077440597884225,-0.7316996534265049,1
TENX117,all,hest_var50,log1p_raw,4.116259261298005,1.2124740594053471,0.49339931263122855,-0.7190747467741185,1
TENX117,all,trainHVG737,cp10k_panel,4.116259261298005,1.2124740594053471,0.6166696197786043,-0.5958044396267428,1
TENX117,all,trainHVG737,log1p_raw,4.116259261298005,1.2124740594053471,0.7166193737606916,-0.4958546856446555,1
TENX115,official,hest_var50,cp10k_panel,1.6417057732735725,0.5013978596666687,0.253504690171412,-0.24789316949525675,1
TENX115,official,hest_var50,log1p_raw,1.6417057732735725,0.5013978596666687,0.3723155409608096,-0.12908231870585912,1
TENX115,official,trainHVG737,cp10k_panel,1.6417057732735725,0.5013978596666687,0.25257339932928324,-0.24882446033738548,1
TENX115,official,trainHVG737,log1p_raw,1.6417057732735725,0.5013978596666687,0.597171044017812,0.09577318435114324,1
TENX117,official,hest_var50,cp10k_panel,3.56567958170277,1.054262039291578,0.3986355733164776,-0.6556264659751004,1
TENX117,official,hest_var50,log1p_raw,3.56567958170277,1.054262039291578,0.41054704318399593,-0.6437149961075821,1
TENX117,official,trainHVG737,cp10k_panel,3.56567958170277,1.054262039291578,0.5361925292113869,-0.5180695100801911,1
TENX117,official,trainHVG737,log1p_raw,3.56567958170277,1.054262039291578,0.6371544737308001,-0.4171075655607779,1
