sample,panel,spotset,caliber,med_r_real,med_r_sim,mean_r_real,mean_r_sim,sim_ge_real
TENX115,hest_var50,all,log1p_raw,0.6245704032866521,0.8976636671162046,0.6491301896963012,0.8540536375652432,1
TENX115,hest_var50,all,cp10k_panel,0.6167178254507879,0.8515301537421802,0.6358841729608039,0.812039638400622,1
TENX117,hest_var50,all,log1p_raw,0.49339931263122855,0.8889209912297855,0.5388843762335914,0.8548294227040839,1
TENX117,hest_var50,all,cp10k_panel,0.48077440597884225,0.8519889465758592,0.5169495538788041,0.8092435025224052,1
TENX115,hest_var50,official,log1p_raw,0.3723155409608096,0.9345898207055199,0.423391187564593,0.843395281967208,1
TENX115,hest_var50,official,cp10k_panel,0.253504690171412,0.65045435935272,0.21554149462777386,0.6122430118838209,1
TENX117,hest_var50,official,log1p_raw,0.41054704318399593,0.8898581251458892,0.45654046777067303,0.8382124693521636,1
TENX117,hest_var50,official,cp10k_panel,0.3986355733164776,0.875097548018813,0.34415663753158954,0.8100227917897459,1
TENX115,trainHVG737,all,log1p_raw,0.7719115016497287,0.8873443276353703,0.7306880211515038,0.8144537520928443,1
TENX115,trainHVG737,all,cp10k_panel,0.6410316450345843,0.8112990551477608,0.6114803822353434,0.739390940358667,1
TENX117,trainHVG737,all,log1p_raw,0.7166193737606916,0.8778454933182878,0.6766980465618446,0.8446006250082284,1
TENX117,trainHVG737,all,cp10k_panel,0.6166696197786043,0.807753609916608,0.5851236924777906,0.7606200979378135,1
TENX115,trainHVG737,official,log1p_raw,0.597171044017812,0.91549740554083,0.5780483734574456,0.7970711934411795,1
TENX115,trainHVG737,official,cp10k_panel,0.25257339932928324,0.5782267144875408,0.2519281527731833,0.5220115281870717,1
TENX117,trainHVG737,official,log1p_raw,0.6371544737308001,0.8664270995215172,0.6079086741846677,0.8259988039108818,1
TENX117,trainHVG737,official,cp10k_panel,0.5361925292113869,0.8174142335466696,0.4731276372995887,0.7616166346527182,1
